w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-0.013014121639384257 + 0.0im	-0.17970155144449973 - 0.02880857259623788im	-0.20070279922301176 + 0.0043258356660700985im	-0.20070279922301174 + 0.004325835666070106im	0.021001249642548302 - 0.033134408262307104im
-0.012885268949885403 + 0.0im	-0.17982154185338609 - 0.02880902220453063im	-0.2007092432687556 + 0.0042835920419230095im	-0.2007092432687556 + 0.0042835920419230155im	0.02088770293526087 - 0.033092614246453725im
-0.012757692029589507 + 0.0im	-0.17994024547909032 - 0.02880947877294345im	-0.20071597242488198 + 0.004241664691436206im	-0.200715972424882 + 0.004241664691436214im	0.020775726541958688 - 0.03305114346438065im
-0.012631378247118324 + 0.0im	-0.1800576801378583 - 0.028809936821815405im	-0.20072296644380166 + 0.004200043426208163im	-0.20072296644380166 + 0.004200043426208173im	0.020665288079749038 - 0.033009980248025615im
-0.012506315096156757 + 0.0im	-0.18017386135382238 - 0.028810391225484726im	-0.20073021879379613 + 0.004158718620743531im	-0.2007302187937962 + 0.004158718620743534im	0.020556356748485508 - 0.032969109846231186im
-0.012382490194214611 + 0.0im	-0.18028881090674376 - 0.028810837205693392im	-0.200737710337795 + 0.0041176812021128184im	-0.20073771033779497 + 0.004117681202112828im	0.020448897146793116 - 0.0329285184078102im
-0.012259891281400604 + 0.0im	-0.18040254724678154 - 0.0288112703246678im	-0.20074542714322285 + 0.004076922639088435im	-0.20074542714322288 + 0.004076922639088441im	0.020342881649083187 - 0.032888192963761144im
-0.01213850621920852 + 0.0im	-0.18051508143525535 - 0.028811686477885283im	-0.20075335945350695 + 0.00403643493077655im	-0.20075335945350695 + 0.0040364349307765585im	0.020238278257869485 - 0.032848121408667795im
-0.012018322989315365 + 0.0im	-0.1806264336466615 - 0.028812081886542322im	-0.20076148995713233 + 0.003996210594766262im	-0.20076148995713233 + 0.003996210594766271im	0.020135056090306917 - 0.0328082924813155im
-0.011899329692391452 + 0.0im	-0.18073662067269836 - 0.02881245308973699im	-0.20076980585435425 + 0.003956242654819116im	-0.2007698058543543 + 0.003956242654819126im	0.020033184993461857 - 0.03276869574456405im
-0.01178151454692223 + 0.0im	-0.18084565916804743 - 0.028812796936381987im	-0.20077829372438974 + 0.003916524628123846im	-0.20077829372438974 + 0.003916524628123854im	0.01993263525644129 - 0.03272932156451484im
-0.011664865888041812 + 0.0im	-0.18095356560017947 - 0.028813110576864608im	-0.20078694290121343 + 0.0038770505121424824im	-0.20078694290121343 + 0.00387705051214249im	0.019833377098764267 - 0.032690161089017074im
-0.011549372166378032 + 0.0im	-0.18106035623629374 - 0.028813391454470202im	-0.2007957387376459 + 0.0038378147710754766im	-0.20079573873764586 + 0.0038378147710754875im	0.019735382377253193 - 0.03265120622555674im
-0.011435021946908942 + 0.0im	-0.18116604713561912 - 0.028813637296588417im	-0.20080466939442942 + 0.0037988123219746058im	-0.20080466939442942 + 0.0037988123219746153im	0.01963862218315718 - 0.032612449618575144im
-0.011321803907830635 + 0.0im	-0.18127065414362614 - 0.028813846105719184im	-0.20081372280083382 + 0.0037600385205336173im	-0.20081372280083382 + 0.0037600385205336256im	0.019543068631912523 - 0.03257388462626594im
-0.011209706839436272 + 0.0im	-0.18137419288885684 - 0.02881401615029948im	-0.20082288712057828 + 0.0037214891465873648im	-0.20082288712057828 + 0.0037214891465873743im	0.019448694269449063 - 0.03253550529690104im
-0.01109871964300621 + 0.0im	-0.18147667563528314 - 0.028814145955369182im	-0.20083215080244354 + 0.0036831603893511446im	-0.2008321508024435 + 0.003683160389351152im	0.019355472155853166 - 0.032497306344735584im
-0.010988831329709119 + 0.0im	-0.18157812366287976 - 0.028814234293097346im	-0.20084150243404084 + 0.003645048832432461im	-0.20084150243404084 + 0.0036450488324324686im	0.019263375895633355 - 0.032459283125546114im
-0.010880031019513979 + 0.0im	-0.1816785520739351 - 0.02881428017318852im	-0.2008509304878864 + 0.00360715143864803im	-0.2008509304878864 + 0.0036071514386480387im	0.019172380578220793 - 0.03242143161185395im
-0.01077230794011285 + 0.0im	-0.18177796942269522 - 0.02881428283319054im	-0.20086042648958136 + 0.00356946553467924im	-0.20086042648958136 + 0.0035694655346792475im	0.019082456786160502 - 0.03238374836788823im
-0.010665651425854307 + 0.0im	-0.18187639008412118 - 0.028814241728724432im	-0.20086997758465444 + 0.0035319887955992924im	-0.20086997758465444 + 0.0035319887955993037im	0.01899358450218705 - 0.03234623052434323im
-0.010560050916687432 + 0.0im	-0.1819738342658909 - 0.028814156523657108im	-0.2008795748142673 + 0.0034947192293057587im	-0.2008795748142673 + 0.003494719229305768im	0.018905737552337508 - 0.03230887575298346im
-0.010455495957116269 + 0.0im	-0.18207031298633627 - 0.02881402708023865im	-0.20088921108622773 + 0.003457655160891672im	-0.20088921108622773 + 0.0034576551608916806im	0.0188188922770593 - 0.03227168224115196im
