w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-4.3654632889417784e-6 + 0.0im	-0.1922723571128088 - 0.02894811087556859im	-0.20189216857582662 - 0.0005927370713119422im	-0.20189216857582662 - 0.0005927370713119424im	0.009619809210083263 - 0.02835537380411717im
-4.3222408801403745e-6 + 0.0im	-0.192272532359496 - 0.02894811510553392im	-0.20189241129020183 - 0.0005927520569998354im	-0.20189241129020183 - 0.0005927520569998357im	0.00961987667876136 - 0.028355363048394967im
-4.279446415980569e-6 + 0.0im	-0.19227270721959197 - 0.02894811934899743im	-0.20189265406957033 - 0.0005927668995927912im	-0.20189265406957035 - 0.0005927668995927915im	0.009619944599062147 - 0.028355352449265823im
-4.237075659386702e-6 + 0.0im	-0.19227288169277282 - 0.02894812360744132im	-0.20189289691196843 - 0.0005927816041966041im	-0.20189289691196843 - 0.0005927816041966049im	0.009620012969324186 - 0.0283553420031063im
-4.195124415234359e-6 + 0.0im	-0.19227305578092704 - 0.028948127882023715im	-0.20189313981836607 - 0.000592796175779733im	-0.20189313981836607 - 0.000592796175779734im	0.009620081788640798 - 0.02835533170610595im
-4.153588529935009e-6 + 0.0im	-0.19227322948498346 - 0.028948132173569036im	-0.20189338278826113 - 0.0005928106191438498im	-0.20189338278826113 - 0.0005928106191438504im	0.009620151055580738 - 0.02835532155428749im
-4.112463891024761e-6 + 0.0im	-0.1922734028058605 - 0.028948136482560966im	-0.20189362582096873 - 0.0005928249388955653im	-0.20189362582096868 - 0.0005928249388955666im	0.009620220768540966 - 0.028355311543528057im
-4.071746426757189e-6 + 0.0im	-0.1922735757441655 - 0.028948140809138385im	-0.201893868913918 - 0.0005928391394195862im	-0.20189386891391806 - 0.0005928391394195868im	0.009620290924346271 - 0.028355301669581844im
-4.031432105700187e-6 + 0.0im	-0.19227374830157754 - 0.02894814515309325im	-0.20189411207072536 - 0.0005928532248535249im	-0.2018941120707254 - 0.0005928532248535257im	0.009620361524928928 - 0.028355291928103085im
-3.991516936336819e-6 + 0.0im	-0.1922739204781952 - 0.028948149513871237im	-0.2018943552853015 - 0.0005928671990645907im	-0.2018943552853015 - 0.0005928671990645913im	0.009620432564106903 - 0.028355282314670407im
-3.951996966670117e-6 + 0.0im	-0.1922740922752208 - 0.028948153890575482im	-0.20189459855760397 - 0.0005928810656283678im	-0.20189459855760392 - 0.0005928810656283687im	0.00962050404063455 - 0.028355272824811217im
-3.9128682838317996e-6 + 0.0im	-0.19227426369392972 - 0.028948158281972336im	-0.20189484188527682 - 0.0005928948278098734im	-0.20189484188527687 - 0.0005928948278098746im	0.009620575950883902 - 0.028355263454026964im
-3.874127013694851e-6 + 0.0im	-0.19227443473467484 - 0.02894816268650007im	-0.20189508526842034 - 0.0005929084885470543im	-0.20189508526842034 - 0.0005929084885470549im	0.009620648294595711 - 0.028355254197817866im
-3.835769320489951e-6 + 0.0im	-0.19227460539962707 - 0.02894816710228026im	-0.2018953287029469 - 0.0005929220504368932im	-0.20189532870294696 - 0.0005929220504368932im	0.009620721065520218 - 0.028355245051708566im
-3.7977914064256944e-6 + 0.0im	-0.19227477568967247 - 0.028948171527131285im	-0.20189557218785012 - 0.0005929355157242345im	-0.20189557218785012 - 0.0005929355157242352im	0.009620794261761408 - 0.028355236011272603im
-3.760189511312569e-6 + 0.0im	-0.19227494560697284 - 0.028948175958584777im	-0.20189581572061888 - 0.0005929488862934576im	-0.20189581572061888 - 0.0005929488862934587im	0.009620867878652073 - 0.02835522707215727im
-3.722959912190662e-6 + 0.0im	-0.19227511515263235 - 0.028948180393904212im	-0.20189605929952564 - 0.000592962163663059im	-0.20189605929952564 - 0.0005929621636630598im	0.009620941913354653 - 0.028355218230107487im
-3.6860989229610515e-6 + 0.0im	-0.19227528433016502 - 0.028948184830105618im	-0.20189630292224878 - 0.0005929753489832212im	-0.20189630292224878 - 0.0005929753489832223im	0.009621016360527994 - 0.0283552094809891im
-3.649602894020843e-6 + 0.0im	-0.1922754531393997 - 0.02894818926398069im	-0.20189654658701214 - 0.000592988443036408im	-0.20189654658701214 - 0.0005929884430364088im	0.009621091217088576 - 0.02835520082081137im
-3.6134682119018243e-6 + 0.0im	-0.19227562158542585 - 0.02894819369212165im	-0.20189679032057178 - 0.0005930014462409599im	-0.20189679032057178 - 0.0005930014462409608im	0.009621166477390159 - 0.028355192245748118im
-3.577691298912697e-6 + 0.0im	-0.19227578967071499 - 0.02894819811094781im	-0.20189703406366852 - 0.0005930143586577255im	-0.20189703406366852 - 0.0005930143586577267im	0.009621242136803572 - 0.028355183752157904im
-3.5422686127848485e-6 + 0.0im	-0.1922759573972471 - 0.028948202516734307im	-0.20189727784321784 - 0.0005930271799996482im	-0.20189727784321784 - 0.000593027179999649im	0.009621318191477808 - 0.028355175336602912im
-3.507196646321632e-6 + 0.0im	-0.19227612477041447 - 0.0289482069056417im	-0.20189752165816835 - 0.0005930399096442496im	-0.20189752165816835 - 0.0005930399096442507im	0.00962139463495188 - 0.028355166995866016im
-3.4724719270511207e-6 + 0.0im	-0.19227629179340971 - 0.02894821127374682im	-0.20189776550715496 - 0.0005930525466489416im	-0.20189776550715496 - 0.0005930525466489425im	0.00962147146267769 - 0.028355158726966815im
-3.4380910168822977e-6 + 0.0im	-0.19227645847062305 - 0.028948215617075026im	-0.20189800938921815 - 0.000593065089769008im	-0.20189800938921815 - 0.0005930650897690087im	0.009621548669306075 - 0.028355150527175306im
-3.4040505117646513e-6 + 0.0im	-0.19227662480704064 - 0.02894821993163275im	-0.20189825330393915 - 0.0005930775374781634im	-0.20189825330393915 - 0.0005930775374781644im	0.009621626249432193 - 0.028355142394024313im
-3.3703470413511396e-6 + 0.0im	-0.1922767908073445 - 0.02894822421344111im	-0.2018984972505491 - 0.0005930898879914891im	-0.20189849725054915 - 0.0005930898879914903im	0.009621704197608256 - 0.02835513432531967im
-3.3369772686644945e-6 + 0.0im	-0.19227695647726792 - 0.028948228458569203im	-0.20189874122927504 - 0.0005931021392905917im	-0.20189874122927504 - 0.0005931021392905932im	0.009621782508327684 - 0.02835512631914907im
-3.303937889766826e-6 + 0.0im	-0.19227712182259932 - 0.028948232663167813im	-0.2018989852403873 - 0.0005931142891507622im	-0.2018989852403873 - 0.0005931142891507632im	0.009621861176074055 - 0.02835511837388785im
-3.271225633432501e-6 + 0.0im	-0.19227728684944115 - 0.028948236823502803im	-0.20189922928447632 - 0.0005931263351699256im	-0.20189922928447634 - 0.0005931263351699268im	0.009621940195337516 - 0.02835511048820405im
-3.2388372608242586e-6 + 0.0im	-0.19227745156565088 - 0.028948240935988127im	-0.20189947336389705 - 0.0005931382747991445im	-0.20189947336389708 - 0.0005931382747991452im	0.009622019560604315 - 0.028355102661060515im
-3.2067695651725334e-6 + 0.0im	-0.19227761597539395 - 0.028948244997217813im	-0.20189971747742538 - 0.0005931501053744239im	-0.20189971747742544 - 0.0005931501053744249im	0.009622099266512097 - 0.028355094891715293im
-3.1750193714579536e-6 + 0.0im	-0.19227778008795646 - 0.028948249003997298im	-0.20189996162896537 - 0.0005931618241495466im	-0.20189996162896548 - 0.0005931618241495478im	0.009622179307660942 - 0.028355087179719976im
-3.143583536096984e-6 + 0.0im	-0.19227794391043582 - 0.028948252953373235im	-0.20190020582037094 - 0.0005931734283296843im	-0.20190020582037096 - 0.0005931734283296855im	0.009622259678812462 - 0.02835507952491615im
-3.1124589466306772e-6 + 0.0im	-0.1922781074506315 - 0.0289482568426621im	-0.20190045005431292 - 0.0005931849151054789im	-0.20190045005431292 - 0.0005931849151054801im	0.00962234037483945 - 0.028355071927429552im
-3.081642521416512e-6 + 0.0im	-0.1922782707165778 - 0.028948260669476842im	-0.20190069433380697 - 0.0005931962816873306im	-0.20190069433380708 - 0.0005931962816873321im	0.009622421390723763 - 0.028355064387662787im
-3.0511312093232794e-6 + 0.0im	-0.19227843371761882 - 0.028948264431751622im	-0.2019009386640431 - 0.0005932075253395863im	-0.2019009386640431 - 0.0005932075253395875im	0.00962250272232658 - 0.028355056906285696im
-3.0209219894289894e-6 + 0.0im	-0.19227859646019535 - 0.028948268127764576im	-0.2019011830454553 - 0.0005932186434143412im	-0.20190118304545535 - 0.0005932186434143429im	0.009622584363611643 - 0.028355049484224217im
-2.9910118707217715e-6 + 0.0im	-0.19227875895471477 - 0.028948271756157894im	-0.20190142748512824 - 0.0005932296333845713im	-0.20190142748512824 - 0.0005932296333845721im	0.009622666311279969 - 0.02835504212264766im
-2.961397891803734e-6 + 0.0im	-0.192278921209741 - 0.02894827531595572im	-0.20190167198722245 - 0.0005932404928763033im	-0.2019016719872224 - 0.0005932404928763044im	0.009622748560922913 - 0.02835503482295407im
-2.9320771205977565e-6 + 0.0im	-0.1922790832343138 - 0.028948278806578995im	-0.20190191655685202 - 0.0005932512196995499im	-0.20190191655685197 - 0.0005932512196995509im	0.00962283110861091 - 0.028355027586754435im
-2.9030466540571845e-6 + 0.0im	-0.1922792450375897 - 0.02894828222785769im	-0.20190216116567367 - 0.0005932618118777303im	-0.20190216116567372 - 0.0005932618118777312im	0.009622913950680653 - 0.028355020415855293im
-2.8743036178784003e-6 + 0.0im	-0.19227940662882656 - 0.028948285580039916im	-0.20190240588719385 - 0.0005932722676753366im	-0.20190240588719385 - 0.0005932722676753375im	0.009622997083605344 - 0.028355013312240215im
-2.845845166216238e-6 + 0.0im	-0.19227956801700946 - 0.02894828886379791im	-0.20190265069346655 - 0.0005932825856235809im	-0.2019026506934666 - 0.0005932825856235816im	0.009623080505392354 - 0.02835500627805026im
-2.8176684814022158e-6 + 0.0im	-0.19227972921179257 - 0.028948292080230913im	-0.20190289559158467 - 0.0005932927645438105im	-0.20190289559158467 - 0.0005932927645438114im	0.009623147331680336 - 0.02835499931556334im
-2.78977077366556e-6 + 0.0im	-0.19227989022212555 - 0.02894829523086467im	-0.2019031405879419 - 0.0005933028035684674im	-0.20190314058794198 - 0.000593302803568469im	0.009623248200671002 - 0.028354992427172765im
-2.76214928085699e-6 + 0.0im	-0.19228005105715051 - 0.02894829831764784im	-0.2019033856895792 - 0.0005933127021594146im	-0.20190338568957913 - 0.0005933127021594157im	0.009623332470473747 - 0.02835498561536532im
-2.7348012681752376e-6 + 0.0im	-0.19228021172586646 - 0.02894830134294475im	-0.20190363090371014 - 0.0005933224601234412im	-0.20190363090371014 - 0.0005933224601234425im	0.009623417019170076 - 0.028354978882698535im
-2.7077240278962747e-6 + 0.0im	-0.19228037223712877 - 0.028948304309525254im	-0.2019038762377282 - 0.0005933320776248207im	-0.2019038762377282 - 0.000593332077624822im	0.009623501845295477 - 0.02835497223177792im
-2.6809148791052226e-6 + 0.0im	-0.19228053259970956 - 0.028948307220550855im	-0.20190412169917318 - 0.0005933415551947785im	-0.20190412169917324 - 0.0005933415551947802im	0.009623586947620362 - 0.028354965665233812im
-2.6543711674309133e-6 + 0.0im	-0.19228069282062002 - 0.02894831007955799im	-0.201904367295767 - 0.000593350893737788im	-0.201904367295767 - 0.0005933508937377892im	0.009623672326830536 - 0.02835495918569829im
-2.6280902647830825e-6 + 0.0im	-0.19228085291090394 - 0.0289483128904382im	-0.20190461303514254 - 0.0005933600945346153im	-0.20190461303514248 - 0.0005933600945346162im	0.009623757979571329 - 0.028354952795781912im
-2.602069569092161e-6 + 0.0im	-0.1922810128763725 - 0.028948315657414864im	-0.20190485892518809 - 0.0005933691592420761im	-0.20190485892518809 - 0.0005933691592420773im	0.009623843907882387 - 0.028354946498051398im
-2.5763065040516445e-6 + 0.0im	-0.19228117272502548 - 0.028948318385017463im	-0.20190510497371 - 0.0005933780898894798im	-0.20190510497371006 - 0.0005933780898894811im	0.00962393011158089 - 0.02835494029500685im
-2.5507985188630145e-6 + 0.0im	-0.19228133246412893 - 0.02894832107805297im	-0.2019053511885177 - 0.0005933868888717839im	-0.20190535118851777 - 0.0005933868888717851im	0.009624016591213534 - 0.028354934189060366im
-2.525543087983183e-6 + 0.0im	-0.1922814921005552 - 0.02894832374157479im	-0.20190559757737508 - 0.000593395558939492im	-0.20190559757737508 - 0.0005933955589394934im	0.009624103347674622 - 0.0283549281825147im
-2.5005377108744385e-6 + 0.0im	-0.19228165164074645 - 0.028948326380849113im	-0.201905844147955 - 0.0005934041031853727im	-0.201905844147955 - 0.0005934041031853738im	0.009624190382199117 - 0.028354922277543427im
-2.47577991175687e-6 + 0.0im	-0.19228181108778486 - 0.028948329001319426im	-0.20190609090663536 - 0.0005934125250280849im	-0.20190609090663536 - 0.0005934125250280861im	0.009624277698147356 - 0.028354916476171256im
-2.4512672393632374e-6 + 0.0im	-0.19228197045733134 - 0.028948331608569026im	-0.20190633786490172 - 0.000593420828192843im	-0.20190633786490172 - 0.000593420828192844im	0.009624365291141506 - 0.028354910780256343im
-2.4269972666962745e-6 + 0.0im	-0.1922821297438936 - 0.028948334208282175im	-0.2019065850257295 - 0.0005934290166892682im	-0.20190658502572956 - 0.0005934290166892696im	0.009624453169873617 - 0.02835490519147333im
-2.4029675907883904e-6 + 0.0im	-0.19228228895622268 - 0.02894833680620349im	-0.201906832397832 - 0.0005934370947866017im	-0.201906832397832 - 0.0005934370947866028im	0.009624541334227832 - 0.02835489971129751im
-2.3791758324637527e-6 + 0.0im	-0.19228244809861625 - 0.028948339408096522im	-0.20190707998810417 - 0.0005934450669864764im	-0.20190707998810423 - 0.0005934450669864778im	0.009624629786806511 - 0.02835489434099095im
-2.3556196361027252e-6 + 0.0im	-0.19228260717498316 - 0.02894834201970189im	-0.20190732780324266 - 0.0005934529379934704im	-0.20190732780324266 - 0.0005934529379934718im	0.009624718530401083 - 0.02835488908158956im
-2.332296669408639e-6 + 0.0im	-0.19228276618876522 - 0.02894834464669473im	-0.20190757584968985 - 0.0005934607126836855im	-0.20190757584968985 - 0.0005934607126836874im	0.00962480756801612 - 0.028354883933892384im
-2.3092046231768704e-6 + 0.0im	-0.19228292514230202 - 0.028948347294641904im	-0.20190782413320782 - 0.0005934683960716053im	-0.20190782413320787 - 0.0005934683960716065im	0.009624896903082837 - 0.028354878898451872im
-2.2863412110662085e-6 + 0.0im	-0.192283084041733 - 0.02894834996896001im	-0.2019080726620386 - 0.0005934759932755137im	-0.2019080726620386 - 0.0005934759932755148im	0.00962498653768413 - 0.028354873975566276im
-2.263704169372484e-6 + 0.0im	-0.1922832428845311 - 0.028948352674873317im	-0.2019083214388151 - 0.0005934835094817644im	-0.2019083214388151 - 0.0005934835094817656im	0.009625076477015708 - 0.028354869165273532im
-2.2412912568044396e-6 + 0.0im	-0.19228340167488142 - 0.028948355417373367im	-0.20190857047050736 - 0.0005934909499082067im	-0.20190857047050736 - 0.000593490949908208im	0.009625166723851398 - 0.02835486446734734im
-2.219100254261821e-6 + 0.0im	-0.19228356041408534 - 0.028948358201179167im	-0.20190881976219655 - 0.000593498319767066im	-0.20190881976219655 - 0.0005934983197670669im	0.009625257281976076 - 0.02835485988129446im
-2.1971289646156643e-6 + 0.0im	-0.19228371910327482 - 0.028948361030699362im	-0.2019090693188204 - 0.0005935056242276181im	-0.2019090693188204 - 0.0005935056242276198im	0.009625348155200384 - 0.02835485540635429im
-2.1753752124907567e-6 + 0.0im	-0.1922838777432948 - 0.028948363909996312im	-0.20190931914508822 - 0.0005935128683789705im	-0.20190931914508828 - 0.0005935128683789723im	0.009625439347393272 - 0.02835485104150008im
-2.1538368440502543e-6 + 0.0im	-0.19228403633159463 - 0.02894836684275221im	-0.2019095692425073 - 0.0005935200571932643im	-0.2019095692425073 - 0.0005935200571932654im	0.009625530862614487 - 0.028354846785441885im
-2.13251172678243e-6 + 0.0im	-0.19228419487789092 - 0.02894836983223799im	-0.20190981962427865 - 0.0005935271954896442im	-0.20190981962427865 - 0.0005935271954896452im	0.009625622704361743 - 0.028354842636631454im
-2.1113977492895345e-6 + 0.0im	-0.1922843533729539 - 0.028948372881284844im	-0.20191007415475815 - 0.0005935342878992892im	-0.20191007415475815 - 0.0005935342878992903im	0.009625714877021322 - 0.028354838593268823im
-2.0904928210787472e-6 + 0.0im	-0.19228451181989542 - 0.028948375992258794im	-0.20191032510244597 - 0.0005935413388318399im	-0.20191032510244591 - 0.0005935413388318412im	0.009625807384382073 - 0.028354834653310408im
-2.0697948723551953e-6 + 0.0im	-0.19228467021859635 - 0.028948379167039073im	-0.20191057634032464 - 0.0005935483524434997im	-0.20191057634032467 - 0.0005935483524435014im	0.00962590023035469 - 0.028354830814479176im
-2.049301853817025e-6 + 0.0im	-0.19228482856889884 - 0.028948382406999318im	-0.20191082787212591 - 0.0005935553326071283im	-0.20191082787212591 - 0.0005935553326071294im	0.009625993418834453 - 0.028354827074275942im
-2.0290117364525e-6 + 0.0im	-0.19228498687031087 - 0.02894838571299331im	-0.20191107970080904 - 0.0005935622828845741im	-0.20191107970080904 - 0.0005935622828845754im	0.009626086953279475 - 0.028354823429992668im
-2.0089225113391088e-6 + 0.0im	-0.19228514512323427 - 0.028948389085344084im	-0.201911331831172 - 0.0005935692065015245im	-0.20191133183117194 - 0.0005935692065015258im	0.009626180838090343 - 0.028354819878726633im
-1.989032189444662e-6 + 0.0im	-0.1922853033271968 - 0.028948392523837442im	-0.20191158426591385 - 0.0005935761063251043im	-0.20191158426591385 - 0.0005935761063251055im	0.009626275076446157 - 0.028354816417396563im
-1.9693388014303584e-6 + 0.0im	-0.19228546148233103 - 0.028948396027719682im	-0.20191183700882886 - 0.0005935829848444332im	-0.20191183700882886 - 0.0005935829848444348im	0.009626369672014521 - 0.02835481304275959im
-1.9498403974558e-6 + 0.0im	-0.19228561958901436 - 0.02894839959569957im	-0.20191209006334876 - 0.0005935898441543514im	-0.2019120900633487 - 0.0005935898441543528im	0.009626464627857705 - 0.028354809751429698im
-1.9305350469859407e-6 + 0.0im	-0.1922857776475272 - 0.028948403225954707im	-0.2019123434338772 - 0.0005935966859424528im	-0.2019123434338772 - 0.0005935966859424544im	0.009626559948103582 - 0.02835480653989688im
-1.911420838599941e-6 + 0.0im	-0.19228593565898142 - 0.028948406916142255im	-0.2019125971239254 - 0.0005936035114795996im	-0.2019125971239254 - 0.0005936035114796014im	0.009626655635159428 - 0.02835480340454748im
-1.892495879801922e-6 + 0.0im	-0.19228609362420923 - 0.028948410663414418im	-0.2019128511380082 - 0.0005936103216139936im	-0.2019128511380082 - 0.0005936103216139957im	0.009626751692752464 - 0.02835480034168534im
-1.8737582968335862e-6 + 0.0im	-0.19228625154509812 - 0.02894841446443746im	-0.20191310548053798 - 0.0005936171167689138im	-0.20191310548053798 - 0.0005936171167689156im	0.009626848123384251 - 0.02835479734755361im
-1.8552062344886993e-6 + 0.0im	-0.1922864094234731 - 0.02894841831541604im	-0.2019133601564295 - 0.00059362389694415im	-0.20191336015642952 - 0.0005936238969441514im	0.0096269449300735 - 0.028354794418357056im
-1.8368378559294051e-6 + 0.0im	-0.19228656726247922 - 0.02894842221212087im	-0.20191361517094128 - 0.0005936306617211648im	-0.20191361517094128 - 0.0005936306617211664im	0.009627042115116403 - 0.02835479155028496im
-1.8186513425043615e-6 + 0.0im	-0.19228672506419517 - 0.028948426149920874im	-0.20191387052966978 - 0.0005936374102719511im	-0.20191387052966978 - 0.000593637410271953im	0.009627139681876581 - 0.02835478873953431im
-1.8006448935686747e-6 + 0.0im	-0.19228688283305823 - 0.02894843012381899im	-0.20191412623898639 - 0.0005936441413715692im	-0.20191412623898639 - 0.000593644141371571im	0.009627237632282166 - 0.028354785982332948im
-1.7828167263056186e-6 + 0.0im	-0.19228704057502785 - 0.028948434128491556im	-0.20191438230539996 - 0.0005936508534142521im	-0.20191438230539996 - 0.0005936508534142531im	0.009627335967749152 - 0.028354783274962974im
-1.7651650755501175e-6 + 0.0im	-0.19228719829047175 - 0.028948438158331348im	-0.20191463873694426 - 0.0005936575444329859im	-0.20191463873694432 - 0.0005936575444329868im	0.009627434693421826 - 0.02835478061378414im
-1.7476881936139776e-6 + 0.0im	-0.19228735598957614 - 0.02894844220749334im	-0.20191489553989933 - 0.0005936642121224299im	-0.20191489553989936 - 0.0005936642121224317im	0.009627533808803195 - 0.028354777995256777im
-1.730384350112849e-6 + 0.0im	-0.19228751367763647 - 0.02894844626994351im	-0.20191515272450383 - 0.0005936708538649959im	-0.20191515272450383 - 0.0005936708538649979im	0.009627633316792608 - 0.028354775415964487im
-1.7132518317949e-6 + 0.0im	-0.19228767136301655 - 0.028948450339509983im	-0.2019154103001836 - 0.000593677466759883im	-0.2019154103001836 - 0.0005936774667598846im	0.009627733219002423 - 0.028354772872636196im
-1.6962889423711881e-6 + 0.0im	-0.19228782904985514 - 0.028948454409936538im	-0.20191566827603136 - 0.0005936840476548533im	-0.20191566827603136 - 0.0005936840476548547im	0.009627833519305743 - 0.028354770362167905im
-1.679494002347711e-6 + 0.0im	-0.19228798675208555 - 0.028948458474937336im	-0.20191592666384156 - 0.0005936905931804915im	-0.20191592666384156 - 0.0005936905931804926im	0.009627934217500704 - 0.028354767881643154im
-1.6628653488591198e-6 + 0.0im	-0.19228814447752987 - 0.028948462528253418im	-0.20191618547586918 - 0.0005936970997866651im	-0.20191618547586918 - 0.0005936970997866664im	0.009628035316573686 - 0.028354765428353166im
-1.646401335504079e-6 + 0.0im	-0.19228830223711263 - 0.02894846656370994im	-0.20191644472394865 - 0.0005937035637808965im	-0.20191644472394865 - 0.0005937035637808982im	0.009628136818554452 - 0.02835476299981556im
-1.6301003321822563e-6 + 0.0im	-0.19228846004311348 - 0.028948470575273798im	-0.20191670442249324 - 0.0005937099813683263im	-0.20191670442249324 - 0.0005937099813683277im	0.00962823872548732 - 0.028354760593792105im
-1.613960724932927e-6 + 0.0im	-0.19228861790481255 - 0.02894847455711143im	-0.20191696458679875 - 0.0005937163486929297im	-0.20191696458679875 - 0.0005937163486929313im	0.009628341040213123 - 0.0283547582083052im
-1.5979809157751752e-6 + 0.0im	-0.19228877584044266 - 0.028948478503645958im	-0.20191722523140151 - 0.0005937226618796499im	-0.20191722523140146 - 0.0005937226618796512im	0.009628443764286983 - 0.0283547558416531im
-1.5821593225496783e-6 + 0.0im	-0.19228893386183948 - 0.028948482409613504im	-0.20191748637395418 - 0.000593728917077077im	-0.20191748637395418 - 0.0005937289170770788im	0.00962854690072853 - 0.02835475349242337im
-1.5664943787620576e-6 + 0.0im	-0.1922890919844951 - 0.028948486270118503im	-0.2019177480336634 - 0.0005937351105003207im	-0.20191774803366347 - 0.0005937351105003222im	0.009628650452280972 - 0.028354751159505222im
-1.5509845334277798e-6 + 0.0im	-0.1922892502245702 - 0.028948490080686447im	-0.20191801022696163 - 0.0005937412384736852im	-0.20191801022696163 - 0.0005937412384736867im	0.009628754421979092 - 0.028354748842099906im
-1.5356282509185938e-6 + 0.0im	-0.1922894085992684 - 0.028948493837315025im	-0.20191827297604853 - 0.0005937472974727986im	-0.20191827297604847 - 0.0005937472974728001im	0.009628858813135893 - 0.02835474653972956im
-1.520424010810489e-6 + 0.0im	-0.19228956712517323 - 0.028948497536522434im	-0.20191853630171 - 0.0005937532841658029im	-0.20191853630171 - 0.0005937532841658044im	0.009628963629573297 - 0.028354744252244005im
-1.5053703077331574e-6 + 0.0im	-0.19228972582279727 - 0.02894850117539203im	-0.20191880022710987 - 0.0005937591954532526im	-0.20191880022710987 - 0.0005937591954532538im	0.00962906887515089 - 0.028354741979826244im
-1.4904656512209479e-6 + 0.0im	-0.19228988471061256 - 0.02894850475161416im	-0.2019190647766061 - 0.0005937650285063562im	-0.20191906477660607 - 0.0005937650285063577im	0.009629174554491875 - 0.02835473972299538im
-1.475708565565295e-6 + 0.0im	-0.19229004380898443 - 0.0289485082635235im	-0.20191932997361856 - 0.0005937707808032182im	-0.20191932997361856 - 0.0005937707808032193im	0.009629280672585689 - 0.028354737482608014im
-1.4610975896686088e-6 + 0.0im	-0.1922902031389484 - 0.02894851171013241im	-0.20191959584675914 - 0.0005937764501627352im	-0.20191959584675914 - 0.0005937764501627365im	0.009629387234979317 - 0.02835473525985748im
-1.4466312768996125e-6 + 0.0im	-0.1922903627222679 - 0.02894851509115929im	-0.20191986242237964 - 0.00059378203477586im	-0.20191986242237964 - 0.0005937820347758613im	0.009629494247825004 - 0.028354733056271352im
-1.4323081949501115e-6 + 0.0im	-0.19229052258125462 - 0.028948518407052277im	-0.20192012973056744 - 0.0005937875332338919im	-0.2019201297305675 - 0.0005937875332338935im	0.009629601717929917 - 0.02835473087370645im
-1.4181269256931798e-6 + 0.0im	-0.19229068273971275 - 0.02894852165900772im	-0.20192039780181953 - 0.0005937929445535754im	-0.20192039780181953 - 0.0005937929445535772im	0.009629709652877976 - 0.02835472871434231im
-1.4040860650427523e-6 + 0.0im	-0.192290843220793 - 0.02894852484898262im	-0.20192066666828237 - 0.0005937982681987069im	-0.20192066666828237 - 0.0005937982681987077im	0.009629818060967814 - 0.028354726580672195im
-1.3901842228146062e-6 + 0.0im	-0.19229100404928878 - 0.028948527979702408im	-0.20192093636361844 - 0.0005938035040980767im	-0.20192093636361844 - 0.0005938035040980783im	0.009629926951423064 - 0.02835472447549275im
-1.3764200225887189e-6 + 0.0im	-0.1922911652503501 - 0.028948531054661813im	-0.20192120692315635 - 0.000593808652659521im	-0.20192120692315635 - 0.0005938086526595222im	0.009630036334391258 - 0.028354722401890818im
-1.362792101572989e-6 + 0.0im	-0.1922913268497635 - 0.028948534078120473im	-0.2019214745145642 - 0.0005938137147799548im	-0.2019214745145642 - 0.0005938137147799564im	0.00963014622104332 - 0.02835472036322919im
-1.3492991104683058e-6 + 0.0im	-0.19229148887390649 - 0.028948537055092212im	-0.20192174691488804 - 0.0005938186918512405im	-0.20192174691488807 - 0.0005938186918512418im	0.009630256623676713 - 0.0283547183631298im
-1.3359397133349562e-6 + 0.0im	-0.19229165134905324 - 0.028948539991328626im	-0.2019220202950974 - 0.0005938235857618324im	-0.20192202029509743 - 0.0005938235857618337im	0.009630367556177837 - 0.02835471640545578im
-1.3227125874603525e-6 + 0.0im	-0.19229181430705303 - 0.028948542893296195im	-0.201922294698465 - 0.000593828398894113im	-0.201922294698465 - 0.0005938283988941146im	0.009630479031099717 - 0.028354714494291194im
-1.3096164232280718e-6 + 0.0im	-0.19229197777055923 - 0.02894854576814778im	-0.20192257016822238 - 0.0005938331341174368im	-0.20192257016822238 - 0.0005938331341174376im	0.009630591067652816 - 0.028354712633919588im
-1.2966499239881899e-6 + 0.0im	-0.19229214177164983 - 0.02894854862368836im	-0.2019228467524962 - 0.0005938377947768921im	-0.2019228467524962 - 0.0005938377947768933im	0.009630703681914729 - 0.028354710828800873im
-1.2838118059289008e-6 + 0.0im	-0.19229230634001124 - 0.028948551468334808im	-0.20192312449888122 - 0.0005938423846778493im	-0.20192312449888122 - 0.0005938423846778505im	0.009630816893281026 - 0.028354709083546516im
-1.2711007979494069e-6 + 0.0im	-0.19229247150643594 - 0.028948554311070844im	-0.20192340346062734 - 0.0005938469080663826im	-0.20192340346062734 - 0.0005938469080663839im	0.009630930722776394 - 0.028354707402894183im
-1.2585156415340661e-6 + 0.0im	-0.19229263730274726 - 0.02894855716139635im	-0.20192368369089586 - 0.0005938513696057328im	-0.20192368369089586 - 0.0005938513696057339im	0.009631045193295823 - 0.02835470579168053im
-1.2460550906277882e-6 + 0.0im	-0.19229280376220464 - 0.028948560029271958im	-0.201923965248247 - 0.0005938557743489489im	-0.201923965248247 - 0.00059385577434895im	0.009631160329617465 - 0.028354704254813068im
-1.2337179115126616e-6 + 0.0im	-0.19229296875143678 - 0.028948562925059564im	-0.20192424822329125 - 0.0005938601277079531im	-0.20192424822329125 - 0.0005938601277079541im	0.009631276162150145 - 0.02835470279724191im
