w	A_d_u-self_d_u	A_d_d-self_d_u	A_d_u-self_d_d	A_d_d-self_d_d
-0.006549981459093656 + 0.0im	-0.9543014308082207 - 0.002283896392070435im	0.013103012821646746 - 0.1898852113584822im	0.013103012821644954 - 0.18988521135848138im	-0.9674044491393481 + 0.1876013149664439im
-0.006485130157518472 + 0.0im	-0.9543841415220141 - 0.002584954143207372im	0.01281744380021991 - 0.18959932085697365im	0.012817443800218155 - 0.18959932085697284im	-0.9672015908500783 + 0.1870143667137986im
-0.006420920948038091 + 0.0im	-0.9544648783541977 - 0.0028823807502338502im	0.012532293020468243 - 0.18931794861273646im	0.012532293020466602 - 0.18931794861273563im	-0.9669971769190328 + 0.18643556786253473im
-0.00635734747330504 + 0.0im	-0.9545437094525407 - 0.0031762009718953716im	0.012247643194502068 - 0.1890410597838697im	0.012247643194500378 - 0.18904105978386881im	-0.9667913582063262 + 0.1858648588120066im
-0.006294403438915882 + 0.0im	-0.9546207017247067 - 0.003466441037305236im	0.011963575159996276 - 0.188768617173716im	0.011963575159994477 - 0.18876861717371513im	-0.9665842824647172 + 0.18530217613644293im
-0.006232082612788002 + 0.0im	-0.9546959184828278 - 0.003753128552423875im	0.011680164153815403 - 0.1885005813820304im	0.011680164153813666 - 0.18850058138202963im	-0.9663760882285439 + 0.18474745282963842im
-0.0061703788245425755 + 0.0im	-0.9547694235909203 - 0.004036292408178072im	0.011397487178148426 - 0.1882369109535117im	0.011397487178146795 - 0.18823691095351086im	-0.9661669168549183 + 0.18420061854536549im
-0.006109285964893639 + 0.0im	-0.954841279272299 - 0.00431596269037147im	0.011115639387890383 - 0.18797756252344827im	0.011115639387888877 - 0.18797756252344752im	-0.9659569091796713 + 0.18366159983310865im
-0.006048797985043207 + 0.0im	-0.9549115445832053 - 0.004592170591524078im	0.010834642349362803 - 0.18772249096025373im	0.010834642349361304 - 0.18772249096025273im	-0.9657461733290054 + 0.18313032036876137im
-0.005988908896082383 + 0.0im	-0.9549802775899153 - 0.004864948324765295im	0.01055457276931098 - 0.18747164950468279im	0.01055457276930922 - 0.18747164950468187im	-0.9655348578462055 + 0.18260670117994904im
-0.005929612768398399 + 0.0im	-0.9550475350315113 - 0.00513432903989176im	0.010275528227815238 - 0.1872249899055502im	0.010275528227813633 - 0.1872249899055493im	-0.9653230634038473 + 0.18209066086569028im
-0.005870903731087523 + 0.0im	-0.9551133703252158 - 0.005400346741688943im	0.009997549803741462 - 0.18698246255178474im	0.009997549803739845 - 0.18698246255178386im	-0.9651109257518035 + 0.18158211581012762im
-0.005812775971373785 + 0.0im	-0.9551778369516047 - 0.0056630362106028205im	0.009720708085398336 - 0.1867440166006756im	0.009720708085396643 - 0.18674401660067472im	-0.9648985492178441 + 0.18108098039010456im
-0.005755223734033451 + 0.0im	-0.9552409868574656 - 0.005922432925836235im	0.0094450439437671 - 0.18650960010218903im	0.009445043943765488 - 0.18650960010218814im	-0.9646860379824141 + 0.18058716717638462im
-0.005698241320825199 + 0.0im	-0.9553028695662946 - 0.006178572990932798im	0.009170625439966242 - 0.1862791601192483im	0.009170625439964662 - 0.18627916011924742im	-0.9644735006666307 + 0.18010058712834734im
-0.005641823089925939 + 0.0im	-0.9553635327547768 - 0.006431493061900461im	0.008897499396418937 - 0.18605264284388914im	0.008897499396417327 - 0.18605264284388834im	-0.9642610378172789 + 0.17962114978202073im
-0.005585963455372217 + 0.0im	-0.9554230228329539 - 0.006681230277915781im	0.008625715313369522 - 0.1858299937092233im	0.008625715313367895 - 0.18582999370922235im	-0.9640487438177712 + 0.17914876343133948im
-0.005530656886507146 + 0.0im	-0.9554813845940688 - 0.0069278221946403986im	0.00835532022509506 - 0.18561115749715143im	0.008355320225093662 - 0.18561115749715068im	-0.963836710495659 + 0.17868333530254307im
-0.005475897907432818 + 0.0im	-0.9555386613223216 - 0.007171306720170937im	0.008086358851419291 - 0.18539607844179526im	0.00808635885141787 - 0.1853960784417944im	-0.9636250258549849 + 0.17822477172165624im
-0.005421681096468137 + 0.0im	-0.9555948941913408 - 0.007411722053634823im	0.007818872821787027 - 0.18518470032861709im	0.007818872821785361 - 0.18518470032861617im	-0.9634137726988883 + 0.17777297827501432im
-0.0053680010856120165 + 0.0im	-0.9556501240409832 - 0.007649106626435834im	0.007552903001478713 - 0.18497696658922605im	0.007552903001477092 - 0.1849769665892251im	-0.9632030327324682 + 0.17732785996282246im
-0.005314852560011897 + 0.0im	-0.9557043891014461 - 0.007883499046144857im	0.007288486532128427 - 0.18477282039187104im	0.007288486532126677 - 0.1847728203918702im	-0.9629928813276092 + 0.1768893213457586im
-0.005262230257437522 + 0.0im	-0.9557577265717199 - 0.008114938043023896im	0.007025658900236216 - 0.18457220472763938im	0.00702565890023451 - 0.1845722047276386im	-0.9627833911698149 + 0.17645726668464792im
-0.005210128967759923 + 0.0im	-0.9558101721763897 - 0.008343462419164227im	0.0067644533698879355 - 0.18437506249238855im	0.006764453369886304 - 0.1843750624923878im	-0.962574631247773 + 0.17603160007325708im
-0.005158543532435568 + 0.0im	-0.9558617602420826 - 0.008569111000213092im	0.006504901133754033 - 0.184181336564455im	0.006504901133752317 - 0.18418133656445412im	-0.9623666671565743 + 0.1756122255642747im
-0.005107468843995612 + 0.0im	-0.9559125236390578 - 0.00879192258965684im	0.006247030917776116 - 0.18399096987818456im	0.00624703091777429 - 0.1839909698781837im	-0.9621595602663979 + 0.17519904728856064im
-0.005056899845540209 + 0.0im	-0.9559624940931294 - 0.009011935925623648im	0.005990870320535165 - 0.18380390549334968im	0.0059908703205335066 - 0.18380390549334885im	-0.9619533701262305 + 0.17479196956775916im
-0.005006831530237831 + 0.0im	-0.9560117010730951 - 0.009229189640162755im	0.0057364428525493935 - 0.18362008666051613im	0.00573644285254791 - 0.1836200866605152im	-0.9617481510857239 + 0.1743908970203865im
-0.004957258940829536 + 0.0im	-0.9560601749872071 - 0.00944372222095363im	0.005483774030614738 - 0.18343945688243957im	0.005483774030613135 - 0.18343945688243873im	-0.9615439547351537 + 0.17399573466151935im
-0.0049081771691381545 + 0.0im	-0.9561079428469164 - 0.009655571975393388im	0.005232883872250653 - 0.1832619599715726im	0.005232883872249069 - 0.1832619599715716im	-0.961340832439269 + 0.1736063879962127im
-0.004859581355582331 + 0.0im	-0.9561550312713197 - 0.009864776997007815im	0.004983791972908421 - 0.1830875401037712im	0.004983791972906847 - 0.18308754010377049im	-0.9611388289669904 + 0.1732227631067972im
-0.004811466688695377 + 0.0im	-0.9562014656688083 - 0.010071375134127338im	0.004736516112457976 - 0.1829161418682979im	0.00473651611245643 - 0.18291614186829705im	-0.9609379875065873 + 0.17284476673420476im
-0.0047638284046488885 + 0.0im	-0.9562472702806876 - 0.010275403960767295im	0.0044910723284900195 - 0.1827477103142184im	0.004491072328488421 - 0.18274771031421758im	-0.9607383483369619 + 0.17247230635348537im
-0.004716661786781077 + 0.0im	-0.9562924690295361 - 0.010476900749648379im	0.0042474763252879945 - 0.1825821909932985im	0.004247476325286339 - 0.18258219099329762im	-0.9605399510852126 + 0.17210529024368448im
-0.004669962165129779 + 0.0im	-0.9563370824168254 - 0.010675902447292019im	0.0040057383907664895 - 0.18241952999950772im	0.0040057383907646455 - 0.18241952999950692im	-0.9603428265400278 + 0.17174362755225053im
-0.0046237249159700785 + 0.0im	-0.9563811326830551 - 0.010872445651122987im	0.0037658717273195653 - 0.1822596740052419im	0.0037658717273177395 - 0.1822596740052413im	-0.9601470101450211 + 0.17138722835415404im
-0.004577945461356514 + 0.0im	-0.9564246397731802 - 0.011066566588510652im	0.0035278860750593446 - 0.1821025702943768im	0.00352788607505772 - 0.18210257029437588im	-0.9599525315850219 + 0.1710360037059013im
-0.0045326192686698154 + 0.0im	-0.9564676228034323 - 0.011258301097678893im	0.003291789933321991 - 0.1819481667922675im	0.0032917899333203514 - 0.18194816679226664im	-0.9597594184756019 + 0.17068986569462405im
-0.004487741850168134 + 0.0im	-0.9565101000248649 - 0.011447684610414245im	0.003057590558523768 - 0.18179641209281566im	0.0030575905585222356 - 0.18179641209281483im	-0.9595676869454816 + 0.1703487274824373im
-0.004443308762542707 + 0.0im	-0.9565520886546572 - 0.011634752136501154im	0.0028252968218980034 - 0.18164725548271524im	0.0028252968218963597 - 0.18164725548271435im	-0.9593773872732478 + 0.17001250334625012im
-0.004399315606477928 + 0.0im	-0.9565936052332757 - 0.011819538249813147im	0.002594907672363725 - 0.18150064696299947im	0.0025949076723619817 - 0.18150064696299847im	-0.9591885097312617 + 0.16968110871322264im
-0.00435575802621577 + 0.0im	-0.9566346650133947 - 0.012002077075988738im	0.002366448489808355 - 0.18135653726800804im	0.002366448489806423 - 0.1813565372680072im	-0.9590010968644773 + 0.16935446019205605im
-0.0043126317091245255 + 0.0im	-0.9566752839677192 - 0.012182402281621287im	0.0021398630536038814 - 0.18121487788189097im	0.0021398630536019324 - 0.18121487788189025im	-0.9588151506677741 + 0.16903247560030674im
-0.004269932385271807 + 0.0im	-0.9567154755183215 - 0.012360547064892273im	0.00191521238510892 - 0.18107562105276612im	0.0019152123851070267 - 0.18107562105276526im	-0.9586306915520993 + 0.16871507398791116im
-0.004227655827001789 + 0.0im	-0.9567552531146344 - 0.012536544147578446im	0.0016924765895603006 - 0.18093871980464965im	0.0016924765895585667 - 0.18093871980464893im	-0.9584477333550572 + 0.1684021756571088im
-0.004185797848516623 + 0.0im	-0.956794629221392 - 0.012710425768363884im	0.0014716745207360503 - 0.180804127947272im	0.001471674520734387 - 0.18080412794727121im	-0.9582662871669002 + 0.1680937021789461im
-0.004144354305462003 + 0.0im	-0.9568336163179214 - 0.012882223677389356im	0.0012527641378459566 - 0.18067180008389538im	0.0012527641378442503 - 0.1806718000838945im	-0.958086372075574 + 0.16778957640654452im
-0.0041033210945168345 + 0.0im	-0.956872226861757 - 0.013051969131972126im	0.0010357488102959345 - 0.1805416916172418im	0.0010357488102941867 - 0.18054169161724098im	-0.9579079792350259 + 0.16748972248530827im
-0.004062694152986965 + 0.0im	-0.9569104696190817 - 0.013219692893431076im	0.0008206573705601378 - 0.18041375875364407im	0.0008206573705583449 - 0.1804137587536433im	-0.957731130649041 + 0.16719406586025207im
-0.004022469458402935 + 0.0im	-0.9569483556935539 - 0.013385425224952788im	0.0006074863681121411 - 0.1802879585055253im	0.0006074863681104248 - 0.1802879585055245im	-0.957555828246887 + 0.16690253328061186im
-0.003982643028121718 + 0.0im	-0.9569858953072359 - 0.013549195890436884im	0.0003961793846219694 - 0.18016424869231315im	0.0003961793846202773 - 0.18016424869231235im	-0.9573820783553888 + 0.16661505280191588im
-0.003943210918932394 + 0.0im	-0.9570230968076161 - 0.013711034154258811im	0.00018678190890377273 - 0.18004258793988911im	0.00018678190890213271 - 0.1800425879398883im	-0.9572098823820833 + 0.16633155378567055im
-0.0039041692266657364 + 0.0im	-0.9570599773119707 - 0.013870968781891667im	-2.0709729168326164e-5 - 0.17992293567867584im	-2.0709729170040206e-5 - 0.1799229356786749im	-0.9570392435289663 + 0.16605196689682464im
-0.0038655140858076596 + 0.0im	-0.9570965209737469 - 0.014029028041329092im	-0.00022634082283976521 - 0.17980525214045356im	-0.00022634082284157044 - 0.17980525214045265im	-0.9568701723887302 + 0.1657762240991654im
-0.0038272416691164947 + 0.0im	-0.9571327595344225 - 0.01418523970525351im	-0.000430099090996246 - 0.17968949835400552im	-0.0004300990909982092 - 0.17968949835400455im	-0.9567026451686687 + 0.16550425864879323im
-0.003789348187244054 + 0.0im	-0.9571686919417226 - 0.014339631053896096im	-0.0006319952351019207 - 0.17957563613967678im	-0.0006319952351037936 - 0.17957563613967617im	-0.9565366913301595 + 0.1652360050858223im
-0.00375182988836045 + 0.0im	-0.9572043353353363 - 0.01449222887853571im	-0.0008320498797721547 - 0.17946362810293845im	-0.0008320498797737704 - 0.17946362810293767im	-0.9563722793562698 + 0.1649713992244448im
-0.0037146830577826236 + 0.0im	-0.9572396771914836 - 0.01464305948558735im	-0.0010302407383082637 - 0.17935343762703784im	-0.001030240738309952 - 0.179353437627037im	-0.9562094303547352 + 0.1647103781414928im
-0.003677904017606558 + 0.0im	-0.9572747331536919 - 0.014792148701230768im	-0.0012265936106979926 - 0.1792450288648168im	-0.0012265936106996464 - 0.179245028864816im	-0.9560481333747584 + 0.1644528801636288im
-0.003641489126343127 + 0.0im	-0.9573095085887593 - 0.014939521876533503im	-0.0014211191235673681 - 0.179138366729776im	-0.0014211191235690077 - 0.17913836672977518im	-0.9558883831303873 + 0.16419884485328567im
-0.003605434778557551 + 0.0im	-0.9573440094374498 - 0.015085203893023003im	-0.001613807103355711 - 0.17903341688645705im	-0.001613807103357454 - 0.1790334168864561im	-0.9557301781020675 + 0.1639482129934776im
-0.003569737404512427 + 0.0im	-0.9573782409943898 - 0.015229219168665249im	-0.0018047252314536337 - 0.17893014574021632im	-0.0018047252314553118 - 0.1789301457402155im	-0.9555735063400983 + 0.163700926571595im
-0.003534393469814284 + 0.0im	-0.9574122077699628 - 0.015371591664208801im	-0.0019938285038973687 - 0.1788285204264548im	-0.001993828503899179 - 0.17882852042645406im	-0.9554183731725725 + 0.16345692876229043im
-0.0034993994750636475 + 0.0im	-0.9574459150714797 - 0.015512344889855008im	-0.0021811456118636745 - 0.17872850879937063im	-0.0021811456118653806 - 0.17872850879936983im	-0.9552647607489596 + 0.16321616390956029im
-0.003464751955508562 + 0.0im	-0.957479366509835 - 0.015651501912217078im	-0.0023666894291570744 - 0.17863007942029221im	-0.0023666894291586556 - 0.17863007942029133im	-0.9551126709876896 + 0.16297857750812017im
-0.0034304474807015464 + 0.0im	-0.9575125669063217 - 0.015789085361532118im	-0.0025504704493084455 - 0.17853320154565372im	-0.002550470449310103 - 0.17853320154565286im	-0.9549620903647431 + 0.16274411618416704im
-0.003396482654159947 + 0.0im	-0.9575455199074051 - 0.01592511743909247im	-0.0027325011184319006 - 0.17843784511466323im	-0.002732501118433579 - 0.17843784511466235im	-0.9548130126974038 + 0.16251272767561667im
-0.0033628541130296505 + 0.0im	-0.9575782292427174 - 0.016059619924863957im	-0.002912793566092708 - 0.17834398073671745im	-0.002912793566094338 - 0.17834398073671662im	-0.9546654275855319 + 0.16228436081189976im
-0.003329558527752129 + 0.0im	-0.9576106898173272 - 0.0161926141852606im	-0.003091342302268114 - 0.17825157967860997im	-0.0030913423022699226 - 0.17825157967860902im	-0.9545193421514515 + 0.16205896549339605im
-0.0032965926017347815 + 0.0im	-0.9576429314907297 - 0.01632412118104708im	-0.0032681950772330214 - 0.17816061385157939im	-0.00326819507723485 - 0.17816061385157858im	-0.9543747130547018 + 0.16183649267057929im
-0.003263953071024536 + 0.0im	-0.9576749305186251 - 0.016454161475341296im	-0.0034433641514023845 - 0.17807105579823923im	-0.0034433641514042415 - 0.17807105579823837im	-0.9542315576075665 + 0.1616168943229453im
-0.003231636703984689 + 0.0im	-0.9577066990478642 - 0.0165827552416916im	-0.0036168090058877537 - 0.17798287867942802im	-0.003616809005889604 - 0.17798287867942716im	-0.9540898660932705 + 0.16140012343778415im
-0.0031996403009749395 + 0.0im	-0.9577382399366557 - 0.016709922272204396im	-0.0037885968414821188 - 0.17789605626101826im	-0.003788596841484006 - 0.1778960562610174im	-0.953949619343312 + 0.16118613398886186im
-0.0031679606940345937 + 0.0im	-0.9577695560002056 - 0.01683568198569958im	-0.003958723774334996 - 0.1778105629007165im	-0.003958723774336834 - 0.17781056290071565im	-0.9538108079906634 + 0.1609748809150656im
-0.0031365947465689047 + 0.0im	-0.9578006496140153 - 0.016960053435872417im	-0.0041272197785635085 - 0.17772637353488835im	-0.004127219778565337 - 0.17772637353488743im	-0.9536734214752239 + 0.16076632009906455im
-0.0031055393530385195 + 0.0im	-0.9578315237879322 - 0.01708305531944203im	-0.004294060402890709 - 0.17764346366543213im	-0.0042940604028926825 - 0.17764346366543124im	-0.9535374547235793 + 0.16056040834603913im
-0.0030747914386519996 + 0.0im	-0.9578621800635525 - 0.017204705984268005im	-0.004459278730433997 - 0.17756180934673524im	-0.004459278730436035 - 0.17756180934673443im	-0.9534028949861871 + 0.16035710336251693im
-0.0030443479590613856 + 0.0im	-0.9578926212004995 - 0.017325023437418468im	-0.004622887517837964 - 0.17748138717273085im	-0.0046228875178399124 - 0.17748138717273004im	-0.9532697273368416 + 0.16015636373536227im
-0.003014205900060778 + 0.0im	-0.9579228493024246 - 0.01744402535317291im	-0.004784900054051837 - 0.1774021742640785im	-0.004784900054053828 - 0.1774021742640775im	-0.9531379429036585 + 0.1599581489109556im
-0.0029843622772878988 + 0.0im	-0.9579528664374005 - 0.017561729080946033im	-0.004945329680397905 - 0.1773241482554915im	-0.004945329680399761 - 0.17732414825549078im	-0.9530075298732283 + 0.15976241917459597im
-0.0029548141359286126 + 0.0im	-0.9579826659560791 - 0.01767815165311877im	-0.005104190304454768 - 0.177247287283224im	-0.005104190304456599 - 0.17724728728322323im	-0.9528784795657965 + 0.15956913563015618im
-0.002925558550424369 + 0.0im	-0.9580122753383445 - 0.0177933097927645im	-0.005261497968702778 - 0.17717156997273653im	-0.005261497968704632 - 0.17717156997273573im	-0.9527507750150865 + 0.15937826018002307im
-0.0028965926241825432 + 0.0im	-0.958041671060502 - 0.01790721992125918im	-0.005417255495818477 - 0.1770969754265519im	-0.005417255495820324 - 0.177096975426551im	-0.9526244071107923 + 0.15918975550534414im
