w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-1.2711007979494069e-6 + 0.0im	-0.9721223868967315 - 1.0558737500915505im	-5.686830787719887 + 0.7046050682618547im	-5.68683078771989 + 0.704605068261855im	4.7147084550789335 - 1.76047881835323im
-1.2585156415340661e-6 + 0.0im	-0.9721219349061353 - 1.0558738425568173im	-5.68684405314091 + 0.7046046901974288im	-5.686844053140913 + 0.7046046901974291im	4.71472217217922 - 1.7604785327540697im
-1.2460550906277882e-6 + 0.0im	-0.9721214592566159 - 1.0558739336255316im	-5.686857392833455 + 0.7046043191512087im	-5.686857392833459 + 0.7046043191512084im	4.714735987089029 - 1.7604782527765632im
-1.2337179115126616e-6 + 0.0im	-0.972120960130992 - 1.0558740228793548im	-5.686870809735124 + 0.7046039543190296im	-5.686870809735128 + 0.7046039543190298im	4.714749901873034 - 1.7604779771982093im
-1.2215028826858036e-6 + 0.0im	-0.9721204376974901 - 1.0558741099367073im	-5.686884306886035 + 0.7046035948873158im	-5.6868843068860375 + 0.7046035948873158im	4.714763921755258 - 1.760477704823845im
-1.2094087947384193e-6 + 0.0im	-0.9721196888242336 - 1.0558741944563812im	-5.686897887330936 + 0.7046032400394168im	-5.686897887330942 + 0.7046032400394168im	4.71477804771077 - 1.7604774344956193im
-1.1974344502360588e-6 + 0.0im	-0.972119322965482 - 1.055874276140793im	-5.686911554990436 + 0.7046028889619718im	-5.686911554990443 + 0.7046028889619719im	4.714792283957791 - 1.7604771651025872im
-1.1855786636000582e-6 + 0.0im	-0.9721187309114949 - 1.0558743547388754im	-5.68692531334008 + 0.7046025408512628im	-5.686925313340086 + 0.7046025408512627im	4.714806633231579 - 1.7604768955899583im
-1.1738402609901566e-6 + 0.0im	-0.9721181158184958 - 1.0558744300485432im	-5.686939166402839 + 0.7046021949194788im	-5.686939166402845 + 0.7046021949194788im	4.714821101678308 - 1.7604766249678419im
-1.1622180801882738e-6 + 0.0im	-0.9721174681372757 - 1.0558745019187579im	-5.686953118403307 + 0.7046018504008617im	-5.68695311840331 + 0.7046018504008614im	4.714835691315368 - 1.760476352319441im
-1.1507109704834394e-6 + 0.0im	-0.9721168165721573 - 1.055874570251128im	-5.6869671740118095 + 0.7046015065576687im	-5.686967174011813 + 0.7046015065576687im	4.714850407566425 - 1.7604760768086176im
-1.1393177925578608e-6 + 0.0im	-0.9721161227617207 - 1.055874635001077im	-5.68698133834403 + 0.7046011626859061im	-5.686981338344033 + 0.704601162685906im	4.7148652712811865 - 1.7604757976868035im
-1.1280374183741195e-6 + 0.0im	-0.9721154152922797 - 1.0558746961785197im	-5.6869956170610525 + 0.7046008181207775im	-5.686995617061055 + 0.7046008181207772im	4.714880256937015 - 1.760475514299117im
-1.1168687310634845e-6 + 0.0im	-0.9721146843813444 - 1.0558747538480953im	-5.687010016499834 + 0.7046004722418145im	-5.687010016499838 + 0.7046004722418144im	4.714895386775519 - 1.7604752260897283im
-1.1058106248153311e-6 + 0.0im	-0.9721139295821809 - 1.0558748081288973im	-5.687024543819072 + 0.704600124477633im	-5.687024543819075 + 0.704600124477633im	4.714910668309244 - 1.760474932606348im
-1.0948620047676546e-6 + 0.0im	-0.9721131493324695 - 1.0558748591937654im	-5.6870392071756335 + 0.7045997743102824im	-5.687039207175636 + 0.7045997743102824im	4.714926110190255 - 1.7604746335038641im
-1.084021786898668e-6 + 0.0im	-0.9721123450450414 - 1.055874907268085im	-5.687054026570719 + 0.7045994212791435im	-5.687054026570722 + 0.7045994212791439im	4.714941734303765 - 1.7604743285470472im
-1.0732888979194733e-6 + 0.0im	-0.9721115161515216 - 1.0558749526281617im	-5.687068981215989 + 0.7045990649843529im	-5.687068981215992 + 0.7045990649843525im	4.714957517153642 - 1.7604740176123315im
-1.0626622751677954e-6 + 0.0im	-0.9721106589000252 - 1.0558749955991344im	-5.687084116053464 + 0.7045987050897071im	-5.687084116053467 + 0.7045987050897072im	4.714973508491693 - 1.7604737006886624im
-1.0521408665027677e-6 + 0.0im	-0.9721097729067883 - 1.0558750365524985im	-5.687099436466453 + 0.7045983413250413im	-5.687099436466457 + 0.7045983413250411im	4.71498971408467 - 1.7604733778773567im
-1.04172363020076e-6 + 0.0im	-0.9721088560271957 - 1.0558750759032065im	-5.6871149625783515 + 0.704597973488045im	-5.687114962578354 + 0.7045979734880448im	4.715006156083301 - 1.76047304939107im
-1.0314095348522376e-6 + 0.0im	-0.9721079053998471 - 1.0558751141064242im	-5.687130720201796 + 0.7045976014455074im	-5.687130720201798 + 0.7045976014455072im	4.715022863486972 - 1.7604727155517488im
-1.0211975592596412e-6 + 0.0im	-0.9721069167563301 - 1.0558751516539433im	-5.687146745829017 + 0.7045972251339783im	-5.68714674582902 + 0.7045972251339782im	4.7150398766398025 - 1.7604723767877388im
-1.0110866923362784e-6 + 0.0im	-0.9721058811413558 - 1.055875189070281im	-5.687163093847206 + 0.704596844559838im	-5.687163093847209 + 0.7045968445598381im	4.715057256624607 - 1.7604720336299358im
-1.0010759330062162e-6 + 0.0im	-0.9721047913395542 - 1.055875226908522im	-5.687179883449772 + 0.7045964597987785im	-5.687179883449775 + 0.7045964597987787im	4.715075136028226 - 1.7604716867071166im
1.0010759330062162e-6 + 0.0im	-0.9722585051854873 - 1.0554579302317915im	-5.687149572793586 + 0.7008770196055274im	-5.68714957279357 + 0.7008770196055277im	4.714891174404728 - 1.7563349498373773im
1.0110866923362784e-6 + 0.0im	-0.9722612336967835 - 1.055457776691751im	-5.687132382323457 + 0.7008764555823377im	-5.687132382323444 + 0.7008764555823381im	4.714871254690539 - 1.7563342322741493im
1.0211975592596412e-6 + 0.0im	-0.9722639221252382 - 1.0554576281460042im	-5.687115627321723 + 0.7008758994658512im	-5.6871156273217105 + 0.7008758994658512im	4.714851810681058 - 1.7563335276119136im
1.0314095348522376e-6 + 0.0im	-0.9722665844976565 - 1.055457483868185im	-5.687099187782032 + 0.7008753505326879im	-5.687099187782019 + 0.7008753505326881im	4.714832708286998 - 1.7563328344009324im
1.04172363020076e-6 + 0.0im	-0.9722692250963105 - 1.055457343119794im	-5.687083011113517 + 0.7008748080007098im	-5.687083011113504 + 0.7008748080007101im	4.714813890587062 - 1.7563321511205623im
1.0521408665027677e-6 + 0.0im	-0.972271847349371 - 1.055457205155907im	-5.687067061626009 + 0.7008742710345279im	-5.687067061625997 + 0.7008742710345284im	4.714795318544538 - 1.7563314761904938im
1.0626622751677954e-6 + 0.0im	-0.9722744537624946 - 1.0554570692309728im	-5.687051313805607 + 0.7008737387514969im	-5.687051313805594 + 0.7008737387514972im	4.714776963937775 - 1.7563308079825277im
1.0732888979194733e-6 + 0.0im	-0.97227704630382 - 1.0554569346046085im	-5.68703574776254 + 0.7008732102281198im	-5.687035747762527 + 0.70087321022812im	4.714758804999341 - 1.7563301448327868im
1.084021786898668e-6 + 0.0im	-0.9722796266333872 - 1.0554568005473823im	-5.687020347598122 + 0.7008726845068247im	-5.687020347598109 + 0.7008726845068248im	4.714740824170732 - 1.7563294850542681im
1.0948620047676546e-6 + 0.0im	-0.9722821952218024 - 1.0554566663464975im	-5.687005100100443 + 0.7008721606030333im	-5.68700510010043 + 0.7008721606030335im	4.714723006749793 - 1.7563288269495902im
1.1058106248153311e-6 + 0.0im	-0.9722847555265047 - 1.0554565313113287im	-5.686989994118769 + 0.7008716375124662im	-5.68698999411876 + 0.7008716375124664im	4.71470534026433 - 1.7563281688238548im
1.1168687310634845e-6 + 0.0im	-0.9722873076562729 - 1.0554563947787878im	-5.686975020007933 + 0.7008711142186198im	-5.686975020007924 + 0.7008711142186197im	4.714687813823314 - 1.7563275089974664im
1.1280374183741195e-6 + 0.0im	-0.9722898528045216 - 1.0554562561184428im	-5.686960169278876 + 0.7008705897003408im	-5.6869601692788665 + 0.7008705897003408im	4.714670417713679 - 1.7563268458188435im
1.1393177925578608e-6 + 0.0im	-0.972292392122948 - 1.0554561147373538im	-5.686945434374264 + 0.7008700629394379im	-5.686945434374258 + 0.7008700629394378im	4.714653127753361 - 1.756326177676853im
1.1507109704834394e-6 + 0.0im	-0.9722949270082317 - 1.0554559700845905im	-5.686930808498361 + 0.700869532928262im	-5.686930808498351 + 0.7008695329282622im	4.714635966946329 - 1.7563255030129132im
1.1622180801882738e-6 + 0.0im	-0.9722974577059074 - 1.0554558216553767im	-5.686916285618895 + 0.7008689986771828im	-5.686916285618885 + 0.7008689986771828im	4.7146189127647675 - 1.756324820332622im
1.1738402609901566e-6 + 0.0im	-0.9722999861894956 - 1.0554556689948502im	-5.686901859824632 + 0.7008684592219024im	-5.686901859824622 + 0.7008684592219028im	4.714601958348966 - 1.756324128216811im
1.1855786636000582e-6 + 0.0im	-0.9723025132343858 - 1.0554555117013615im	-5.686887526087393 + 0.7008679136305443im	-5.686887526087384 + 0.7008679136305443im	4.714585097370131 - 1.7563234253319662im
1.1974344502360588e-6 + 0.0im	-0.9723050399160678 - 1.0554553494293482im	-5.68687327949866 + 0.7008673610104429im	-5.68687327949865 + 0.7008673610104432im	4.714568323883451 - 1.7563227104398524im
1.2094087947384193e-6 + 0.0im	-0.9723075673001889 - 1.0554551818916837im	-5.686859115455692 + 0.700866800514599im	-5.6868591154556825 + 0.7008668005145994im	4.714551632248511 - 1.7563219824063443im
1.2215028826858036e-6 + 0.0im	-0.9723100964428437 - 1.0554550088615495im	-5.6868450296723765 + 0.7008662313477172im	-5.686845029672367 + 0.7008662313477169im	4.7145350171191085 - 1.756321240209328im
1.2337179115126616e-6 + 0.0im	-0.9723126283883107 - 1.055454830173771im	-5.6868310183368616 + 0.700865652771795im	-5.686831018336853 + 0.7008656527717951im	4.714518473440119 - 1.7563204829456294im
1.2460550906277882e-6 + 0.0im	-0.9723151641691623 - 1.0554546457256238im	-5.686817076998799 + 0.7008650641112194im	-5.68681707699879 + 0.7008650641112195im	4.714501996142107 - 1.7563197098369034im
1.2585156415340661e-6 + 0.0im	-0.9723177047961028 - 1.0554544554770973im	-5.686803202268146 + 0.7008644647573015im	-5.686803202268137 + 0.7008644647573016im	4.714485580597838 - 1.7563189202344605im
1.2711007979494069e-6 + 0.0im	-0.9723202512626531 - 1.0554542594506269im	-5.686789390627641 + 0.7008638541722467im	-5.686789390627635 + 0.7008638541722472im	4.714469222302801 - 1.7563181136229347im
1.2838118059289008e-6 + 0.0im	-0.9723228045363116 - 1.0554540577302862im	-5.686775638614312 + 0.7008632318924978im	-5.686775638614305 + 0.7008632318924979im	4.714452916852778 - 1.7563172896228465im
1.2966499239881899e-6 + 0.0im	-0.9723253655561227 - 1.0554538504604394im	-5.6867619430578324 + 0.7008625975314476im	-5.686761943057823 + 0.7008625975314478im	4.714436660228795 - 1.75631644799195im
1.3096164232280718e-6 + 0.0im	-0.9723279352296975 - 1.0554536378438983im	-5.686748300771333 + 0.7008619507814855im	-5.686748300771327 + 0.700861950781486im	4.714420448136497 - 1.7563155886254462im
1.3227125874603525e-6 + 0.0im	-0.9723305144409191 - 1.0554534201395616im	-5.686734708778552 + 0.7008612914153625im	-5.686734708778543 + 0.7008612914153625im	4.714404276720696 - 1.756314711554986im
1.3359397133349562e-6 + 0.0im	-0.9723331136725896 - 1.055453197659591im	-5.686721164227524 + 0.7008606192868787im	-5.686721164227518 + 0.7008606192868785im	4.714388142547195 - 1.7563138169465327im
1.3492991104683058e-6 + 0.0im	-0.9723357045712321 - 1.0554529707661275im	-5.686707664246146 + 0.7008599343308751im	-5.68670766424614 + 0.7008599343308751im	4.714372041636578 - 1.7563129050970658im
1.362792101572989e-6 + 0.0im	-0.9723383171035569 - 1.055452739867592im	-5.686694206322372 + 0.7008592365625367im	-5.6866942063223656 + 0.7008592365625369im	4.714355971069831 - 1.7563119764301929im
1.3764200225887189e-6 + 0.0im	-0.9723409421760965 - 1.0554525054145922im	-5.686680787788288 + 0.700858526076019im	-5.686680787788282 + 0.7008585260760192im	4.714339927276523 - 1.7563110314906756im
1.3901842228146062e-6 + 0.0im	-0.9723435804208864 - 1.0554522678954805im	-5.686667406252338 + 0.7008578030424093im	-5.686667406252332 + 0.7008578030424092im	4.714323907297271 - 1.7563100709379502im
1.4040860650427523e-6 + 0.0im	-0.9723462324113901 - 1.0554520278316004im	-5.68665405945318 + 0.700857067707038im	-5.686654059453174 + 0.7008570677070383im	4.7143079083778945 - 1.7563090955387015im
1.4181269256931798e-6 + 0.0im	-0.9723488986706696 - 1.0554517857722585im	-5.686640745119825 + 0.7008563203861795im	-5.686640745119819 + 0.7008563203861795im	4.71429192765915 - 1.756308106158503im
1.4323081949501115e-6 + 0.0im	-0.972351579286934 - 1.055451542289472im	-5.686627461164429 + 0.700855561463152im	-5.686627461164425 + 0.7008555614631518im	4.714275962621293 - 1.756307103752689im
1.4466312768996125e-6 + 0.0im	-0.9723542755702423 - 1.0554512979725408im	-5.686614205609471 + 0.700854791383869im	-5.686614205609465 + 0.7008547913838692im	4.714260010767941 - 1.7563060893564724im
1.4610975896686088e-6 + 0.0im	-0.9723569870309653 - 1.0554510534224764im	-5.68660097664392 + 0.7008540106518765im	-5.686600976643914 + 0.7008540106518762im	4.714244070099227 - 1.7563050640744178im
1.475708565565295e-6 + 0.0im	-0.9723597141564375 - 1.055450809246356im	-5.6865877723048035 + 0.7008532198229173im	-5.686587772304795 + 0.700853219822917im	4.714228138670769 - 1.7563040290693375im
1.4904656512209479e-6 + 0.0im	-0.9723624571500925 - 1.0554505660516393im	-5.68657459135538 + 0.7008524194990743im	-5.6865745913553765 + 0.7008524194990745im	4.714212214625281 - 1.756302985550777im
1.5053703077331574e-6 + 0.0im	-0.9723652161476548 - 1.0554503244404916im	-5.6865614317252025 + 0.7008516103225446im	-5.686561431725196 + 0.7008516103225446im	4.714196295782139 - 1.7563019347630995im
1.520424010810489e-6 + 0.0im	-0.9723679912289775 - 1.0554500850041861im	-5.6865482925014 + 0.7008507929690931im	-5.686548292501394 + 0.700850792969093im	4.714180381349816 - 1.7563008779733436im
1.5356282509185938e-6 + 0.0im	-0.9723707823317328 - 1.0554498483176065im	-5.686535172304532 + 0.7008499681412488im	-5.686535172304525 + 0.7008499681412488im	4.714164469840392 - 1.7562998164589183im
1.5509845334277798e-6 + 0.0im	-0.9723735895460554 - 1.0554496149339034im	-5.6865220698109615 + 0.7008491365613im	-5.686522069810955 + 0.7008491365613001im	4.71414856001972 - 1.7562987514952668im
1.5664943787620576e-6 + 0.0im	-0.9723764126774397 - 1.0554493853793745im	-5.686508984104086 + 0.7008482989641481im	-5.6865089841040835 + 0.700848298964148im	4.714132651061068 - 1.756297684343588im
1.5821593225496783e-6 + 0.0im	-0.9723792515870259 - 1.0554491601485725im	-5.6864959141052 + 0.7008474560900829im	-5.686495914105194 + 0.7008474560900829im	4.714116741979849 - 1.7562966162387195im
1.5979809157751752e-6 + 0.0im	-0.9723821060721118 - 1.0554489396997198im	-5.6864828591720755 + 0.700846608677539im	-5.686482859172069 + 0.700846608677539im	4.714100832434325 - 1.7562955483773208im
1.613960724932927e-6 + 0.0im	-0.9723849758848043 - 1.0554487244504354im	-5.686469818524703 + 0.7008457574558941im	-5.686469818524697 + 0.7008457574558942im	4.714084921855296 - 1.7562944819063933im
1.6301003321822563e-6 + 0.0im	-0.9723878607217112 - 1.0554485147738484im	-5.686456791419869 + 0.700844903138379im	-5.68645679141986 + 0.7008449031383791im	4.714069009743901 - 1.7562934179122913im
1.646401335504079e-6 + 0.0im	-0.9723907602803158 - 1.0554483109950867im	-5.686443777557385 + 0.7008440464151411im	-5.686443777557379 + 0.700844046415141im	4.714053096200034 - 1.7562923574102924im
1.6628653488591198e-6 + 0.0im	-0.9723936741848991 - 1.0554481133882119im	-5.686430776446644 + 0.7008431879465404im	-5.686430776446642 + 0.7008431879465407im	4.7140371810588215 - 1.7562913013348176im
1.679494002347711e-6 + 0.0im	-0.9723966020527466 - 1.055447922173593im	-5.686417787687164 + 0.7008423283567191im	-5.686417787687158 + 0.7008423283567191im	4.714021264292359 - 1.7562902505303761im
1.6962889423711881e-6 + 0.0im	-0.9723995434744236 - 1.0554477375157625im	-5.686404811197336 + 0.7008414682275029im	-5.686404811197334 + 0.7008414682275025im	4.714005346248969 - 1.7562892057433297im
1.7132518317949e-6 + 0.0im	-0.9724024980894721 - 1.0554475595217623im	-5.686391846782815 + 0.700840608092689im	-5.686391846782811 + 0.7008406080926889im	4.713989427139198 - 1.7562881676145161im
1.730384350112849e-6 + 0.0im	-0.9724054653196811 - 1.0554473882399946im	-5.686378894295506 + 0.7008397484327564im	-5.686378894295503 + 0.7008397484327568im	4.713973507275468 - 1.7562871366728152im
1.7476881936139776e-6 + 0.0im	-0.9724084448483143 - 1.0554472236595829im	-5.68636595386857 + 0.700838889670059im	-5.686365953868564 + 0.7008388896700591im	4.713957587191535 - 1.7562861133297076im
1.7651650755501175e-6 + 0.0im	-0.9724114362106302 - 1.0554470657102566im	-5.686353025542233 + 0.7008380321645236im	-5.68635302554223 + 0.7008380321645235im	4.713941667305047 - 1.756285097874843im
1.7828167263056186e-6 + 0.0im	-0.9724144390801552 - 1.055446914262749im	-5.686340109360577 + 0.7008371762098902im	-5.686340109360571 + 0.7008371762098904im	4.713925748326627 - 1.756284090472704im
1.8006448935686747e-6 + 0.0im	-0.9724174526940701 - 1.0554467691297102im	-5.686327205598092 + 0.7008363220305411im	-5.686327205598086 + 0.700836322030541im	4.713909830699988 - 1.7562830911603142im
1.8186513425043615e-6 + 0.0im	-0.9724204770256784 - 1.055446630067127im	-5.686314314433472 + 0.7008354697789205im	-5.686314314433465 + 0.700835469778921im	4.7138939151001455 - 1.7562820998461093im
1.8368378559294051e-6 + 0.0im	-0.9724235115807808 - 1.0554464967762265im	-5.686301436142818 + 0.7008346195335778im	-5.686301436142812 + 0.7008346195335778im	4.713878002160229 - 1.7562811163098646im
1.8552062344886993e-6 + 0.0im	-0.9724265559216008 - 1.055446368905863im	-5.686288570991516 + 0.7008337712978469im	-5.6862885709915085 + 0.7008337712978467im	4.71386209250342 - 1.7562801402037744im
1.8737582968335862e-6 + 0.0im	-0.9724296098614832 - 1.0554462460553484im	-5.686275719266245 + 0.700832924999168im	-5.686275719266242 + 0.7008329249991682im	4.713846186671029 - 1.7562791710545809im
1.892495879801922e-6 + 0.0im	-0.9724326730611479 - 1.0554461277777158im	-5.686262881366251 + 0.7008320804890589im	-5.686262881366245 + 0.7008320804890587im	4.713830285506746 - 1.756278208266837im
1.911420838599941e-6 + 0.0im	-0.9724357453199781 - 1.055446013583373im	-5.6862500575313835 + 0.7008312375437268im	-5.686250057531377 + 0.7008312375437266im	4.713814389336681 - 1.7562772511271594im
1.9305350469859407e-6 + 0.0im	-0.972438826337988 - 1.0554459029441323im	-5.686237248138773 + 0.700830395865323im	-5.686237248138767 + 0.7008303958653228im	4.713798498815719 - 1.7562762988095182im
1.9498403974558e-6 + 0.0im	-0.9724419161412574 - 1.0554457952975669im	-5.686224453396097 + 0.70082955508382im	-5.686224453396093 + 0.70082955508382im	4.713782614162212 - 1.7562753503814479im
1.9693388014303584e-6 + 0.0im	-0.9724450144195143 - 1.0554456900516527im	-5.686211673769747 + 0.7008287147594975im	-5.686211673769741 + 0.7008287147594974im	4.713766736152824 - 1.7562744048112133im
1.989032189444662e-6 + 0.0im	-0.972448121369427 - 1.0554455865896708im	-5.686198909336424 + 0.7008278743860086im	-5.686198909336418 + 0.7008278743860086im	4.713750864668279 - 1.7562734609757429im
2.0089225113391088e-6 + 0.0im	-0.9724512369100943 - 1.0554454842753171im	-5.686186160420378 + 0.7008270333940025im	-5.686186160420371 + 0.7008270333940024im	4.71373500011848 - 1.7562725176693814im
2.0290117364525e-6 + 0.0im	-0.972454361226774 - 1.0554453824579795im	-5.686173427173551 + 0.700826191155278im	-5.686173427173547 + 0.7008261911552781im	4.713719142528232 - 1.7562715736133179im
2.049301853817025e-6 + 0.0im	-0.9724574939593763 - 1.0554452804781216im	-5.686160709964747 + 0.7008253469874106im	-5.68616070996474 + 0.7008253469874107im	4.713703292322835 - 1.7562706274655946im
2.0697948723551953e-6 + 0.0im	-0.9724606360258082 - 1.055445177672766im	-5.686148008601665 + 0.7008245001588365im	-5.686148008601662 + 0.7008245001588361im	4.713687448827348 - 1.756269677831666im
2.0904928210787472e-6 + 0.0im	-0.9724637873172723 - 1.0554450733809786im	-5.686135323299724 + 0.7008236498943295im	-5.6861353232997205 + 0.7008236498943294im	4.713671612142575 - 1.7562687232753675im
2.1113977492895345e-6 + 0.0im	-0.972466948189308 - 1.0554449669493373im	-5.686122654047919 + 0.7008227953808368im	-5.686122654047916 + 0.7008227953808367im	4.713655781923824 - 1.7562677623302354im
2.13251172678243e-6 + 0.0im	-0.9724701190252695 - 1.0554448577373567im	-5.686110000789338 + 0.7008219357736167im	-5.686110000789334 + 0.7008219357736168im	4.7136399577338794 - 1.7562667935110325im
2.1538368440502543e-6 + 0.0im	-0.9724733002706295 - 1.0554447451227589im	-5.686097362847739 + 0.7008210702026249im	-5.686097362847736 + 0.7008210702026249im	4.713624138663471 - 1.7562658153254433im
2.1753752124907567e-6 + 0.0im	-0.9724764923923818 - 1.0554446285066208im	-5.686084741720006 + 0.7008201977790963im	-5.686084741720003 + 0.7008201977790961im	4.713608325107395 - 1.756264826285777im
2.1971289646156643e-6 + 0.0im	-0.9724796959608561 - 1.055444507318302im	-5.686072135481384 + 0.700819317602266im	-5.6860721354813775 + 0.7008193176022658im	4.713592515206668 - 1.7562638249206273im
2.219100254261821e-6 + 0.0im	-0.9724829115627656 - 1.0554443810201293im	-5.686059544378682 + 0.7008184287661733im	-5.686059544378679 + 0.7008184287661734im	4.713576708409243 - 1.756262809786361im
2.2412912568044396e-6 + 0.0im	-0.9724861398405819 - 1.0554442491118063im	-5.686046968032515 + 0.7008175303664889im	-5.6860469680325085 + 0.7008175303664893im	4.713560903693348 - 1.7562617794783504im
2.263704169372484e-6 + 0.0im	-0.9724893814800695 - 1.0554441111344837im	-5.686034405998816 + 0.7008166215073058im	-5.686034405998813 + 0.7008166215073057im	4.713545099929169 - 1.7562607326418478im
2.2863412110662085e-6 + 0.0im	-0.9724926372039809 - 1.0554439666744995im	-5.6860218577838895 + 0.700815701307844im	-5.686021857783883 + 0.7008157013078439im	4.713529295900248 - 1.7562596679824im
2.3092046231768704e-6 + 0.0im	-0.97249590781119 - 1.0554438153667058im	-5.68600932258701 + 0.7008147689090009im	-5.686009322587007 + 0.7008147689090006im	4.713513490007216 - 1.756258584275764im
2.332296669408639e-6 + 0.0im	-0.9724991940167844 - 1.0554436568974053im	-5.685996800229494 + 0.7008138234797057im	-5.685996800229487 + 0.7008138234797058im	4.7134976813558405 - 1.7562574803771667im
2.3556196361027252e-6 + 0.0im	-0.9725024966953172 - 1.0554434910068264im	-5.68598428967712 + 0.7008128642230118im	-5.685984289677116 + 0.700812864223012im	4.713481868037683 - 1.7562563552298927im
2.3791758324637527e-6 + 0.0im	-0.9725058166742415 - 1.0554433174911528im	-5.685971790246318 + 0.7008118903818914im	-5.685971790246315 + 0.7008118903818914im	4.713466048541624 - 1.756255207873099im
2.4029675907883904e-6 + 0.0im	-0.9725091548078083 - 1.055443136204073im	-5.685959301136486 + 0.7008109012446606im	-5.68595930113648 + 0.7008109012446609im	4.7134502212128115 - 1.7562540374487872im
2.4269972666962745e-6 + 0.0im	-0.9725125119618088 - 1.0554429470578388im	-5.685946821495799 + 0.7008098961500205im	-5.685946821495795 + 0.7008098961500205im	4.713434384333613 - 1.756252843207914im
2.4512672393632374e-6 + 0.0im	-0.9725158890101372 - 1.055442750023825im	-5.6859343504306565 + 0.7008088744916482im	-5.685934350430653 + 0.7008088744916484im	4.713418536136526 - 1.7562516245155264im
2.47577991175687e-6 + 0.0im	-0.9725192866301763 - 1.0554425451325913im	-5.685921886876591 + 0.7008078357223089im	-5.685921886876588 + 0.7008078357223089im	4.713402674879835 - 1.7562503808549512im
2.5005377108744385e-6 + 0.0im	-0.9725227062114543 - 1.0554423324734405im	-5.685909430222826 + 0.7008067793574564im	-5.685909430222823 + 0.7008067793574564im	4.713386798562805 - 1.7562491118309491im
2.525543087983183e-6 + 0.0im	-0.9725261481188335 - 1.0554421121934725im	-5.685896979145911 + 0.7008057049782972im	-5.685896979145904 + 0.7008057049782969im	4.71337090549752 - 1.7562478171718232im
2.5507985188630145e-6 + 0.0im	-0.9725296133362848 - 1.0554418844961662im	-5.685884532732343 + 0.7008046122342778im	-5.68588453273234 + 0.700804612234278im	4.71335499378637 - 1.7562464967304918im
2.5763065040516445e-6 + 0.0im	-0.9725331026815591 - 1.055441649639459im	-5.685872089956788 + 0.7008035008449919im	-5.685872089956781 + 0.7008035008449922im	4.713339061586243 - 1.756245150484502im
2.602069569092161e-6 + 0.0im	-0.9725366169433607 - 1.055441407933394im	-5.685859649785216 + 0.7008023706014876im	-5.685859649785213 + 0.7008023706014876im	4.713323107074412 - 1.7562437785349319im
2.6280902647830825e-6 + 0.0im	-0.9725401568757022 - 1.0554411597373061im	-5.685847211184026 + 0.7008012213669625im	-5.6858472111840195 + 0.7008012213669625im	4.713307128463252 - 1.7562423811043193im
2.6543711674309133e-6 + 0.0im	-0.9725437231400975 - 1.0554409054566027im	-5.685834773153538 + 0.7008000530768386im	-5.685834773153535 + 0.7008000530768386im	4.713291124091581 - 1.7562409585334904im
2.6809148791052226e-6 + 0.0im	-0.9725473167225716 - 1.0554406455391558im	-5.685822334524687 + 0.7007988657382309im	-5.685822334524683 + 0.700798865738231im	4.71327509180418 - 1.756239511277438im
2.7077240278962747e-6 + 0.0im	-0.9725509378465694 - 1.0554403804713366im	-5.685809894505765 + 0.7007976594287998im	-5.685809894505762 + 0.7007976594287995im	4.713259030586059 - 1.756238039900184im
2.7348012681752376e-6 + 0.0im	-0.9725548360495284 - 1.055440110773722im	-5.685797452018985 + 0.7007964342950095im	-5.685797452018981 + 0.7007964342950096im	4.713242938558672 - 1.75623654506878im
2.76214928085699e-6 + 0.0im	-0.9725582656487924 - 1.0554398369965263im	-5.68578500612918 + 0.7007951905498006im	-5.685785006129177 + 0.7007951905498007im	4.71322681425918 - 1.756235027546374im
2.78977077366556e-6 + 0.0im	-0.9725619733461947 - 1.0554395597147694im	-5.685772555930273 + 0.7007939284697039im	-5.685772555930271 + 0.7007939284697039im	4.713210656289999 - 1.7562334881845205im
2.8176684814022158e-6 + 0.0im	-0.9725657108450932 - 1.0554392795232566im	-5.6857601005570695 + 0.7007926483914113im	-5.685760100557066 + 0.7007926483914111im	4.713194463345825 - 1.7562319279147143im
2.845845166216238e-6 + 0.0im	-0.9725697058731703 - 1.0554389970313716im	-5.685747639184124 + 0.7007913507078513im	-5.685747639184121 + 0.7007913507078514im	4.713178234211641 - 1.756230347739271im
2.8743036178784003e-6 + 0.0im	-0.9725732767080191 - 1.0554387128577756im	-5.68573517111564 + 0.7007900358637728im	-5.6857351711156365 + 0.7007900358637726im	4.713161967898684 - 1.7562287487215944im
2.9030466540571845e-6 + 0.0im	-0.9725771057001381 - 1.0554384276250048im	-5.68572269552744 + 0.7007887043509158im	-5.685722695527438 + 0.7007887043509159im	4.713145663248827 - 1.7562271319759641im
2.9320771205977565e-6 + 0.0im	-0.9725809656864207 - 1.0554381419540548im	-5.6857102118475815 + 0.7007873567027665im	-5.685710211847578 + 0.7007873567027666im	4.713129319513544 - 1.7562254986568648im
2.961397891803734e-6 + 0.0im	-0.9725848568315936 - 1.0554378564589784im	-5.685697719484716 + 0.7007859934889776im	-5.685697719484716 + 0.7007859934889776im	4.713112935937034 - 1.7562238499480014im
2.9910118707217715e-6 + 0.0im	-0.9725887792386597 - 1.0554375717415418im	-5.6856852179265465 + 0.7007846153094768im	-5.685685217926543 + 0.700784615309477im	4.713096511904003 - 1.7562221870510635im
