w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-0.0004551053038941547 + 0.0im	-0.9339532548101014 - 1.0587433467954195im	-5.6914297306040575 + 0.7237452391720578im	-5.6914297306040575 + 0.7237452391720575im	4.757476509409475 - 1.7824885859673396im
-0.0004505993107862918 + 0.0im	-0.934335072675597 - 1.0587115736935375im	-5.691323427348998 + 0.723553776331578im	-5.691323427348998 + 0.7235537763315779im	4.75698838829537 - 1.7822653500249774im
-0.0004461379314715761 + 0.0im	-0.934713116899614 - 1.0586801540228852im	-5.69121844140881 + 0.7233641962706435im	-5.69121844140881 + 0.7233641962706435im	4.756505358141568 - 1.7820443502933914im
-0.00044172072422928325 + 0.0im	-0.9350874253647605 - 1.0586490822518708im	-5.691114754945057 + 0.723176478070648im	-5.691114754945057 + 0.7231764780706481im	4.756027363224356 - 1.7818255603223816im
-0.0004373472517121616 + 0.0im	-0.93545803574673 - 1.0586183529857485im	-5.691012349253124 + 0.722990601183266im	-5.691012349253124 + 0.7229906011832661im	4.755554347997145 - 1.781608954168879im
-0.00043301708090313034 + 0.0im	-0.935824985272921 - 1.0585879609628024im	-5.6909112092551455 + 0.7228065454249707im	-5.6909112092551455 + 0.7228065454249708im	4.755086257658823 - 1.7813945063876369im
-0.00042872978307240627 + 0.0im	-0.936188310697495 - 1.0585579010505195im	-5.690811315305667 + 0.7226242909710842im	-5.690811315305667 + 0.722624290971084im	4.754623038302686 - 1.7811821920214668im
-0.00042448493373505573 + 0.0im	-0.9365480486602653 - 1.0585281682418077im	-5.6907126509043895 + 0.7224438183493952im	-5.6907126509043895 + 0.722443818349395im	4.7541646359633605 - 1.7809719865910647im
-0.00042028211260896606 + 0.0im	-0.9369042353389984 - 1.0584987576512395im	-5.690615199103455 + 0.7222651084334039im	-5.690615199103455 + 0.7222651084334041im	4.7537109975322105 - 1.7807638660845053im
-0.0004161209035732337 + 0.0im	-0.9372569065214155 - 1.0584696645114033im	-5.6905189448752544 + 0.7220881424352342im	-5.6905189448752544 + 0.722088142435234im	4.75326207024192 - 1.7805578069465025im
-0.0004120008946269641 + 0.0im	-0.9376060976213075 - 1.058440884169367im	-5.690423869080573 + 0.7219129018982614im	-5.690423869080573 + 0.7219129018982614im	4.752817802820611 - 1.7803537860674916im
-0.0004079216778484793 + 0.0im	-0.9379518439757593 - 1.058412412083247im	-5.690329955616434 + 0.721739368689503im	-5.690329955616434 + 0.7217393686895031im	4.752378143062381 - 1.7801517807726137im
-0.00040388284935492997 + 0.0im	-0.9382941802379665 - 1.0583842438189721im	-5.690237189197078 + 0.7215675249918269im	-5.690237189197078 + 0.7215675249918267im	4.751943040408321 - 1.7799517688106623im
-0.0003998840092623069 + 0.0im	-0.9386331408725106 - 1.0583563750471927im	-5.69014555396906 + 0.721397353296018im	-5.69014555396906 + 0.7213973532960178im	4.751512444565492 - 1.779753728343072im
-0.0003959247616458484 + 0.0im	-0.9389687600029425 - 1.0583288015404098im	-5.690055034317476 + 0.7212288363927569im	-5.690055034317476 + 0.7212288363927568im	4.751086305799983 - 1.779557637933031im
-0.00039200471450084 + 0.0im	-0.939301071481307 - 1.0583015191702871im	-5.68996561457266 + 0.721061957364548im	-5.689965614572657 + 0.7210619573645481im	4.750664574836862 - 1.7793634765347006im
-0.000388123479703802 + 0.0im	-0.9396301083589573 - 1.0582745239052054im	-5.689877280630868 + 0.7208966995776526im	-5.689877280630868 + 0.7208966995776527im	4.750247203788074 - 1.7791712234827246im
-0.0003842806729740614 + 0.0im	-0.9399559042980093 - 1.0582478118080287im	-5.689790016427622 + 0.7207330466740636im	-5.689790016427626 + 0.7207330466740636im	4.749834143659059 - 1.7789808584819569im
-0.00038047591383570434 + 0.0im	-0.940278491844852 - 1.0582213790341142im	-5.68970380773285 + 0.7205709825635602im	-5.68970380773285 + 0.7205709825635599im	4.749425347430516 - 1.7787923615975387im
-0.0003767088255799053 + 0.0im	-0.9405979034917495 - 1.058195221829552im	-5.689618640091392 + 0.720410491415887im	-5.689618640091392 + 0.7204104914158868im	4.749020768154949 - 1.7786057132453046im
-0.000372979035227629 + 0.0im	-0.9409141714006973 - 1.0581693365296523im	-5.689534499289609 + 0.720251557653089im	-5.689534499289609 + 0.7202515576530888im	4.748620359456762 - 1.7784208941826074im
-0.00036928617349270195 + 0.0im	-0.9412273274067848 - 1.0581437195576482im	-5.689451371346647 + 0.7200941659420346im	-5.689451371346647 + 0.7200941659420346im	4.748224075520151 - 1.7782378854995498im
-0.00036562987474524945 + 0.0im	-0.9415374034121121 - 1.0581183674236403im	-5.689369242462133 + 0.719938301187161im	-5.6893692424621305 + 0.7199383011871608im	4.74783187064003 - 1.7780566686106674im
-0.0003620097769754945 + 0.0im	-0.9418444297651669 - 1.058093276723752im	-5.689288099220383 + 0.7197839485234598im	-5.689288099220383 + 0.7197839485234597im	4.747443701058707 - 1.777877225247079im
-0.00035842552175791535 + 0.0im	-0.9421484381526661 - 1.0580684441394965im	-5.689207913021739 + 0.719631093309731im	-5.689207913021735 + 0.7196310933097309im	4.747059521683448 - 1.7776995374490954im
-0.0003548767542157578 + 0.0im	-0.9424494590059816 - 1.0580438664373266im	-5.68912870120809 + 0.7194797211221259im	-5.68912870120809 + 0.7194797211221258im	4.746679289026488 - 1.7775235875593214im
-0.0003513631229858988 + 0.0im	-0.9427475226530619 - 1.0580195404683654im	-5.689050435714892 + 0.7193298177479887im	-5.689050435714892 + 0.7193298177479887im	4.746302959896039 - 1.7773493582162208im
-0.0003478842801840582 + 0.0im	-0.9430426591342712 - 1.0579954631682928im	-5.688973103893332 + 0.7191813691800104im	-5.688973103893332 + 0.7191813691800102im	4.745930491602935 - 1.7771768323481696im
-0.00034443988137035467 + 0.0im	-0.9433348982016362 - 1.057971631557365im	-5.6888966933092835 + 0.7190343616107049im	-5.6888966933092835 + 0.7190343616107049im	4.745561841961012 - 1.7770059931679376im
-0.00034102958551520264 + 0.0im	-0.9436242694949708 - 1.0579480427405494im	-5.6888211920679765 + 0.7188887814272096im	-5.6888211920679765 + 0.7188887814272099im	4.745196969336393 - 1.7768368241676271im
-0.0003376530549655472 + 0.0im	-0.9439108016110818 - 1.0579246939077418im	-5.688746587093315 + 0.7187446152064093im	-5.688746587093315 + 0.7187446152064094im	4.744835832354351 - 1.776669309114021im
-0.00033430995541143283 + 0.0im	-0.9441945240484958 - 1.0579015823340538im	-5.688672867661597 + 0.7186018497103827im	-5.6886728676616 + 0.7186018497103827im	4.744478390494272 - 1.7765034320443065im
-0.0003309999558529038 + 0.0im	-0.9444754651949249 - 1.0578787053801277im	-5.688600021767584 + 0.7184604718821643im	-5.688600021767584 + 0.7184604718821641im	4.744124603462759 - 1.7763391772621622im
-0.00032772272856723146 + 0.0im	-0.9447536533769909 - 1.0578560604924634im	-5.688528037990949 + 0.7183204688418102im	-5.688528037990949 + 0.7183204688418101im	4.743774431512842 - 1.7761765293341438im
-0.0003244779490764668 + 0.0im	-0.9450291166379582 - 1.0578336452037265im	-5.688456920286276 + 0.7181818278827556im	-5.68845692028628 + 0.7181818278827556im	4.74342783537074 - 1.7760154730863535im
-0.0003212652961153137 + 0.0im	-0.9453018827408054 - 1.0578114571330102im	-5.6883866272415915 + 0.7180445364684511im	-5.6883866272415915 + 0.7180445364684511im	4.743084776232989 - 1.7758559936013332im
-0.0003180844515993205 + 0.0im	-0.9455719791719327 - 1.0577894939860144im	-5.68831716319984 + 0.7179085822292475im	-5.688317163199836 + 0.7179085822292472im	4.742745215769634 - 1.7756980762151358im
-0.0003149351005933866 + 0.0im	-0.9458394331136611 - 1.0577677535551209im	-5.688248517416735 + 0.7177739529595266im	-5.688248517416732 + 0.7177739529595266im	4.742409116054471 - 1.7755417065145194im
-0.0003118169312805808 + 0.0im	-0.9461042715244878 - 1.0577462337193515im	-5.688180679516753 + 0.717640636615036im	-5.688180679516753 + 0.7176406366150359im	4.74207643975279 - 1.7753868703342608im
-0.0003087296349312681 + 0.0im	-0.9463665210308239 - 1.0577249324441529im	-5.688113639122612 + 0.7175086213104148im	-5.688113639122612 + 0.7175086213104149im	4.741747149861245 - 1.7752335537544417im
