w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
-0.0018146081315281702 + 0.0im	-0.9592278703702842 - 0.02209998066964208im	-0.011233252844338262 - 0.174557234587975im	-0.011233252844336258 - 0.17455723458797573im	-0.9479946218529123 + 0.15245725391845252im
-0.001796641714384327 + 0.0im	-0.9592488940502416 - 0.022168895603557216im	-0.01132955903721601 - 0.17451887520764572im	-0.011329559037213936 - 0.17451887520764628im	-0.9479193417029969 + 0.15234997960420651im
-0.0017788531825587396 + 0.0im	-0.9592697672902357 - 0.0222371142812075im	-0.011424896916043677 - 0.1744810072378398im	-0.011424896916041647 - 0.17448100723784052im	-0.9478448770654504 + 0.1522438929567491im
-0.0017612407748106333 + 0.0im	-0.9592904909177355 - 0.022304644408806504im	-0.011519276056443628 - 0.17444362301821245im	-0.01151927605644154 - 0.1744436230182131im	-0.9477712215538449 + 0.15213897860952136im
-0.0017438027473372607 + 0.0im	-0.9593110656800098 - 0.022371493592058617im	-0.011612706122651884 - 0.17440671502158844im	-0.01161270612264986 - 0.17440671502158905im	-0.9476983663442796 + 0.15203522142964407im
-0.0017265373736012482 + 0.0im	-0.9593314925330729 - 0.0224376693377687im	-0.011705196207996439 - 0.1743702758512393im	-0.011705196207994454 - 0.1743702758512399im	-0.9476263030202009 + 0.15193260651358334im
-0.0017094429441596518 + 0.0im	-0.9593517721997201 - 0.02250317905541569im	-0.011796755845136387 - 0.17433429823827293im	-0.011796755845134333 - 0.1743342982382736im	-0.9475550230510041 + 0.1518311191829686im
-0.0016925177664947047 + 0.0im	-0.9593719055046938 - 0.022568030058690167im	-0.011887394241909202 - 0.1742987750391314im	-0.011887394241907217 - 0.17429877503913202im	-0.9474845179605036 + 0.15173074498055136im
-0.0016757601648462422 + 0.0im	-0.9593918932643772 - 0.022632229566997307im	-0.011977120533892749 - 0.1742636992331973im	-0.011977120533890738 - 0.17426369923319796im	-0.9474147792755677 + 0.15163146966630864im
-0.0016591684800457843 + 0.0im	-0.9594117361349335 - 0.022695784706924755im	-0.01206594036016182 - 0.1742290639205057im	-0.012065940360159674 - 0.17422906392050636im	-0.947345800452568 + 0.1515332792136885im
-0.0016427410693522616 + 0.0im	-0.9594314351683464 - 0.022758702513676808im	-0.012153873469169086 - 0.17419486231955977im	-0.012153873469166767 - 0.17419486231956027im	-0.9472775663522207 + 0.1514361598059891im
-0.001626476306289368 + 0.0im	-0.9594509909902659 - 0.02282098993247411im	-0.01224091783384999 - 0.17416108776524875im	-0.01224091783384787 - 0.17416108776524933im	-0.9472100798593214 + 0.15134009783287944im
-0.0016103725804845228 + 0.0im	-0.959470404399267 - 0.022882653819919774im	-0.012327086058882619 - 0.17412773370686505im	-0.012327086058880481 - 0.17412773370686568im	-0.9471433250446001 + 0.1512450798870491im
-0.0015944282975094285 + 0.0im	-0.959489676178172 - 0.022943700945331314im	-0.012412386919598312 - 0.17409479370621853im	-0.012412386919596275 - 0.17409479370621905im	-0.9470772959641041 + 0.15115109276098945im
-0.0015786418787222065 + 0.0im	-0.9595088071114832 - 0.023004137992039014im	-0.012496829138810783 - 0.17406226143584297im	-0.012496829138808641 - 0.17406226143584355im	-0.9470119825340989 + 0.15105812344390493im
-0.0015630117611110956 + 0.0im	-0.9595277978373716 - 0.023063971558650198im	-0.012580398493357172 - 0.1740301306772974im	-0.012580398493355188 - 0.17403013067729792im	-0.946947392535951 + 0.1509661591187468im
-0.0015475363971396987 + 0.0im	-0.9595466493445705 - 0.023123208160279476im	-0.012663172326844385 - 0.1739983953195514im	-0.012663172326842529 - 0.1739983953195521im	-0.9468834837271551 + 0.15087518715937032im
-0.001532214254593761 + 0.0im	-0.9595653622605471 - 0.023181854229745162im	-0.01274509020960993 - 0.17396704935745705im	-0.012745090209607854 - 0.1739670493574576im	-0.9468202787616965 + 0.15078519512780902im
-0.0015170438164294664 + 0.0im	-0.9595839373428527 - 0.02323991611873122im	-0.012826183632887834 - 0.1739360868903008im	-0.012826183632885705 - 0.17393608689030135im	-0.9467577604220531 + 0.1506961707716653im
-0.001502023580623234 + 0.0im	-0.9596023753432041 - 0.02329740009891544im	-0.01290646095093606 - 0.17390550212043152im	-0.012906460950933975 - 0.17390550212043204im	-0.9466959211056876 + 0.15060810202161076im
-0.001487152060023004 + 0.0im	-0.9596206770047326 - 0.023354312363063345im	-0.012985930458971982 - 0.17387528935196284im	-0.01298593045896983 - 0.17387528935196336im	-0.9466347532605219 + 0.15052097698899305im
-0.001472427782200994 + 0.0im	-0.9596388430668237 - 0.023410659026088142im	-0.013064600381444285 - 0.173845442989541im	-0.013064600381441827 - 0.17384544298954158im	-0.9465742494015372 + 0.1504347839635452im
-0.0014578492893079149 + 0.0im	-0.9596568742471344 - 0.023466446126076984im	-0.013142478923779745 - 0.17381595753717857im	-0.013142478923777397 - 0.173815957537179im	-0.9465144020406362 + 0.15034951141119285im
-0.0014434151379286286 + 0.0im	-0.959674771298347 - 0.023521679625283703im	-0.013219574112363843 - 0.17378682759714545im	-0.013219574112361911 - 0.17378682759714603im	-0.9464552039046741 + 0.15026514797195173im
-0.0014291238989392362 + 0.0im	-0.9596925349280253 - 0.023576365411088304im	-0.013295894023973099 - 0.17375804786891358im	-0.013295894023971027 - 0.17375804786891405im	-0.9463966476260681 + 0.15018168245791402im
-0.0014149741573655805 + 0.0im	-0.9597101658567894 - 0.02363050929692433im	-0.01337144661372478 - 0.17372961314815089im	-0.013371446613722731 - 0.1737296131481514im	-0.9463387259664457 + 0.15009910385131456im
-0.001400964512243149 + 0.0im	-0.9597276647988692 - 0.02368411702317375im	-0.013446239782412677 - 0.17370151832575834im	-0.013446239782410607 - 0.17370151832575886im	-0.9462814317411995 + 0.15001740130267138im
-0.0013870935764783653 + 0.0im	-0.9597450324648664 - 0.023737194258031304im	-0.013520281361441852 - 0.17367375838694277im	-0.013520281361439788 - 0.17367375838694324im	-0.9462247578295196 + 0.1499365641289972im
-0.0013733599767112527 + 0.0im	-0.9597622695698002 - 0.023789746598338272im	-0.013593579093992387 - 0.17364632841032443im	-0.013593579093990118 - 0.17364632841032496im	-0.9461686971596261 + 0.14985658181207084im
-0.0013597623531794582 + 0.0im	-0.9597793766648939 - 0.02384177957038736im	-0.013666140909566193 - 0.17361922356706921im	-0.013666140909564107 - 0.17361922356706969im	-0.9461132405166898 + 0.14977744399676543im
-0.001346299359583622 + 0.0im	-0.9597963547660403 - 0.023893298630699746im	-0.013737974111893947 - 0.17359243912004158im	-0.013737974111891992 - 0.17359243912004207im	-0.9460583873845555 + 0.14969914048942468im
-0.0013329696629540812 + 0.0im	-0.9598132043194918 - 0.023944309166775674im	-0.01380908641901349 - 0.1735659704229742im	-0.013809086419011471 - 0.17356597042297472im	-0.9460041246322427 + 0.1496216612562804im
-0.0013197719435188923 + 0.0im	-0.9598299260669674 - 0.023994816497820134im	-0.013879485368388813 - 0.1735398129196441im	-0.013879485368386782 - 0.17353981291964457im	-0.9459504474317286 + 0.14954499642190483im
-0.0013067048945731607 + 0.0im	-0.959846520694506 - 0.02404482587544532im	-0.013949178400811807 - 0.17351396214305406im	-0.01394917840080973 - 0.17351396214305462im	-0.9458973490282444 + 0.1494691362676888im
-0.001293767222349664 + 0.0im	-0.9598629888811345 - 0.024094342484351997im	-0.014018172900604458 - 0.1734884137146116im	-0.014018172900602336 - 0.1734884137146121im	-0.9458448227164935 + 0.149394071230339im
-0.0012809576458907563 + 0.0im	-0.9598793312991647 - 0.024143371442991078im	-0.01408647619524678 - 0.17346316334330014im	-0.01408647619524454 - 0.17346316334330072im	-0.945792861841318 + 0.1493197919003875im
-0.001268274896921541 + 0.0im	-0.9598955486160036 - 0.0241919178042084im	-0.014154095498258244 - 0.1734382068248366im	-0.014154095498256086 - 0.17343820682483707im	-0.9457414577837023 + 0.14924628902070608im
-0.001255717719724298 + 0.0im	-0.9599116415697346 - 0.024239986555874175im	-0.014221037966049848 - 0.17341354004081136im	-0.014221037966047543 - 0.1734135400408117im	-0.9456906103438038 + 0.14917355348501413im
-0.0012432848710141563 + 0.0im	-0.9599276107070775 - 0.024287582621499933im	-0.014287310886892697 - 0.17338915895780352im	-0.014287310886890786 - 0.17338915895780405im	-0.9456403065617734 + 0.1491015763363798im
-0.0012309751198159964 + 0.0im	-0.9599434567528853 - 0.024334710860845172im	-0.014352921199926257 - 0.1733650596264703im	-0.01435292119992425 - 0.17336505962647078im	-0.9455905422959975 + 0.14903034876570068im
-0.0012187872473425707 + 0.0im	-0.959959180360999 - 0.02438137607051639im	-0.014417875911426853 - 0.17334123818060002im	-0.014417875911424839 - 0.17334123818060052im	-0.945541311194063 + 0.14895986211015871im
-0.0012067200468738324 + 0.0im	-0.9599747821869202 - 0.024427582984560874im	-0.014482181949768564 - 0.17331769083613172im	-0.014482181949766616 - 0.17331769083613208im	-0.945492606983101 + 0.14889010785164536im
-0.0011947723236374577 + 0.0im	-0.9599902628839345 - 0.024473336275058055im	-0.014545846176417692 - 0.17329441389012934im	-0.014545846176415566 - 0.17329441389012987im	-0.945444423454937 + 0.14882107761514546im
-0.0011829428946905523 + 0.0im	-0.960005623093023 - 0.024518640552711204im	-0.014608875415532456 - 0.17327140371971614im	-0.014608875415530288 - 0.1732714037197166im	-0.9453967544264453 + 0.14875276316707847im
-0.001171230588802527 + 0.0im	-0.9600208635271338 - 0.024563500367441725im	-0.014671276210281081 - 0.1732486567809555im	-0.014671276210279083 - 0.173248656780956im	-0.9453495940671376 + 0.1486851564135868im
-0.0011596342463391356 + 0.0im	-0.9600359847474204 - 0.024607920208989338im	-0.0147330554716352 - 0.1732261696076853im	-0.014733055471633132 - 0.17322616960768575im	-0.9453029360275843 + 0.1486182493987686im
-0.001148152719147659 + 0.0im	-0.9600509874495811 - 0.02465190450752015im	-0.014794219649377882 - 0.17320393881029614im	-0.014794219649375759 - 0.17320393881029653im	-0.9452567745534998 + 0.14855203430284827im
-0.0011367848704432267 + 0.0im	-0.9600658722783669 - 0.0246954576342457im	-0.014854775270136417 - 0.17318196107445474im	-0.014854775270134336 - 0.17318196107445502im	-0.9452111037630295 + 0.14848650344028086im
-0.001125529574696264 + 0.0im	-0.9600806398826719 - 0.024738583902055397im	-0.014914728778518186 - 0.17316023315976944im	-0.014914728778516045 - 0.17316023315976992im	-0.9451659178604617 + 0.14842164925778573im
-0.0011143857175210535 + 0.0im	-0.9600952909122416 - 0.024781287566164635im	-0.014974086547728378 - 0.1731387518983995im	-0.014974086547726386 - 0.17313875189839983im	-0.9451212111223408 + 0.1483574643323063im
-0.0011033521955653995 + 0.0im	-0.9601098259940433 - 0.024823572824781075im	-0.015032854990829462 - 0.17311751419360172im	-0.015032854990828263 - 0.17311751419360205im	-0.9450769779197005 + 0.14829394136889185im
-0.0010924279164013857 + 0.0im	-0.9601242458594927 - 0.024865443819791486im	-0.015091039968720708 - 0.173096517018221im	-0.015091039968718797 - 0.17309651701822143im	-0.9450332126516422 + 0.1482310731985006im
-0.0010816117984172135 + 0.0im	-0.9601385510808804 - 0.024906904637470518im	-0.015148648021523202 - 0.17307575741312028im	-0.015148648021521287 - 0.17307575741312076im	-0.9449899098217762 + 0.14816885277572078im
-0.0010709027707101124 + 0.0im	-0.9601527423454208 - 0.02494795930921438im	-0.015205685091709182 - 0.17305523248555157im	-0.015205685091707215 - 0.17305523248555194im	-0.944947064017687 + 0.14810727317640815im
-0.0010602997729803093 + 0.0im	-0.9601668203133465 - 0.024988611812300193im	-0.015262157187584726 - 0.1730349394074711im	-0.015262157187582757 - 0.17303493940747147im	-0.9449046698913046 + 0.14804632759524178im
-0.001049801755426049 + 0.0im	-0.9601807856478687 - 0.025028866070672888im	-0.01531807024098192 - 0.17301487541379862im	-0.015318070240979847 - 0.17301487541379906im	-0.9448627221740136 + 0.14798600934319664im
-0.0010394076786396523 + 0.0im	-0.9601946390339601 - 0.025068725955761123im	-0.015373430117440526 - 0.17299503780062253im	-0.015373430117438278 - 0.1729950378006229im	-0.9448212156826407 + 0.1479263118449324im
-0.0010291165135046063 + 0.0im	-0.9602083811109506 - 0.025108195287323058im	-0.015428242582491708 - 0.1729754239233551im	-0.015428242582489616 - 0.17297542392335544im	-0.9447801452961722 + 0.14786722863610322im
-0.0010189272410936695 + 0.0im	-0.9602220125807057 - 0.025147277834322572im	-0.015482513355340148 - 0.1729560311948396im	-0.015482513355338155 - 0.17295603119484002im	-0.9447395059946679 + 0.14780875336058838im
-0.0010088388525679897 + 0.0im	-0.9602355341213715 - 0.025185977315837268im	-0.015536248065285842 - 0.17293685708341336im	-0.015536248065283764 - 0.17293685708341378im	-0.9446992928269964 + 0.1477508797676475im
-0.0009988503490772176 + 0.0im	-0.9602489464432414 - 0.02522429740199763im	-0.015589452255206296 - 0.17291789911092995im	-0.015589452255204188 - 0.17291789911093028im	-0.9446595009604891 + 0.14769360170900392im
-0.0009889607416606115 + 0.0im	-0.9602622501978054 - 0.025262241714957778im	-0.015642131431261457 - 0.17289915485074572im	-0.01564213143125946 - 0.17289915485074603im	-0.944620125540674 + 0.14763691313586008im
-0.0009791690511491203 + 0.0im	-0.960275446135044 - 0.025299813829897808im	-0.01569429096718988 - 0.17288062192567466im	-0.015694290967187923 - 0.17288062192567497im	-0.9445811619435935 + 0.14758080809584928im
-0.0009694743080684359 + 0.0im	-0.9602885349291824 - 0.02533701727605678im	-0.01574593621742208 - 0.17286229800591627im	-0.015745936217420167 - 0.1728622980059166im	-0.9445426054892074 + 0.14752528072993226im
-0.0009598755525430058 + 0.0im	-0.9603015173283079 - 0.025373855537795503im	-0.01579707241029448 - 0.17284418080696187im	-0.015797072410292576 - 0.17284418080696232im	-0.944504451697142 + 0.14747032526923978im
-0.0009503718342009958 + 0.0im	-0.9603143940418446 - 0.025410332055688156im	-0.01584770473810511 - 0.17282626808748683im	-0.01584770473810309 - 0.1728262680874872im	-0.9444666960846078 + 0.14741593603187245im
-0.0009409622120801938 + 0.0im	-0.9603271658399862 - 0.025446450227641505im	-0.015897838267767316 - 0.17280855764722894im	-0.015897838267765373 - 0.1728085576472293im	-0.9444293343547397 + 0.14736210741966177im
-0.0009316457545348453 + 0.0im	-0.9603398334068393 - 0.025482213410039607im	-0.015947478084504245 - 0.17279104732486658im	-0.015947478084502198 - 0.17279104732486691im	-0.9443923621066952 + 0.14730883391490202im
-0.0009224215391434112 + 0.0im	-0.9603523975416703 - 0.02551762491891214im	-0.015996629095459562 - 0.1727737349958959im	-0.015996629095457342 - 0.17277373499589638im	-0.9443557752324089 + 0.14725611007705944im
-0.0009132886526172388 + 0.0im	-0.960364859072742 - 0.02555268803112451im	-0.016045296112269066 - 0.17275661857051758im	-0.01604529611226707 - 0.17275661857051783im	-0.9443195695950369 + 0.14720393053946923im
-0.0009042461907101375 + 0.0im	-0.9603772185554293 - 0.025587405985586644im	-0.016093484159134377 - 0.17273969599153632im	-0.016093484159132497 - 0.17273969599153663im	-0.944283741186323 + 0.14715229000602686im
-0.000895293258128849 + 0.0im	-0.960389476986758 - 0.025621781984478023im	-0.016141197751262562 - 0.172722965232284im	-0.016141197751260584 - 0.17272296523228436im	-0.9442482860275777 + 0.1471011832478839im
-0.0008864289684444049 + 0.0im	-0.9604016350919736 - 0.025655819194486323im	-0.016188441616797687 - 0.17270642429456592im	-0.01618844161679574 - 0.1727064242945662im	-0.9442132002694417 + 0.14705060510015824im
-0.0008776524440043613 + 0.0im	-0.9604136937004081 - 0.025689520748055462im	-0.016235220317881903 - 0.17269007120664395im	-0.016235220317879894 - 0.17269007120664423im	-0.9441784801790687 + 0.14700055045866786im
-0.0008689628158459023 + 0.0im	-0.9604256535105158 - 0.025722889744641042im	-0.016281538489221727 - 0.17267390402125748im	-0.016281538489219743 - 0.1726739040212577im	-0.9441441218208099 + 0.14695101427669682im
-0.0008603592236098042 + 0.0im	-0.9604375154914777 - 0.02575592925196839im	-0.01632740043280341 - 0.17265792081369014im	-0.016327400432801585 - 0.17265792081369052im	-0.9441101218615608 + 0.14690199156180328im
-0.0008518408154552517 + 0.0im	-0.9604492804091154 - 0.025788642307290024im	-0.016372810598155204 - 0.17264211967989077im	-0.016372810598153337 - 0.17264211967989104im	-0.9440764766186689 + 0.14685347737268326im
-0.0008434067479754967 + 0.0im	-0.9604609491076281 - 0.025821031918638992im	-0.016417773296727448 - 0.1726264987346471im	-0.016417773296725464 - 0.17262649873464753im	-0.9440431826278428 + 0.1468054668160917im
-0.0008350561861143532 + 0.0im	-0.9604725224138863 - 0.02585310106607332im	-0.01646229277391259 - 0.1726110561098285im	-0.016462292773910734 - 0.1726110561098288im	-0.9440102365013593 + 0.14675795504383998im
-0.0008267883030835181 + 0.0im	-0.9604840013420453 - 0.025884852702908377im	-0.016506373249014137 - 0.17259578995269287im	-0.016506373249012378 - 0.17259578995269323im	-0.9439776348493804 + 0.14671093724987036im
-0.000818602280280711 + 0.0im	-0.9604953865252143 - 0.025916289756932255im	-0.0165500187986556 - 0.17258069842426915im	-0.01655001879865366 - 0.17258069842426949im	-0.9439453745137313 + 0.1466644086674241im
-0.0008104973072086247 + 0.0im	-0.9605066789728097 - 0.02594741513160075im	-0.01659323351512407 - 0.1725657796978184im	-0.01659323351512215 - 0.1725657796978187im	-0.9439134522530692 + 0.14661836456630595im
-0.000802472581394678 + 0.0im	-0.9605178795550741 - 0.025978231707207172im	-0.0166360214012259 - 0.17255103195737623im	-0.016636021401223975 - 0.1725510319573766im	-0.9438818649538334 + 0.14657280025025857im
-0.0007945273083115623 + 0.0im	-0.9605289891637406 - 0.026008742342023352im	-0.01667838640504198 - 0.17253645339638354im	-0.01667838640504005 - 0.17253645339638382im	-0.9438506095620497 + 0.14652771105445087im
-0.0007866607012985765 + 0.0im	-0.9605400087023803 - 0.02603894987340752im	-0.01672033241605172 - 0.17252204221640685im	-0.016720332416049765 - 0.1725220422164071im	-0.9438196830924718 + 0.14648309234309154im
-0.0007788719814837391 + 0.0im	-0.9605509390523237 - 0.026068857118874692im	-0.016761863296405027 - 0.17250779662595203im	-0.01676186329640317 - 0.17250779662595228im	-0.9437890825646067 + 0.14643893950717127im
-0.0007711603777066724 + 0.0im	-0.960561781164766 - 0.026098466877126872im	-0.016802982799472878 - 0.172493714839376im	-0.016802982799471154 - 0.17249371483937634im	-0.9437588051785122 + 0.1463952479623444im
-0.0007635251264422498 + 0.0im	-0.9605725359342594 - 0.02612778192903759im	-0.016843694678296474 - 0.17247979507589434im	-0.016843694678294677 - 0.17247979507589473im	-0.9437288480714219 + 0.14635201314695345im
-0.0007559654717249998 + 0.0im	-0.9605832042847298 - 0.026156805038588606im	-0.016884002548218414 - 0.1724660355586914im	-0.01688400254821656 - 0.1724660355586917im	-0.9436992084814239 + 0.1463092305202012im
-0.0007484806650742572 + 0.0im	-0.9605937871412094 - 0.026185538953754833im	-0.016923909730779094 - 0.1724524345141332im	-0.016923909730777193 - 0.1724524345141335im	-0.9436698836920854 + 0.14626689556047817im
-0.0007410699654200566 + 0.0im	-0.9606042854322218 - 0.02621398640733393im	-0.01696342066967201 - 0.17243899017107997im	-0.016963420669669965 - 0.17243899017108036im	-0.9436408710352763 + 0.14622500376384745im
-0.0007337326390297591 + 0.0im	-0.9606147001232012 - 0.026242150117718147im	-0.017002538455656534 - 0.17242570076030486im	-0.01700253845565502 - 0.1724257007603051im	-0.9436121679311129 + 0.14618355064268976im
-0.000726467959435405 + 0.0im	-0.9606250320003359 - 0.026270032789605283im	-0.017041266636869855 - 0.1724125645140142im	-0.01704126663686855 - 0.17241256451401465im	-0.9435837716180697 + 0.14614253172451366im
-0.0007192752073617872 + 0.0im	-0.9606352821639942 - 0.0262976371146465im	-0.017079608645594487 - 0.17239957966547143im	-0.01707960864559275 - 0.17239957966547173im	-0.9435556797637396 + 0.14610194255093154im
-0.0007121536706552348 + 0.0im	-0.960645451470446 - 0.026324965772028985im	-0.01711756793609207 - 0.17238674444872107im	-0.017117567936090396 - 0.1723867444487214im	-0.9435278897703433 + 0.1460617786768002im
-0.0007051026442131037 + 0.0im	-0.9606555408488924 - 0.026352021428990784im	-0.01715514790884584 - 0.17237405709841308im	-0.017155147908844155 - 0.17237405709841352im	-0.9435003991665898 + 0.14602203566953245im
-0.0006981214299139641 + 0.0im	-0.9606655512226823 - 0.02637880674126789im	-0.017192351931384582 - 0.17236151584972778im	-0.017192351931382785 - 0.1723615158497282im	-0.9434732055083003 + 0.14598270910857195im
-0.0006912093365484793 + 0.0im	-0.960675483510865 - 0.026405324353470046im	-0.017229183339674204 - 0.172349118938392im	-0.017229183339672577 - 0.1723491189383924im	-0.9434463063785576 + 0.14594379458503576im
-0.0006843656797509696 + 0.0im	-0.9606853386298045 - 0.026431576899387122im	-0.017265645443322358 - 0.1723368646007911im	-0.017265645443320588 - 0.17233686460079156im	-0.9434196993841092 + 0.14590528770151975im
-0.0006775897819316531 + 0.0im	-0.960695117471559 - 0.026457567002223164im	-0.0173017414956558 - 0.1723247510741706im	-0.017301741495653715 - 0.17232475107417103im	-0.9433933821637461 + 0.1458671840720651im
-0.0006708809722095575 + 0.0im	-0.960704820959474 - 0.026483297274759707im	-0.01733747478167722 - 0.1723127765969219im	-0.017337474781675154 - 0.1723127765969222im	-0.943367352355722 + 0.14582947932228169im
-0.0006642385863460966 + 0.0im	-0.960714449973572 - 0.02650877031944742im	-0.017372848507226365 - 0.1723009394089513im	-0.017372848507224373 - 0.17230093940895144im	-0.9433416076342677 + 0.14579216908962536im
-0.0006576619666793036 + 0.0im	-0.9607240053984623 - 0.026533988728427518im	-0.017407865875016963 - 0.1722892377521267im	-0.017407865875015093 - 0.17228923775212693im	-0.9433161456812732 + 0.14575524902382275im
-0.0006511504620587165 + 0.0im	-0.9607334881076676 - 0.02655895508348364im	-0.017442530063368003 - 0.17227766987079704im	-0.017442530063366192 - 0.1722776698707973im	-0.9432909641919422 + 0.14571871478743897im
-0.0006447034277809074 + 0.0im	-0.9607428989640056 - 0.026583671955925186im	-0.01747684422845216 - 0.17226623401237942im	-0.017476844228450375 - 0.17226623401237975im	-0.9432660608729174 + 0.1456825620565821im
-0.0006383202255256509 + 0.0im	-0.9607522388211508 - 0.02660814190640445im	-0.01751081149958054 - 0.1722549284280108im	-0.017510811499578633 - 0.17225492842801118im	-0.9432414334485518 + 0.14564678652173627im
-0.0006320002232927237 + 0.0im	-0.9607615081700933 - 0.02663236748466922im	-0.017544435039335393 - 0.1722437513732555im	-0.0175444350393335 - 0.17224375137325587im	-0.9432170795777007 + 0.1456113838887184im
-0.0006257427953393304 + 0.0im	-0.9607707087985918 - 0.02665635122925312im	-0.017577717927163675 - 0.17223270110886618im	-0.017577717927161726 - 0.17223270110886651im	-0.9431929970125691 + 0.14557634987974732im
-0.0006195473221181489 + 0.0im	-0.9607798406132972 - 0.026680095667106926im	-0.01761066320440305 - 0.172221775901591im	-0.017610663204401158 - 0.1722217759015913im	-0.9431691835397203 + 0.14554168023462047im
-0.0006134131902159891 + 0.0im	-0.9607889046886648 - 0.026703603313173323im	-0.017643273981639455 - 0.17221097402502125im	-0.01764327398163764 - 0.1722109740250216im	-0.9431456364461198 + 0.14550737071198658im
-0.0006073397922930585 + 0.0im	-0.9607979018270937 - 0.026726876669909014im	-0.017675553311904294 - 0.1722002937604746im	-0.017675553311902605 - 0.17220029376047485im	-0.9431223455633486 + 0.14547341709070633im
-0.0006013265270228301 + 0.0im	-0.9608068327463868 - 0.026749918226757124im	-0.01770750423765791 - 0.17218973339790702im	-0.017707504237656244 - 0.17218973339790733im	-0.9430993255510687 + 0.145439815171293im
-0.000595372799032505 + 0.0im	-0.9608156982132628 - 0.02677273045957449im	-0.017739129790364194 - 0.1721792912368475im	-0.017739129790362594 - 0.17217929123684786im	-0.943076565459315 + 0.14540656077741843im
-0.0005894780188440644 + 0.0im	-0.960824498974485 - 0.02679531583001722im	-0.017770432952642277 - 0.17216896558735068im	-0.017770432952640584 - 0.17216896558735115im	-0.9430540630509633 + 0.14537364975748118im
-0.0005836416028159054 + 0.0im	-0.9608332356953079 - 0.026817676784889728im	-0.017801417636040075 - 0.17215875477096115im	-0.017801417636038278 - 0.17215875477096165im	-0.9430318159067568 + 0.1453410779862214im
-0.0005778629730850548 + 0.0im	-0.9608419091008953 - 0.02683981575546054im	-0.01783208146438854 - 0.17214865712168212im	-0.017832081464386532 - 0.17214865712168242im	-0.9430098218152274 + 0.14530884136637415im
-0.0005721415575099552 + 0.0im	-0.960850520339952 - 0.02686173515675076im	-0.01786243559697751 - 0.17213867098694707im	-0.01786243559697561 - 0.17213867098694743im	-0.9429880784457026 + 0.1452769358303511im
-0.0005664767896138169 + 0.0im	-0.9608590769729944 - 0.026883437386799366im	-0.01789247933379277 - 0.17212879472858345im	-0.01789247933379091 - 0.17212879472858375im	-0.9429665834744791 + 0.14524535734194108im
-0.0005608681085285316 + 0.0im	-0.9608675643609736 - 0.026904924825909664im	-0.01792221563830888 - 0.17211902672376722im	-0.017922215638306954 - 0.17211902672376764im	-0.9429453345725676 + 0.145214101898017im
-0.0005553149589391402 + 0.0im	-0.9608759910071267 - 0.026926199835883388im	-0.017951647453706827 - 0.17210936536596297im	-0.01795164745370504 - 0.1721093653659633im	-0.9429243384144899 + 0.14518316553024127im
-0.0005498167910288518 + 0.0im	-0.9608843574105032 - 0.02694726475924581im	-0.01798077788260715 - 0.17209980906584174im	-0.01798077788260529 - 0.17209980906584213im	-0.9429035745420635 + 0.14515254430676014im
-0.0005443730604246057 + 0.0im	-0.960892664346995 - 0.02696812191846777im	-0.018009609529310494 - 0.17209035625217622im	-0.018009609529308468 - 0.17209035625217653im	-0.9428830496991535 + 0.145122234333875im
-0.0005389832281431739 + 0.0im	-0.9609009122209184 - 0.0269887736151895im	-0.018038145568558164 - 0.17208100537270463im	-0.01803814556855632 - 0.17208100537270507im	-0.9428627615444231 + 0.1450922317576843im
-0.000533646760537796 + 0.0im	-0.9609091016005452 - 0.027009222129450765im	-0.018066388862963325 - 0.17207175489496493im	-0.018066388862961427 - 0.17207175489496523im	-0.9428427076403989 + 0.14506253276568568im
-0.0005283631292453425 + 0.0im	-0.9609172330034556 - 0.027029469718933077im	-0.01809434231688704 - 0.1720626033070889im	-0.018094342316885108 - 0.17206260330708928im	-0.9428228856003223 + 0.1450331335883296im
-0.0005231318111340024 + 0.0im	-0.9609253069136799 - 0.027049518618217267im	-0.018122008847680848 - 0.17205354911855858im	-0.018122008847678627 - 0.172053549118559im	-0.9428032929908452 + 0.1450040305005176im
-0.0005179522882514876 + 0.0im	-0.9609333238836815 - 0.0270693710380625im	-0.01814939122366392 - 0.17204459086091925im	-0.018149391223661895 - 0.17204459086091947im	-0.9427839275963995 + 0.1449752198230354im
-0.0005128240477737501 + 0.0im	-0.9609412842686071 - 0.027089029164710444im	-0.01817649248694791 - 0.17203572708844714im	-0.018176492486946194 - 0.17203572708844755im	-0.9427647867297091 + 0.14494669792391782im
-0.000507746581954208 + 0.0im	-0.9609491885649156 - 0.027108495159218746im	-0.01820331541528778 - 0.1720269563787681im	-0.018203315415285977 - 0.1720269563787686im	-0.9427458681097829 + 0.14491846121973306im
-0.0005027193880734733 + 0.0im	-0.9609570293738728 - 0.027127771156828im	-0.01822986287672859 - 0.17201827733342887im	-0.0182298628767268 - 0.17201827733342925im	-0.9427271690271842 + 0.14489050617678684im
-0.0004977419683895775 + 0.0im	-0.9609648229284871 - 0.027146859266366456im	-0.01825613766598432 - 0.17200968857841367im	-0.018256137665982542 - 0.17200968857841403im	-0.9427086876365575 + 0.14486282931223576im
-0.0004928138300886906 + 0.0im	-0.9609725614339759 - 0.027165761569694868im	-0.01828214267997567 - 0.17200118876461112im	-0.0182821426799739 - 0.1720011887646116im	-0.9426904211447921 + 0.14483542719510734im
