-2.0 + 0.0im	7.338014217127344e-5 + 0.0im
-0.398994990362606 + 0.0im	0.17942558029608066 + 0.0im
-0.395044544913471 + 0.0im	0.18522656906866533 + 0.0im
-0.391133212785615 + 0.0im	0.19121726147950915 + 0.0im
-0.38726060671843 + 0.0im	0.19740350217941427 + 0.0im
-0.383426343285575 + 0.0im	0.20379126465854663 + 0.0im
-0.379630042857005 + 0.0im	0.21038666770338774 + 0.0im
-0.375871329561391 + 0.0im	0.2171959759365581 + 0.0im
-0.372149831248902 + 0.0im	0.22422561437794858 + 0.0im
-0.368465179454358 + 0.0im	0.23148212803604246 + 0.0im
-0.364817009360751 + 0.0im	0.23897223953508787 + 0.0im
-0.361204959763119 + 0.0im	0.24670278835020026 + 0.0im
-0.357628673032791 + 0.0im	0.2546807574117072 + 0.0im
-0.354087795081972 + 0.0im	0.2629132952614582 + 0.0im
-0.350581975328685 + 0.0im	0.27140766748308653 + 0.0im
-0.347110866662064 + 0.0im	0.28017125139983345 + 0.0im
-0.343674125407984 + 0.0im	0.28921160812336744 + 0.0im
-0.340271411295034 + 0.0im	0.2985363611906706 + 0.0im
-0.336902387420826 + 0.0im	0.3081532905512948 + 0.0im
-0.333566720218639 + 0.0im	0.31807026899469876 + 0.0im
-0.330264079424395 + 0.0im	0.3282952737990863 + 0.0im
-0.326994138043956 + 0.0im	0.3388363396572656 + 0.0im
-0.323756572320748 + 0.0im	0.3497017044003299 + 0.0im
-0.320551061703711 + 0.0im	0.3608994963757883 + 0.0im
-0.317377288815556 + 0.0im	0.3724380011461651 + 0.0im
-0.314234939421342 + 0.0im	0.3843255390703477 + 0.0im
-0.311123702397369 + 0.0im	0.39657044194917906 + 0.0im
-0.308043269700365 + 0.0im	0.4091810144591012 + 0.0im
-0.304993336336995 + 0.0im	0.4221655772214916 + 0.0im
-0.301973600333658 + 0.0im	0.4355324195493366 + 0.0im
-0.298983762706592 + 0.0im	0.4492897481830836 + 0.0im
-0.29602352743227 + 0.0im	0.4634456614760648 + 0.0im
-0.293092601418089 + 0.0im	0.4780081600616743 + 0.0im
-0.290190694473355 + 0.0im	0.4929850581276209 + 0.0im
-0.28731751928055 + 0.0im	0.508384043848125 + 0.0im
-0.284472791366881 + 0.0im	0.5242125162932245 + 0.0im
-0.28165622907612 + 0.0im	0.5404776522067363 + 0.0im
-0.278867553540713 + 0.0im	0.5571863009339376 + 0.0im
-0.276106488654171 + 0.0im	0.5743449502436191 + 0.0im
-0.273372761043734 + 0.0im	0.5919597183337185 + 0.0im
-0.270666100043301 + 0.0im	0.6100362624356024 + 0.0im
-0.267986237666634 + 0.0im	0.6285796956038162 + 0.0im
-0.265332908580826 + 0.0im	0.6475946068041164 + 0.0im
-0.262705850080026 + 0.0im	0.667084943922252 + 0.0im
-0.260104802059431 + 0.0im	0.6870539916436391 + 0.0im
-0.257529506989536 + 0.0im	0.7075042517428888 + 0.0im
-0.25497970989063 + 0.0im	0.7284373443959877 + 0.0im
-0.252455158307554 + 0.0im	0.7498543222353984 + 0.0im
-0.249955602284707 + 0.0im	0.7717546761732001 + 0.0im
-0.247480794341294 + 0.0im	0.7941374222748808 + 0.0im
-0.245030489446826 + 0.0im	0.817000175460331 + 0.0im
-0.242604444996857 + 0.0im	0.8403394369408823 + 0.0im
-0.240202420788968 + 0.0im	0.8641504158773121 + 0.0im
-0.237824178998978 + 0.0im	0.8884270025711233 + 0.0im
-0.235469484157404 + 0.0im	0.9131615546186873 + 0.0im
-0.233138103126142 + 0.0im	0.9383451065438458 + 0.0im
-0.230829805075389 + 0.0im	0.9639669878069057 + 0.0im
-0.228544361460781 + 0.0im	0.9900148941169561 + 0.0im
-0.226281546000773 + 0.0im	1.0164748257723364 + 0.0im
-0.224041134654231 + 0.0im	1.043331009127848 + 0.0im
-0.221822905598248 + 0.0im	1.0705658675598255 + 0.0im
-0.219626639206186 + 0.0im	1.0981598145120697 + 0.0im
-0.217452118025927 + 0.0im	1.1260914907465958 + 0.0im
-0.215299126758344 + 0.0im	1.1543375189430243 + 0.0im
-0.213167452235984 + 0.0im	1.1828724245508726 + 0.0im
-0.211056883401964 + 0.0im	1.2116680744010626 + 0.0im
-0.208967211289073 + 0.0im	1.2406975697799336 + 0.0im
-0.206898228999083 + 0.0im	1.269926886093212 + 0.0im
-0.20484973168226 + 0.0im	1.2993237970216716 + 0.0im
-0.202821516517089 + 0.0im	1.328852885490667 + 0.0im
-0.200813382690187 + 0.0im	1.3584771441723003 + 0.0im
-0.198825131376423 + 0.0im	1.3881575382861824 + 0.0im
-0.196856565719231 + 0.0im	1.4178536401067792 + 0.0im
-0.194907490811119 + 0.0im	1.4475232183735351 + 0.0im
-0.192977713674376 + 0.0im	1.4771224926774504 + 0.0im
-0.191067043241956 + 0.0im	1.5066081803956781 + 0.0im
-0.18917529033857 + 0.0im	1.5359306981041287 + 0.0im
-0.187302267661951 + 0.0im	1.5650454338521855 + 0.0im
-0.185447789764308 + 0.0im	1.5939046430935577 + 0.0im
-0.183611673033968 + 0.0im	1.6224594668067038 + 0.0im
-0.181793735677196 + 0.0im	1.6506611799409139 + 0.0im
-0.179993797700194 + 0.0im	1.678461016446038 + 0.0im
-0.178211680891281 + 0.0im	1.705810168058636 + 0.0im
-0.176447208803249 + 0.0im	1.7326603839139334 + 0.0im
-0.17470020673589 + 0.0im	1.7589639396041676 + 0.0im
-0.172970501718703 + 0.0im	1.7846740360800113 + 0.0im
-0.171257922493765 + 0.0im	1.8097449768859675 + 0.0im
-0.169562299498778 + 0.0im	1.8341326113429917 + 0.0im
-0.167883464850275 + 0.0im	1.8577942052724374 + 0.0im
-0.166221252327005 + 0.0im	1.8806889349039986 + 0.0im
-0.16457549735347 + 0.0im	1.9027784794571718 + 0.0im
-0.162946036983634 + 0.0im	1.9240262196385227 + 0.0im
-0.161332709884786 + 0.0im	1.9443974207478514 + 0.0im
-0.15973535632157 + 0.0im	1.9638641323954618 + 0.0im
-0.158153818140169 + 0.0im	1.982394964599227 + 0.0im
-0.156587938752642 + 0.0im	1.9999657889731488 + 0.0im
-0.155037563121428 + 0.0im	2.0165541614694247 + 0.0im
-0.153502537743988 + 0.0im	2.0321413753137905 + 0.0im
-0.151982710637612 + 0.0im	2.0467115895034933 + 0.0im
-0.150477931324368 + 0.0im	2.060252414699583 + 0.0im
-0.148988050816206 + 0.0im	2.0727545742773312 + 0.0im
-0.147512921600204 + 0.0im	2.084212316118413 + 0.0im
-0.146052397623964 + 0.0im	2.094623009192891 + 0.0im
-0.144606334281153 + 0.0im	2.103987175274349 + 0.0im
-0.143174588397181 + 0.0im	2.1123085554948724 + 0.0im
-0.141757018215031 + 0.0im	2.119593625237671 + 0.0im
-0.140353483381219 + 0.0im	2.1258519572535373 + 0.0im
-0.1389638449319 + 0.0im	2.1310960037390263 + 0.0im
-0.137587965279108 + 0.0im	2.1353403888879243 + 0.0im
-0.136225708197137 + 0.0im	2.138602522060536 + 0.0im
-0.134876938809047 + 0.0im	2.1409019776700684 + 0.0im
-0.133541523573313 + 0.0im	2.1422603898364714 + 0.0im
-0.132219330270607 + 0.0im	2.142701311082294 + 0.0im
-0.1309102279907 + 0.0im	2.142249828405832 + 0.0im
-0.129614087119505 + 0.0im	2.1409328267589696 + 0.0im
-0.128330779326243 + 0.0im	2.1387782453005024 + 0.0im
-0.127060177550736 + 0.0im	2.135815336196033 + 0.0im
-0.125802155990827 + 0.0im	2.1320741852698273 + 0.0im
-0.124556590089928 + 0.0im	2.1275859402748325 + 0.0im
-0.123323356524681 + 0.0im	2.1223816760878704 + 0.0im
-0.122102333192754 + 0.0im	2.116493856773641 + 0.0im
-0.120893399200746 + 0.0im	2.1099545016569814 + 0.0im
-0.119696434852224 + 0.0im	2.1027960055884742 + 0.0im
-0.118511321635865 + 0.0im	2.0950507974796686 + 0.0im
-0.117337942213728 + 0.0im	2.0867511170005746 + 0.0im
-0.116176180409632 + 0.0im	2.0779289485071937 + 0.0im
-0.115025921197655 + 0.0im	2.0686159451431534 + 0.0im
-0.113887050690748 + 0.0im	2.0588433489719806 + 0.0im
-0.112759456129453 + 0.0im	2.048641849001804 + 0.0im
-0.111643025870746 + 0.0im	2.0380413300857274 + 0.0im
-0.110537649376976 + 0.0im	2.027071573232244 + 0.0im
-0.109443217204927 + 0.0im	2.0157608059043297 + 0.0im
-0.108359620994977 + 0.0im	2.0041368127558825 + 0.0im
-0.107286753460373 + 0.0im	1.9922269547219709 + 0.0im
-0.106224508376607 + 0.0im	1.980057210027385 + 0.0im
-0.105172780570898 + 0.0im	1.9676528391887016 + 0.0im
-0.10413146591178 + 0.0im	1.955038318009607 + 0.0im
-0.103100461298792 + 0.0im	1.9422366742711608 + 0.0im
-0.10207966465227 + 0.0im	1.9292707685595727 + 0.0im
-0.101068974903237 + 0.0im	1.916162012777387 + 0.0im
-0.100068291983403 + 0.0im	1.9029310381702733 + 0.0im
-0.0990775168152507 + 0.0im	1.8895974650194027 + 0.0im
-0.0980965513022284 + 0.0im	1.876180177162671 + 0.0im
-0.0971252983190381 + 0.0im	1.8626968979062684 + 0.0im
-0.0961636617020179 + 0.0im	1.8491647217859926 + 0.0im
-0.0952115462396217 + 0.0im	1.8355996890144104 + 0.0im
-0.0942688576629917 + 0.0im	1.8220170597838004 + 0.0im
-0.0933355026366255 + 0.0im	1.8084312362710806 + 0.0im
-0.0924113887491341 + 0.0im	1.7948558965491441 + 0.0im
-0.0914964245040932 + 0.0im	1.7813038312172054 + 0.0im
-0.0905905193109834 + 0.0im	1.7677870903169384 + 0.0im
-0.0896935834762212 + 0.0im	1.7543170779450288 + 0.0im
-0.0888055281942784 + 0.0im	1.740904460971443 + 0.0im
-0.0879262655388895 + 0.0im	1.7275591484029182 + 0.0im
-0.087055708454346 + 0.0im	1.7142905033559537 + 0.0im
-0.0861937707468772 + 0.0im	1.70110722843564 + 0.0im
-0.0853403670761161 + 0.0im	1.688017400116255 + 0.0im
-0.0844954129466496 + 0.0im	1.6750286586581096 + 0.0im
-0.083658824699653 + 0.0im	1.662147859578013 + 0.0im
-0.082830519504607 + 0.0im	1.6493816093242077 + 0.0im
-0.082010415351096 + 0.0im	1.6367358011939759 + 0.0im
-0.0811984310406891 + 0.0im	1.6242160372822085 + 0.0im
-0.0803944861789001 + 0.0im	1.611827240047735 + 0.0im
-0.0795985011672278 + 0.0im	1.599574182902994 + 0.0im
-0.0788103971952751 + 0.0im	1.5874611833015202 + 0.0im
-0.0780300962329456 + 0.0im	1.5754917784676115 + 0.0im
-0.0772575210227184 + 0.0im	1.563669742340927 + 0.0im
-0.0764925950719985 + 0.0im	1.5519981463712889 + 0.0im
-0.075735242645543 + 0.0im	1.5404798205897048 + 0.0im
-0.0749853887579634 + 0.0im	1.5291172849904102 + 0.0im
-0.0742429591663004 + 0.0im	1.5179127775135501 + 0.0im
-0.0735078803626737 + 0.0im	1.5068682580615385 + 0.0im
-0.0727800795670036 + 0.0im	1.4959853997848314 + 0.0im
-0.0720594847198056 + 0.0im	1.4852657458978773 + 0.0im
-0.071346024475055 + 0.0im	1.474710466538578 + 0.0im
-0.0706396281931238 + 0.0im	1.464320580213897 + 0.0im
-0.0699402259337859 + 0.0im	1.454096874367881 + 0.0im
-0.069247748449293 + 0.0im	1.4440400829549696 + 0.0im
-0.0685621271775178 + 0.0im	1.4341504521723483 + 0.0im
-0.0678832942351662 + 0.0im	1.424428537431669 + 0.0im
-0.0672111824110556 + 0.0im	1.4148742220392716 + 0.0im
-0.066545725159461 + 0.0im	1.4054876070023998 + 0.0im
-0.0658868565935257 + 0.0im	1.3962684304905706 + 0.0im
-0.0652345114787383 + 0.0im	1.387216424345813 + 0.0im
-0.0645886252264736 + 0.0im	1.3783311758384666 + 0.0im
-0.0639491338875976 + 0.0im	1.3696120427451817 + 0.0im
-0.0633159741461363 + 0.0im	1.3610588196303326 + 0.0im
-0.0626890833130062 + 0.0im	1.3526699623398948 + 0.0im
-0.0620683993198081 + 0.0im	1.3444453139714896 + 0.0im
-0.0614538607126813 + 0.0im	1.3363837558545375 + 0.0im
-0.0608454066462191 + 0.0im	1.3284841614205463 + 0.0im
-0.0602429768774447 + 0.0im	1.3207455250532985 + 0.0im
-0.0596465117598462 + 0.0im	1.3131666733694407 + 0.0im
