w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-1.1807765475761713e-5 + 0.0im	-0.13257479661887614 - 4.545532172726757e-10im	-0.009926484842857151 + 6.658626191076235e-11im	-0.009926477299579272 + 6.335934343989415e-11im	0.06490349108584535 + 5.4505900320911045e-11im
-1.1690856906694765e-5 + 0.0im	-0.13258206078473875 - 4.579714717377926e-10im	-0.009925313390161871 + 6.749209953576861e-11im	-0.009925305847351334 + 6.421382475832768e-11im	0.06489634845430169 + 5.069897853070607e-11im
-1.1575105848212638e-5 + 0.0im	-0.13258925023737664 - 4.6122640239129975e-10im	-0.009924159937172676 + 6.839266193767652e-11im	-0.00992415239482206 + 6.506411501383529e-11im	0.06488927938578631 + 4.704493321741285e-11im
-1.1460500839814493e-5 + 0.0im	-0.1325963657924984 - 4.6430331400194664e-10im	-0.009923024169464167 + 6.927861958274276e-11im	-0.009923016627566152 + 6.590095016145597e-11im	0.0648822830751993 + 4.354492180018946e-11im
-1.1347030534469796e-5 + 0.0im	-0.13260340825555042 - 4.671892472329624e-10im	-0.009921905778798687 + 7.0142031968328e-11im	-0.009921898237346013 + 6.671645470422197e-11im	0.06487535872760554 + 4.0198937521681074e-11im
-1.1234683697494847e-5 + 0.0im	-0.13261037842188556 - 4.698728056881231e-10im	-0.009920804462988481 + 7.097617001567096e-11im	-0.009920796921974 + 6.75039639571352e-11im	0.0648685055580677 + 3.700599509156243e-11im
-1.1123449205440442e-5 + 0.0im	-0.132617277076928 - 4.723440052286043e-10im	-0.009919719925761539 + 7.17753609466202e-11im	-0.009919712385178185 + 6.825786879365314e-11im	0.06486172279148175 + 3.396429253518566e-11im
-1.1013316044990537e-5 + 0.0im	-0.1326241049963344 - 4.745941427083878e-10im	-0.009918651876630784 + 7.253485289343732e-11im	-0.009918644336471575 + 6.897348012417687e-11im	0.06485500966241765 + 3.107135209158484e-11im
-1.0904273311871818e-5 + 0.0im	-0.1326308629461508 - 4.766156816112825e-10im	-0.009917600030766685 + 7.325069681339131e-11im	-0.009917592491024743 + 6.964691067865023e-11im	0.06484836541496236 + 2.8324142675570173e-11im
-1.0796310209774077e-5 + 0.0im	-0.13263755168296706 - 4.7840215237039e-10im	-0.009916564108873075 + 7.391964356608615e-11im	-0.00991655656954162 + 7.027497195160807e-11im	0.06484178930256733 + 2.5719186126259286e-11im
-1.0689416049281265e-5 + 0.0im	-0.13264417195406664 - 4.799480654151611e-10im	-0.00991554383706612 + 7.45390542652246e-11im	-0.009915536298138475 + 7.085508442178097e-11im	0.06483528058789902 + 2.325264920511852e-11im
-1.0583580246813132e-5 + 0.0im	-0.1326507244975738 - 4.812488352256683e-10im	-0.009914538946756354 + 7.510682224135276e-11im	-0.009914531408225935 + 7.138519938321135e-11im	0.0648288385426929 + 2.0920423076805793e-11im
-1.0478792323577359e-5 + 0.0im	-0.13265721004259767 - 4.823007138816752e-10im	-0.009913549174533652 + 7.56213051512082e-11im	-0.009913541636393984 + 7.186373092391691e-11im	0.06482246244761039 + 1.8718191802578698e-11im
-1.0375041904532038e-5 + 0.0im	-0.13266362930937234 - 4.831007327783812e-10im	-0.009912574262055072 + 7.608126594546023e-11im	-0.009912566724299786 + 7.228949676430755e-11im	0.06481615159209943 + 1.6641491195858063e-11im
-1.0272318717358453e-5 + 0.0im	-0.13266998300939475 - 4.836466513440289e-10im	-0.009911613955935506 + 7.648582156240636e-11im	-0.009911606418558339 + 7.266166682333909e-11im	0.06480990527425744 + 1.4685759230119767e-11im
-1.0170612591444013e-5 + 0.0im	-0.13267627184555916 - 4.839369117391933e-10im	-0.009910668007641 + 7.683439835286812e-11im	-0.00991066047063581 + 7.297971851806478e-11im	0.064803722800698 + 1.2846379048307564e-11im
-1.006991345687526e-5 + 0.0im	-0.132682496512289 - 4.839705986456167e-10im	-0.009909736173384712 + 7.712669336312091e-11im	-0.009909728636745468 + 7.324339792383795e-11im	0.06479760348641975 + 1.1118715498342322e-11im
