w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-0.9203708190275894 + 0.0im	-0.1260907827769012 - 0.0010939226618171935im	-1.2792231120971042e-7 - 2.514349468159636e-7im	2.658306747555759e-7 + 5.2231923853538e-7im	0.07795277926152723 + 0.001012517248587259im
-0.9112582366609796 + 0.0im	-0.12716890367407294 - 0.0011217130040053274im	-1.2987156550954214e-7 - 2.59824157241525e-7im	2.698810080938847e-7 + 5.397466478232243e-7im	0.078808107626097 + 0.0010421911629547073im
-0.902235877882158 + 0.0im	-0.12825456405682703 - 0.0011498473936302953im	-1.3183723928874007e-7 - 2.6845301354361317e-7im	2.7396542845259146e-7 + 5.576718932530046e-7im	0.07967359666533397 + 0.0010725022243979999im
-0.8933028493882752 + 0.0im	-0.12934779308875213 - 0.0011783236700417im	-1.338196271331033e-7 - 2.7732848482693425e-7im	2.780845444273379e-7 + 5.761094518959017e-7im	0.08054939158890256 + 0.0011034635395335308im
-0.8844582667210645 + 0.0im	-0.13044862353172954 - 0.001207139890812683im	-1.358199796502397e-7 - 2.8645778778308673e-7im	2.822409508695956e-7 + 5.950743150483459e-7im	0.08143563918417858 + 0.001135088850795557im
-0.8757012541792718 + 0.0im	-0.13155709118918335 - 0.0012362943523549056im	-1.3783757798002823e-7 - 2.9584839338574207e-7im	2.864331513426402e-7 + 6.145820021302435e-7im	0.08233248928762758 + 0.0011673925631230622im
-0.8670309447319523 + 0.0im	-0.13267322361588293 - 0.0012657856095291899im	-1.3987376549405232e-7 - 3.0550803354452455e-7im	2.9066393224877517e-7 + 6.346485744969082e-7im	0.0832400941041275 + 0.0012003897703430672im
-0.858446479932626 + 0.0im	-0.13379705621287466 - 0.0012956124941302942im	-1.4192784669669722e-7 - 3.154447077231693e-7im	2.9493184555291826e-7 + 6.552906491762766e-7im	0.08415861536727855 + 0.0012340962812198576im
-0.8499470098342832 + 0.0im	-0.1349286219973026 - 0.0013257741321286234im	-1.4400077020754997e-7 - 3.2566668953019057e-7im	2.992388575516618e-7 + 6.765254125485039e-7im	0.08508820506326448 + 0.0012685286451480358im
-0.8415316929052309 + 0.0im	-0.13606794910132516 - 0.001356269959556754im	-1.4609256945488952e-7 - 3.36182533293045e-7im	3.035850335262159e-7 + 6.983706339907625e-7im	0.08602902801133709 + 0.001303704177476435im
-0.8331996959457731 + 0.0im	-0.1372150730054705 - 0.001387099736934694im	-1.4820461081995376e-7 - 3.470010806296582e-7im	3.0797320737011783e-7 + 7.208446795160382e-7im	0.08698124824334158 + 0.0013396409844597997im
-0.824950194005716 + 0.0im	-0.1383700258385034 - 0.0014182635621346395im	-1.5033400073368866e-7 - 3.5813146703415355e-7im	3.1239739894708284e-7 + 7.439665254409204e-7im	0.08794502862045753 + 0.001376357987845789im
-0.8167823703026891 + 0.0im	-0.13953283615896467 - 0.001449761881593725im	-1.524854664266725e-7 - 3.6958312849666796e-7im	3.1686731747225264e-7 + 7.677557721236753e-7im	0.08892054964856408 + 0.0014138749491160723im
-0.8086954161412763 + 0.0im	-0.14070353812770386 - 0.001481595499791736im	-1.5465365030521866e-7 - 3.813658081802264e-7im	3.213719344624085e-7 + 7.922326578203436e-7im	0.08990797352509268 + 0.001452212493412214im
-0.8006885308329468 + 0.0im	-0.14188216295780315 - 0.0015137655869200666im	-1.5684282968409296e-7 - 3.9348956318080814e-7im	3.259200946426019e-7 + 8.174180727131513e-7im	0.09090748314639302 + 0.0014913921331895317im
-0.792760921616779 + 0.0im	-0.14306873866882208 - 0.0015462736846782285im	-1.5905156463535893e-7 - 4.0596477139985457e-7im	3.3050880138493206e-7 + 8.433335731719727e-7im	0.09191925885057974 + 0.0015314362916550588im
-0.7849118035809693 + 0.0im	-0.14426329936938959 - 0.0015791217101448986im	-1.6128003739580865e-7 - 4.1880213856162106e-7im	3.351384274333493e-7 + 8.700013963162087e-7im	0.09294348411969933 + 0.0015723683260593134im
-0.7771403995851182 + 0.0im	-0.14546587101112368 - 0.001612311957681839im	-1.635279950666989e-7 - 4.3201270541084336e-7im	3.3980844155478374e-7 + 8.974444749507457e-7im	0.0939803433999998 + 0.0016142125509253135im
-0.7694459401832853 + 0.0im	-0.14667649039111358 - 0.001645847098840946im	-1.6579527438580289e-7 - 4.456078551292481e-7im	3.445184984612533e-7 + 9.256864529560453e-7im	0.09503002719204237 + 0.0016569942613126087im
-0.7618276635478072 + 0.0im	-0.14789518906585372 - 0.0016797301802570649im	-1.6808165776241243e-7 - 4.59599321012345e-7im	3.4926813977731804e-7 + 9.547517012184546e-7im	0.09609272912376508 + 0.001700739756228535im
-0.7542848153938685 + 0.0im	-0.14912198797423107 - 0.0017139646195220464im	-1.7038685970453053e-7 - 4.7399919445075517e-7im	3.5405676585515276e-7 + 9.846653341927115e-7im	0.09716864363833685 + 0.001745476362313492im
-0.7468166489048202 + 0.0im	-0.15035691227332368 - 0.001748554199048715im	-1.7271060762371572e-7 - 4.888199332630145e-7im	3.5888380347520123e-7 + 1.0154532271941227e-6im	0.09825797523515645 + 0.001791232457941964im
