w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-1.3433062777208762 + 0.0im	-0.7083732387428661 - 0.0028100770783418775im	1.141534810551927e-6 + 1.1764196127702846e-6im	1.1411319801798202e-6 + 1.176694338900206e-6im	-0.8567264558810371 - 0.0053693894018711314im
-1.330006215565224 + 0.0im	-0.7151143813806556 - 0.002927449222160738im	1.168452508826468e-6 + 1.2297892159737753e-6im	1.1680351752994013e-6 + 1.2300742151635022e-6im	-0.8666337105775715 - 0.005605506976674535im
-1.316837837193291 + 0.0im	-0.7219150817762956 - 0.003048296770282977im	1.1957002976609072e-6 + 1.2851319182494975e-6im	1.1952678112618742e-6 + 1.2854273856587815e-6im	-0.8766700963899493 - 0.005849734546448889im
-1.3037998388052385 + 0.0im	-0.7287757951739221 - 0.0031726568020924747im	1.223283957075815e-6 + 1.3425050196605182e-6im	1.2228356436001516e-6 + 1.3428111427365155e-6im	-0.8868378475907902 - 0.006102265752477629im
-1.2908909295101372 + 0.0im	-0.7356968826021124 - 0.0033005642720998454im	1.2511735965804758e-6 + 1.4019674351801322e-6im	1.250708763178141e-6 + 1.4022843928034603e-6im	-0.8971389780528263 - 0.006363298241903915im
-1.2781098311981556 + 0.0im	-0.7426787523962572 - 0.0034320519701152292im	1.2793651061943414e-6 + 1.4635797843964015e-6im	1.2788830350233255e-6 + 1.4639077459993342e-6im	-0.9075754530838941 - 0.00663303403164136im
-1.2654552784140154 + 0.0im	-0.7497218546612763 - 0.0035671504900605835im	1.3078812565076893e-6 + 1.5274044872375197e-6im	1.3073811956777338e-6 + 1.5277436118950306e-6im	-0.918149655246791 - 0.006911679911121599im
-1.2529260182316984 + 0.0im	-0.7568265910783765 - 0.0037058882078495644im	1.336695988712258e-6 + 1.593505865878272e-6im	1.3361771684370751e-6 + 1.5938563013727306e-6im	-0.9288638254341035 - 0.007199447886091634im
-1.2405208101303944 + 0.0im	-0.7639933614869082 - 0.0038482912687317545im	1.3658119284247292e-6 + 1.661950252976213e-6im	1.3652735514664953e-6 + 1.6623121348365962e-6im	-0.9397201150429288 - 0.007496555665733829im
-1.2282384258716776 + 0.0im	-0.7712226027916138 - 0.003994383584463693im	1.3952218271934669e-6 + 1.7328061063737705e-6im	1.394663072787339e-6 + 1.733179556890411e-6im	-0.9507208326336263 - 0.007803227195445016im
-1.2160776493778986 + 0.0im	-0.7785147501535961 - 0.004144186840630854im	1.4249251624782942e-6 + 1.8061441303894953e-6im	1.424345174101845e-6 + 1.8065292576053962e-6im	-0.961868477957632 - 0.008119693237678874im
-1.2040372766117808 + 0.0im	-0.7858701926263032 - 0.004297720514403398im	1.4549179579065004e-6 + 1.882037403807949e-6im	1.4543158621371363e-6 + 1.882434300487866e-6im	-0.9731655112740164 - 0.008446192003327382im
-1.1921161154572086 + 0.0im	-0.7932893774551677 - 0.004455001902963591im	1.4851837287319932e-6 + 1.9605615146637637e-6im	1.4845586251341009e-6 + 1.9609702572422857e-6im	-0.9846143176168872 - 0.008782969836195646im
-1.1803129856011967 + 0.0im	-0.8007727368730568 - 0.004616046162795082im	1.5157384094748067e-6 + 2.0417947019008003e-6im	1.5150893616856208e-6 + 2.042215349410761e-6im	-0.9962175291767486 - 0.009130281953207916im
-1.1686267184170265 + 0.0im	-0.8083206981523411 - 0.004780866359973002im	1.5465631845881306e-6 + 2.125818003972724e-6im	1.5458892527212247e-6 + 2.1262505969553645e-6im	-1.0079778307368055 - 0.009488393243074829im
-1.1570561568485411 + 0.0im	-0.8159337152227 - 0.004949473531540576im	1.5776657844257557e-6 + 2.212715414436286e-6im	1.576965956033945e-6 + 2.2131599738346987e-6im	-1.0198978323735717 - 0.009857579126251105im
-1.1456001552955852 + 0.0im	-0.8236122224317107 - 0.005121876758001242im	1.6090375159648834e-6 + 2.302574044573811e-6im	1.6083107938624303e-6 + 2.3030305706111656e-6im	-1.0319803355176531 - 0.010238126479123307im
-1.1342575795005794 + 0.0im	-0.8313566578181113 - 0.005298083246897267im	1.6406689208252336e-6 + 2.395484293066433e-6im	1.6399142672101838e-6 + 2.395952764110707e-6im	-1.0442281946546788 - 0.010630334625485885im
-1.1230273064362173 + 0.0im	-0.8391674955758038 - 0.005478098427384996im	1.6725720244863077e-6 + 2.4915400227250965e-6im	1.6717883752964083e-6 + 2.492020394141965e-6im	-1.0566442044672468 - 0.01103451639849621im
-1.1119082241942746 + 0.0im	-0.8470451747446982 - 0.005661926055654809im	1.7047326334102094e-6 + 2.5908387442719524e-6im	1.7039188965069611e-6 + 2.5913309472676364e-6im	-1.0692314806009613 - 0.011450999276442284im
-1.1008992318755193 + 0.0im	-0.8549901470551932 - 0.005849568330980324im	1.7371538665182855e-6 + 2.693481807151021e-6im	1.7363089239284888e-6 + 2.693985747606896e-6im	-1.0819930839018954 - 0.01188012659581555im
-1.089999239480712 + 0.0im	-0.8630028819386736 - 0.006041026022116899im	1.769828942819517e-6 + 2.799574597333761e-6im	1.7689516497688863e-6 + 2.800090154634603e-6im	-1.0949319921112537 - 0.01232225884535336im
-1.0792071678026853 + 0.0im	-0.8710838457190011 - 0.006236298603704265im	1.8027555942187666e-6 + 2.9092267420724995e-6im	1.8018447804867622e-6 + 2.9097537679302977e-6im	-1.10805164436664 - 0.012777775044904996im
-1.0685219483194903 + 0.0im	-0.8792335207645573 - 0.00643538440226292im	1.8359343333476448e-6 + 3.0225523215431745e-6im	1.8349888016714614e-6 + 3.0230906388184134e-6im	-1.1213551508072863 - 0.013247074213181255im
-1.0579425230886044 + 0.0im	-0.8874523444788851 - 0.00663828075130876im	1.8693606373762701e-6 + 3.139670087307775e-6im	1.8683791654597046e-6 + 3.140219488830207e-6im	-1.134845937132145 - 0.013730576928671872im
-1.0474678446421826 + 0.0im	-0.8957408562635094 - 0.006844984155046007im	1.9030275757416197e-6 + 3.260703687517301e-6im	1.9020089159997053e-6 + 3.2612639349081166e-6im	-1.1485275672900483 - 0.014228726988259801im
-1.037096875883349 + 0.0im	-0.9040995072245223 - 0.007055490460035245im	1.9369353376021936e-6 + 3.3857818987670527e-6im	1.9358782173523115e-6 + 3.38635272126456e-6im	-1.1624035287959025 - 0.0147419931683253im
-1.026828589983514 + 0.0im	-0.9125287905640204 - 0.007269795034171728im	1.9710881534377875e-6 + 3.5150388645088645e-6im	1.969991273717018e-6 + 3.515619957799494e-6im	-1.1764774892715908 - 0.015270871093418811im
-1.016661970280707 + 0.0im	-0.9210291829893195 - 0.007487892952249256im	2.005453288386642e-6 + 3.648614339918138e-6im	2.004315331394581e-6 + 3.6492053649749156e-6im	-1.190753227098376 - 0.015815885217891103im
-1.0065960101789178 + 0.0im	-0.9296012413026654 - 0.007709779187328234im	2.040055138066869e-6 + 3.7866539431087645e-6im	2.0388747569743106e-6 + 3.7872545250390828e-6im	-1.2052347128025607 - 0.016377590926199403im
-0.9966297130484334 + 0.0im	-0.9382454103270894 - 0.007935448807072034im	2.0748733489851676e-6 + 3.929309412584883e-6im	2.0736491760208116e-6 + 3.929919139489546e-6im	-1.2199257720796912 - 0.016956576757964578im
-0.9867620921271618 + 0.0im	-0.9469622201460961 - 0.008164897174165632im	2.1099008090437245e-6 + 4.07673887081588e-6im	2.1086314541087798e-6 + 4.077357292661268e-6im	-1.2348304895801858 - 0.017553466764235137im
-0.9769921704229325 + 0.0im	-0.955752200885606 - 0.008398120149883614im	2.145145193217824e-6 + 4.2291070938196646e-6im	2.143829242111723e-6 + 4.229733721324838e-6im	-1.2499531211578316 - 0.018168923001817328im
-0.9673189806167649 + 0.0im	-0.9646158461940507 - 0.008635114299832655im	2.1805522599874825e-6 + 4.386585786638668e-6im	2.1791882842397994e-6 + 4.38722009017916e-6im	-1.265297926069224 - 0.018803648172962446im
-0.957741564967094 + 0.0im	-0.9735537058039466 - 0.00887587710085645im	2.216155661711437e-6 + 4.549353864594014e-6im	2.2147422048323665e-6 + 4.54999527312391e-6im	-1.2808693170570475 - 0.019458388418157276im
-0.9482589752149445 + 0.0im	-0.9825662865533066 - 0.009120407148058897im	2.2519254318591604e-6 + 4.7175977402045434e-6im	2.2504610203778092e-6 + 4.718245640198553e-6im	-1.29667183442129 - 0.02013393627024461im
-0.9388702724900441 + 0.0im	-0.9916541381422803 - 0.009368704360875448im	2.287849102015771e-6 + 4.89151161566007e-6im	2.2863322429258137e-6 + 4.892165350076901e-6im	-1.312710150551337 - 0.020831133778606674im
-0.9295745272178654 + 0.0im	-1.0008178004012895 - 0.009620770187102263im	2.323909405746769e-6 + 5.071297780740743e-6im	2.322338587714228e-6 + 5.0719566480091905e-6im	-1.3289890541527842 - 0.021550875812674664im
