w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-1.4546082105423468 + 0.0im	-0.08411311956540575 - 0.00022522263520683295im	1.0921343173313242e-7 + 8.787492862623101e-8im	-5.261682890140266e-8 - 4.231944046485243e-8im	0.04756154134384027 + 0.00018978794422332934im
-1.4402061490518285 + 0.0im	-0.08487739071083343 - 0.00023548670712236498im	1.119470090025288e-7 + 9.205747816634282e-8im	-5.39336324489264e-8 - 4.4333672084365686e-8im	0.04806877785334609 + 0.00019860921091654203im
-1.4259466822295332 + 0.0im	-0.0856478200161995 - 0.00024609662696920725im	1.1471924371529385e-7 + 9.639848103737923e-8im	-5.5269058136000783e-8 - 4.64242107166774e-8im	0.04858168291636421 + 0.00020774438932535854im
-1.4118283982470625 + 0.0im	-0.08642443818133665 - 0.00025705774201116425im	1.175295041763823e-7 + 1.0090208655695485e-7im	-5.662280182794127e-8 - 4.8593054580919866e-8im	0.049100323222051254 + 0.0002171999376579974im
-1.3978498992545174 + 0.0im	-0.08720727447170154 - 0.00026837519099224617im	1.2037679336829052e-7 + 1.0557249832034382e-7im	-5.799438345044276e-8 - 5.084222804019689e-8im	0.04962476360125771 + 0.00022698226597109156im
-1.3840098012420965 + 0.0im	-0.08799636072945878 - 0.0002800538923836047im	1.232602730565552e-7 + 1.1041397592942503e-7im	-5.9383399399733206e-8 - 5.317378243459486e-8im	0.050155072940777104 + 0.00023709773222659026im
-1.370306733903066 + 0.0im	-0.08879172408717598 - 0.00029209853311854597im	1.2617906691597593e-7 + 1.1543083704827081e-7im	-6.078957142913615e-8 - 5.558979707149663e-8im	0.05069131979315194 + 0.0002475526388972571im
-1.356739340498085 + 0.0im	-0.0895933932002558 - 0.0003045135578801831im	1.2913248163560552e-7 + 1.2062745980372083e-7im	-6.221213460246535e-8 - 5.809238038202977e-8im	0.05123357282601401 + 0.0002583532301699354im
-1.3433062777208762 + 0.0im	-0.09040140652995168 - 0.0003173031590061492im	1.3211980339840046e-7 + 1.260082855485739e-7im	-6.365117629955153e-8 - 6.068367125213618e-8im	0.05178190309423977 + 0.0002695056897950677im
-1.330006215565224 + 0.0im	-0.09121578383765429 - 0.0003304712670742922im	1.3513957560866943e-7 + 1.315778220041878e-7im	-6.510585152485948e-8 - 6.336584053634889e-8im	0.052336381537717025 + 0.0002810161396300565im
-1.316837837193291 + 0.0im	-0.09203655791331268 - 0.00034402154223240505im	1.3819172663163817e-7 + 1.3734064679831301e-7im	-6.657612578184482e-8 - 6.614109276189045e-8im	0.05289708232942341 + 0.00029289063892278384im
-1.3037998388052385 + 0.0im	-0.09286375810876649 - 0.0003579573663337757im	1.4127533136351685e-7 + 1.4330141141287488e-7im	-6.806155344390274e-8 - 6.901166803017928e-8im	0.053464078615055394 + 0.0003051351843800762im
-1.2908909295101372 + 0.0im	-0.09369741463121799 - 0.0003722818359386861im	1.4438913191869374e-7 + 1.4946484555518816e-7im	-6.956152898264891e-8 - 7.19798441222323e-8im	0.05403744490677459 + 0.0003177557110640547im
-1.2781098311981556 + 0.0im	-0.09453755266641077 - 0.00038699775623992407im	1.4753212727468795e-7 + 1.558357619647335e-7im	-7.107557035308006e-8 - 7.504793881380073e-8im	0.054617257111069455 + 0.00033075809415712985im
-1.2654552784140154 + 0.0im	-0.09538420557052624 - 0.0004021076359678925im	1.507043185824201e-7 + 1.6241906166613318e-7im	-7.260367788855103e-8 - 7.821831240536e-8im	0.055203593933668096 + 0.0003441481516339564im
-1.2529260182316984 + 0.0im	-0.0962374007528231 - 0.0004176136833280108im	1.5390476532832712e-7 + 1.6921973967737525e-7im	-7.414539900523503e-8 - 8.149337047130526e-8im	0.055796532553101526 + 0.0003579316478758664im
-1.2405208101303944 + 0.0im	-0.09709716716056241 - 0.00043351780301979884im	1.571334717694284e-7 + 1.762428911806203e-7im	-7.570073551629018e-8 - 8.487556683188153e-8im	0.0563961533293791 + 0.0003721142982602516im
-1.2282384258716776 + 0.0im	-0.0979635338189853 - 0.00044982159438330916im	1.6038897894945894e-7 + 1.8349371816111744e-7im	-7.726898504418264e-8 - 8.836740675050445e-8im	0.05700254186426834 + 0.00038670177475399374im
-1.2160776493778986 + 0.0im	-0.09883652906380067 - 0.0004665263507144554im	1.6367042760971996e-7 + 1.9097753651785394e-7im	-7.884973343059565e-8 - 9.197145035821332e-8im	0.057615774094061656 + 0.000401699712536411im
-1.2040372766117808 + 0.0im	-0.09971618217582144 - 0.0004836330597862456im	1.6697833067487105e-7 + 1.9869978364757967e-7im	-8.04432278976677e-8 - 9.569031630603991e-8im	0.05823593939478639 + 0.000417113717673301im
-1.1921161154572086 + 0.0im	-0.10060252200229064 - 0.0005011424056080376im	1.7031166975338664e-7 + 2.0666602650179322e-7im	-8.204897794158647e-8 - 9.952668564509215e-8im	0.058863119300094864 + 0.00043294937585950304im
-1.1803129856011967 + 0.0im	-0.10149557658707975 - 0.0005190547714496175im	1.736694429420028e-7 + 2.148819701141729e-7im	-8.366650079664553e-8 - 1.0348330593313047e-7im	0.059497402620303036 + 0.00044921226224304926im
-1.1686267184170265 + 0.0im	-0.10239537651616339 - 0.0005373702441512804im	1.7705258341484626e-7 + 2.233534665937776e-7im	-8.529624604061492e-8 - 1.0756299556538534e-7im	0.060138879946078125 + 0.00046590795233940205im
-1.1570561568485411 + 0.0im	-0.10330194980098832 - 0.0005560886197351039im	1.8045952757864221e-7 + 2.3208652457717905e-7im	-8.693746028387037e-8 - 1.117686483263123e-7im	0.06078763650007911 + 0.00048304203403952016im
-1.1456001552955852 + 0.0im	-0.1042153254702494 - 0.0005752094103263164im	1.8388954589338458e-7 + 2.410873191304969e-7im	-8.858979231402876e-8 - 1.1610323815793396e-7im	0.061443768275888315 + 0.0005006201207106011im
-1.1342575795005794 + 0.0im	-0.10513553241919354 - 0.0005947318523870837im	1.8734529385218753e-7 + 2.5036220209013677e-7im	-9.025452061725852e-8 - 1.2056982413936643e-7im	0.062107365897367026 + 0.0005186478653833437im
-1.1230273064362173 + 0.0im	-0.1060626011119998 - 0.0006146549162582096im	1.9082359915701038e-7 + 2.599177128288926e-7im	-9.193011720961819e-8 - 1.2517155567110289e-7im	0.06277852873003731 + 0.0005371309760144532im
-1.1119082241942746 + 0.0im	-0.10699655879974077 - 0.0006349773169971953im	1.9432520718987683e-7 + 2.697605894319746e-7im	-9.361694112821349e-8 - 1.2991167785661217e-7im	0.06345734875700125 + 0.0005560752318079697im
-1.1008992318755193 + 0.0im	-0.10793743600405457 - 0.000655697526493864im	1.9785109195252254e-7 + 2.7989778026550857e-7im	-9.531546091357657e-8 - 1.3479353707283887e-7im	0.06414392714892181 + 0.0005754865005738357im
-1.089999239480712 + 0.0im	-0.10888526206671735 - 0.0006768137868373797im	2.013998383406094e-7 + 2.903364559181149e-7im	-9.702499498164918e-8 - 1.3982058672026232e-7im	0.06483836280426403 + 0.0005953707570969703im
-1.0792071678026853 + 0.0im	-0.10984006653163601 - 0.000698324124900993im	2.0497171962045272e-7 + 3.0108402149435947e-7im	-9.874567453516737e-8 - 1.4499639314229254e-7im	0.06554075698819303 + 0.0006157341024850667im
-1.0685219483194903 + 0.0im	-0.11080187993891542 - 0.0007202263681033223im	2.0856835323551246e-7 + 3.1214812923719357e-7im	-1.0047827804831057e-7 - 1.5032464170297717e-7im	0.06625121645065633 + 0.0006365827844583327im
-1.0579425230886044 + 0.0im	-0.11177073103476036 - 0.000742518161297382im	2.121902648913019e-7 + 3.2353669145496523e-7im	-1.0222305822776467e-7 - 1.5580914301125496e-7im	0.06696984682563437 + 0.0006579232185396482im
-1.0474678446421826 + 0.0im	-0.1127466500705618 - 0.0007651969847310857im	2.1583543219510954e-7 + 3.3525789372726226e-7im	-1.0397904093673553e-7 - 1.6145383927934994e-7im	0.06769675413296301 + 0.0006797620100989478im
-1.037096875883349 + 0.0im	-0.11372966761189558 - 0.0007882601730154764im	2.1950538848931496e-7 + 3.4732020836268726e-7im	-1.0574696398652798e-7 - 1.6726281080234977e-7im	0.06843204921614209 + 0.0007021059772013417im
-1.026828589983514 + 0.0im	-0.11471981453604617 - 0.0008117049350296534im	2.2320064395800558e-7 + 3.5973240808078037e-7im	-1.0752707260925239e-7 - 1.7324028254557548e-7im	0.06917584403731311 + 0.0007249621742043848im
-1.016661970280707 + 0.0im	-0.11571712043702322 - 0.0008355283746842382im	2.2692070077168216e-7 + 3.725035798896186e-7im	-1.0931912630761176e-7 - 1.7939063082603127e-7im	0.06992825197428294 + 0.000748337916046225im
-1.0065960101789178 + 0.0im	-0.11672161593933954 - 0.0008597275124583456im	2.3066783694483013e-7 + 3.8564313913024567e-7im	-1.1112422171849949e-7 - 1.8571839007403074e-7im	0.07068939153719897 + 0.0007722408031630092im
-0.9966297130484334 + 0.0im	-0.1177333331033381 - 0.0008842993076184664im	2.3444204943134726e-7 + 3.9916084365896376e-7im	-1.129423562668447e-7 - 1.9222825966104302e-7im	0.07145937916577963 + 0.0007966787469710392im
-0.9867620921271618 + 0.0im	-0.11875230223992286 - 0.000909240681021414im	2.3824422905155877e-7 + 4.130668081387311e-7im	-1.1477395867797633e-7 - 1.9892511077990632e-7im	0.07223833633481251 + 0.0008216599958467804im
-0.9769921704229325 + 0.0im	-0.11977855471633514 - 0.000934548538397688im	2.4207367911457497e-7 + 4.2737151841141724e-7im	-1.1661869222925822e-7 - 2.0581399336379752e-7im	0.0730263847780419 + 0.000847193161535913im
-0.9673189806167649 + 0.0im	-0.12081212142062163 - 0.0009602197940062132im	2.459320568123646e-7 + 4.4208584592354736e-7im	-1.1847735434530495e-7 - 2.1290014303076916e-7im	0.07382364953504134 + 0.0008732872459213004im
-0.957741564967094 + 0.0im	-0.12185303427044335 - 0.0009862513945466012im	2.498201905167276e-7 + 4.5722106217936214e-7im	-1.203503429962474e-7 - 2.2018898804124698e-7im	0.07463025961956046 + 0.0008999516680790671im
-0.9482589752149445 + 0.0im	-0.12290132634192547 - 0.001012640343210713im	2.537387604378184e-7 + 4.727888531966011e-7im	-1.2223798483756048e-7 - 2.2768615625663545e-7im	0.07544634465823234 + 0.0009271962915518616im
-0.9388702724900441 + 0.0im	-0.12395702533504876 - 0.0010393837237516637im	2.57688464472159e-7 + 4.888013339423753e-7im	-1.241406146058996e-7 - 2.3539748208812563e-7im	0.07627203325720418 + 0.0009550314517690413im
-0.9295745272178654 + 0.0im	-0.12502016703369825 - 0.0010664787244453432im	2.6167027674845137e-7 + 5.052710627287904e-7im	-1.2605870039527732e-7 - 2.433290134259111e-7im	0.07710747026673767 + 0.0009834679835447851im
-0.9203708190275894 + 0.0im	-0.1260907827769011 - 0.0010939226618171937im	2.6568478309960273e-7 + 5.222110555507245e-7im	-1.2799252309864836e-7 - 2.5148701854032244e-7im	0.0779527792615271 + 0.0010125172485872603im
-0.9112582366609796 + 0.0im	-0.12716890367407294 - 0.0011217130040053276im	2.6973323410420686e-7 + 5.396348003512207e-7im	-1.2994268362682844e-7 - 2.5987799294788153e-7im	0.07880810762609683 + 0.0010421911629547081im
-0.902235877882158 + 0.0im	-0.12825456405682692 - 0.0011498473936302953im	2.738157871037501e-7 + 5.575562712034209e-7im	-1.3190925643262583e-7 - 2.6850866623693745e-7im	0.07967359666533384 + 0.0010725022243980007im
-0.8933028493882752 + 0.0im	-0.12934779308875202 - 0.0011783236700417im	2.7793305393017745e-7 + 5.759899424018402e-7im	-1.338925345436858e-7 - 2.773860088494054e-7im	0.08054939158890242 + 0.001103463539533532im
-0.8844582667210645 + 0.0im	-0.13044862353172948 - 0.001207139890812683im	2.820876319991939e-7 + 5.949508024599187e-7im	-1.35893767333049e-7 - 2.865172388171411e-7im	0.08143563918417845 + 0.0011350888507955582im
-0.8757012541792718 + 0.0im	-0.13155709118918327 - 0.0012362943523549059im	2.862780282935013e-7 + 6.144543680153989e-7im	-1.3791223429424638e-7 - 2.9590982845367965e-7im	0.08233248928762742 + 0.0011673925631230635im
-0.8670309447319523 + 0.0im	-0.13267322361588288 - 0.0012657856095291897im	2.9050703289241867e-7 + 6.345166976499178e-7im	-1.3994927702847278e-7 - 3.055715110044241e-7im	0.08324009410412735 + 0.0012003897703430685im
-0.858446479932626 + 0.0im	-0.13379705621287463 - 0.001295612494130294im	2.94773201304915e-7 + 6.551544056344151e-7im	-1.4200419833373538e-7 - 3.155102872608613e-7im	0.08415861536727841 + 0.0012340962812198584im
-0.8499470098342832 + 0.0im	-0.13492862199730252 - 0.0013257741321286236im	2.990785037407401e-7 + 6.763846756174412e-7im	-1.4407794494551512e-7 - 3.2573443214703457e-7im	0.08508820506326432 + 0.0012685286451480369im
-0.8415316929052309 + 0.0im	-0.13606794910132508 - 0.0013562699595567544im	3.034230096277189e-7 + 6.982252742791855e-7im	-1.4617054829556664e-7 - 3.362525012892573e-7im	0.08602902801133697 + 0.0013037041774764363im
-0.8331996959457731 + 0.0im	-0.13721507300547042 - 0.001387099736934694im	3.078095568343921e-7 + 7.206945649800384e-7im	-1.4828337285121947e-7 - 3.470733375829442e-7im	0.08698124824334141 + 0.0013396409844598008im
-0.824950194005716 + 0.0im	-0.13837002583850333 - 0.0014182635621346397im	3.12232135640228e-7 + 7.43811521438636e-7im	-1.5041353928761587e-7 - 3.5820607777339824e-7im	0.08794502862045737 + 0.0013763579878457906im
-0.8167823703026891 + 0.0im	-0.13953283615896456 - 0.001449761881593725im	3.167005641393497e-7 + 7.675957414807094e-7im	-1.5256572241214113e-7 - 3.6966015907043734e-7im	0.08892054964856393 + 0.0014138749491160736im
-0.8086954161412763 + 0.0im	-0.1407035381277038 - 0.0014815954997917363im	3.2120371502155876e-7 + 7.920674609064376e-7im	-1.5473461221431766e-7 - 3.8144532581984885e-7im	0.08990797352509253 + 0.001452212493412215im
-0.8006885308329468 + 0.0im	-0.14188216295780307 - 0.0015137655869200675im	3.257504719404235e-7 + 8.172475675305906e-7im	-1.5692446726554367e-7 - 3.935716362578077e-7im	0.09090748314639288 + 0.0014913921331895328im
-0.792760921616779 + 0.0im	-0.14306873866882203 - 0.0015462736846782292im	3.3033784427617334e-7 + 8.431576154561908e-7im	-1.591338447449776e-7 - 4.0604946937751125e-7im	0.09191925885057958 + 0.0015314362916550603im
-0.7849118035809693 + 0.0im	-0.14426329936938942 - 0.0015791217101448992im	3.349662105203746e-7 + 8.698198396490152e-7im	-1.6136292412193053e-7 - 4.188895319404485e-7im	0.09294348411969915 + 0.0015723683260593152im
-0.7771403995851182 + 0.0im	-0.14546587101112357 - 0.0016123119576818396im	3.396350454215756e-7 + 8.972571708865964e-7im	-1.6361144961750482e-7 - 4.3210286566778805e-7im	0.09398034339999964 + 0.0016142125509253146im
-0.7694459401832853 + 0.0im	-0.14667649039111352 - 0.0016458470988409465im	3.4434400989647205e-7 + 9.254932511617453e-7im	-1.6587925498191047e-7 - 4.4570085465042427e-7im	0.0950300271920422 + 0.0016569942613126104im
-0.7618276635478072 + 0.0im	-0.14789518906585364 - 0.0016797301802570653im	3.490926520256456e-7 + 9.545524496266508e-7im	-1.6816611951583937e-7 - 4.59695233019124e-7im	0.09609272912376489 + 0.0017007397562285361im
-0.7542848153938685 + 0.0im	-0.14912198797423104 - 0.0017139646195220473im	3.538803788639583e-7 + 9.844598791694884e-7im	-1.704717544999217e-7 - 4.7409809291906405e-7im	0.09716864363833666 + 0.0017454763623134945im
-0.7468166489048202 + 0.0im	-0.15035691227332362 - 0.001748554199048716im	3.587066242659515e-7 + 1.0152414137210178e-6im	-1.727958839395016e-7 - 4.889218928356979e-7im	0.09825797523515625 + 0.0017912324579419656im
-0.7394224246582378 + 0.0im	-0.15160000040007304 - 0.0017835030579468596im	3.6356993913124904e-7 + 1.0469237063937713e-6im	-1.751378069435639e-7 - 5.041794663213864e-7im	0.09936092613907441 + 0.0018380374978956462im
-0.7321014105527107 + 0.0im	-0.15285127527301287 - 0.0018188156819469825im	3.684689584929003e-7 + 1.0795342085612633e-6im	-1.7749686217634347e-7 - 5.198840311745221e-7im	0.10047770532375527 + 0.0018859220387799842im
-0.7248528817353571 + 0.0im	-0.15411076388562764 - 0.0018544968914212543im	3.734034487879708e-7 + 1.1131011899888207e-6im	-1.798729339455411e-7 - 5.360491991249141e-7im	0.10160852489717975 + 0.0019349177653699224im
-0.7176761205300566 + 0.0im	-0.1553784952789195 - 0.0018905518275648167im	3.7837161610951824e-7 + 1.1476537601314593e-6im	-1.8226515457522664e-7 - 5.526889860810232e-7im	0.10275359966887164 + 0.001985057518085201im
-0.7105704163663926 + 0.0im	-0.15665449087570202 - 0.0019269859368141508im	3.833718333956735e-7 + 1.1832218907173087e-6im	-1.8467273674964785e-7 - 5.69817822996129e-7im	0.10391314593048849 + 0.0020363753218096145im
-0.7035350657092996 + 0.0im	-0.15793877757639488 - 0.0019638049535926137im	3.8840180935763325e-7 + 1.2198364397375898e-6im	-1.8709457324859886e-7 - 5.874505674117164e-7im	0.10508739397095218 + 0.002088906416282544im
-0.6965693719894055 + 0.0im	-0.15923138411534768 - 0.002001014881486289im	3.9346199772576697e-7 + 1.257529176965974e-6im	-1.895308783621394e-7 - 6.056025157372533e-7im	0.10627656820503947 + 0.002142687288304311im
-0.6896726455340648 + 0.0im	-0.16053232841890147 - 0.002038621972965907im	3.985476908076828e-7 + 1.2963328111312197e-6im	-1.9197938122304753e-7 - 6.242894163260191e-7im	0.10748090141127638 + 0.0021977557060098934im
-0.682844203499074 + 0.0im	-0.1618416353063759 - 0.0020766327077827614im	4.0365788540950105e-7 + 1.336281018867242e-6im	-1.9443959452515825e-7 - 6.435274834068139e-7im	0.10870063817538858 + 0.002254150755477752im
-0.6760833698010634 + 0.0im	-0.16315932254127383 - 0.002115053770177955im	4.0879034987140467e-7 + 1.3774084755642754e-6im	-1.9691043923313471e-7 - 6.633334119311092e-7im	0.10993600776397437 + 0.0023119128799522362im
-0.6693894750505578 + 0.0im	-0.16448542860353157 - 0.0021538920250550385im	4.1394227067449444e-7 + 1.4197508882434191e-6im	-1.9939055641076748e-7 - 6.837243933945347e-7im	0.11118726570975693 + 0.0023710839219690466im
-0.6627618564857007 + 0.0im	-0.16581995553990156 - 0.002193154493276148im	4.1911647005203886e-7 + 1.4633450305746105e-6im	-2.0188130017735563e-7 - 7.047181326905585e-7im	0.1124546636545281 + 0.002431707168683512im
-0.6561998579066344 + 0.0im	-0.16716293031669166 - 0.0022328483262505977im	4.2429373205248257e-7 + 1.5082287801549658e-6im	-2.0437341365867533e-7 - 7.263328660526631e-7im	0.1137384430441321 + 0.002493827400711im
-0.649702829610529 + 0.0im	-0.1685143701307272 - 0.002272980779992882im	4.2948752574353096e-7 + 1.5544411581603828e-6im	-2.0687337740018563e-7 - 7.485873801394346e-7im	0.11503888265924751 + 0.002557490944797529im
-0.6432701283272565 + 0.0im	-0.16987429833326503 - 0.002313559188833986im	4.34689913230057e-7 + 1.6020223714784174e-6im	-2.093773645721914e-7 - 7.715010323145738e-7im	0.11635624294010534 + 0.0026227457306466466im
-0.6369011171556995 + 0.0im	-0.17124272419744008 - 0.002354590938975506im	4.3989601046595075e-7 + 1.651013857424605e-6im	-2.11883018971143e-7 - 7.950937721710726e-7im	0.11769079549603131 + 0.0026896413522358342im
-0.6305951655006926 + 0.0im	-0.1726196692565265 - 0.0023960834420804667im	4.4510269064998206e-7 + 1.7014583311376965e-6im	-2.1438882963161938e-7 - 8.193861643455475e-7im	0.11904281484462695 + 0.0027582291339621097im
-0.6243516490105867 + 0.0im	-0.1740051466372117 - 0.0024380441090979406im	4.503057170753283e-7 + 1.7533998357417124e-6im	-2.1689275235508488e-7 - 8.443994126650799e-7im	0.12041259778202848 + 0.0028285622019621043im
-0.6181699495154324 + 0.0im	-0.17539917361372181 - 0.002480480324520114im	4.555037960964375e-7 + 1.8068837953543535e-6im	-2.1939415916819772e-7 - 8.701553856648861e-7im	0.1218004127469481 + 0.0029006955609568916im
-0.6120494549657746 + 0.0im	-0.17680176780083576 - 0.0025233994212708im	4.60693926918816e-7 + 1.8619570710120138e-6im	-2.2189159977199852e-7 - 8.966766435106822e-7im	0.1232065780539197 + 0.002974686176976002im
-0.605989559372054 + 0.0im	-0.1782129338359 - 0.002566808656423184im	4.6586226388453683e-7 + 1.9186680195717884e-6im	-2.243784033495465e-7 - 9.239864663548416e-7im	0.12463136973369246 + 0.003050593066318702im
