w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-1.6554798300813367 + 0.0im	-0.037691590359437276 - 6.912737812209083e-5im	4.304442520815554e-8 + 2.7532440685748367e-8im	-8.937166226118104e-8 - 5.7197642696929794e-8im	0.0911718888813795 + 0.00026618886308599134im
-1.6390889406745908 + 0.0im	-0.03805434977983299 - 7.27641291977649e-5im	4.425939560689719e-8 + 2.9026699905290456e-8im	-9.189428372443923e-8 - 6.030185904727403e-8im	0.09219720772033956 + 0.0002804595414808621im
-1.622860337301575 + 0.0im	-0.03842045153184133 - 7.655307578315433e-5im	4.550394240545658e-8 + 3.058840040171324e-8im	-9.447830095904725e-8 - 6.354617436181218e-8im	0.09323534969498146 + 0.00029535555266993187im
-1.6067924131698763 + 0.0im	-0.03878991961801496 - 8.049828649865848e-5im	4.677746389074252e-8 + 3.2219853431591116e-8im	-9.712246218789951e-8 - 6.693538940784277e-8im	0.09428650338751464 + 0.00031089652810401165im
-1.5908835773959171 + 0.0im	-0.03916277833705814 - 8.4603817143235e-5im	4.8079528286044124e-8 + 3.3923419861110215e-8im	-9.982586852613908e-8 - 7.047440795378986e-8im	0.09535084573754406 + 0.0003271023684804553im
-1.5751322548474427 + 0.0im	-0.039539052807871546 - 8.887370397292339e-5im	4.940964160188476e-8 + 3.570151088394406e-8im	-1.0258749184144952e-7 - 7.41682382568688e-8im	0.0964285678154177 + 0.00034399323876128837im
-1.559536885987567 + 0.0im	-0.03991876622461818 - 9.331195686819343e-5im	5.076791434953233e-8 + 3.755658884447872e-8im	-1.0540755953950247e-7 - 7.802199476945544e-8im	0.09751984672814934 + 0.00036158956386849253im
-1.5440959267203633 + 0.0im	-0.040301943988314076 - 9.792255241412219e-5im	5.215262742726904e-8 + 3.949116817874165e-8im	-1.0828249866190362e-7 - 8.204090008982281e-8im	0.0986248853132542 + 0.00037991202519645516im
-1.5288078482379834 + 0.0im	-0.04068860971369401 - 0.00010270942691894483im	5.3564747882892424e-8 + 4.1507816485829205e-8im	-1.1121431565801691e-7 - 8.623028718382408e-8im	0.09974387532619815 + 0.0003989815580897859im
-1.5136711368692906 + 0.0im	-0.04107879133741432 - 0.00010767646939799254im	5.500316997435449e-8 + 4.360915574303228e-8im	-1.1420071146436649e-7 - 9.059560190494306e-8im	0.10087703151385746 + 0.00041881935044285807im
-1.4986842939299907 + 0.0im	-0.04147251146261231 - 0.00011282751455144199im	5.646801347314295e-8 + 4.579786367822798e-8im	-1.1724193255409707e-7 - 9.514240584089628e-8im	0.10202453600635837 + 0.00043944684258556753im
-1.483845835574248 + 0.0im	-0.0418697954740774 - 0.00011816633576560306im	5.795835641105053e-8 + 4.807667531342749e-8im	-1.203360613923363e-7 - 9.987637951564252e-8im	0.10318661950221136 + 0.00046088572862785045im
-1.4691542926477703 + 0.0im	-0.04227066936588072 - 0.00012369663816869892im	5.94743679384266e-8 + 5.044838469364771e-8im	-1.2348344691590871e-7 - 1.0480332597623234e-7im	0.10436348652999458 + 0.00048315795944351304im
-1.4546082105423468 + 0.0im	-0.04267515872530319 - 0.00012942205177319152im	6.10154449176459e-8 + 5.291584681550075e-8im	-1.2668283373695988e-7 - 1.0992917479440058e-7im	0.10555535711875556 + 0.0005062857474818079im
-1.4402061490518285 + 0.0im	-0.043083287456160864 - 0.00013534612473768348im	6.258104006878777e-8 + 5.548197977007006e-8im	-1.299330825085731e-7 - 1.1525998651316848e-7im	0.10676245139829535 + 0.0005302915736029889im
-1.4259466822295332 + 0.0im	-0.043495081562786926 - 0.00014147231678228111im	6.417084721927077e-8 + 5.814976711475799e-8im	-1.3323355460788888e-7 - 1.208019575689623e-7im	0.10798500266742271 + 0.0005551981961417863im
-1.4118283982470625 + 0.0im	-0.04391056698258415 - 0.0001478039927919909im	6.578453483727148e-8 + 6.092226048884923e-8im	-1.3658355860799169e-7 - 1.2656142571988192e-7im	0.10922322469155862 + 0.000581028662410293im
-1.3978498992545174 + 0.0im	-0.04432976917742263 - 0.00015434441664326223im	6.742205394679788e-8 + 6.380258248753091e-8im	-1.3998299005157195e-7 - 1.3254487601074414e-7im	0.1104773812715726 + 0.0006078063228592137im
-1.3840098012420965 + 0.0im	-0.04475271378734463 - 0.00016109674528915838im	6.908263743434119e-8 + 6.679392980904364e-8im	-1.434302526396932e-7 - 1.38758947305388e-7im	0.11174769121004606 + 0.0006355548481237976im
-1.370306733903066 + 0.0im	-0.0451794265844786 - 0.00016806402313881554im	7.076592824538268e-8 + 6.989957668950803e-8im	-1.469246017978042e-7 - 1.4521043941646013e-7im	0.11303440075779282 + 0.0006642982491879844im
-1.356739340498085 + 0.0im	-0.04560993369211935 - 0.00017524917676684868im	7.247195453971565e-8 + 7.31228786397717e-8im	-1.5046609308052195e-7 - 1.519063208624844e-7im	0.11433778532151352 + 0.000694060900907492im
-1.3433062777208762 + 0.0im	-0.04604426051794406 - 0.0001826550099881528im	7.419979049026128e-8 + 7.646727649835877e-8im	-1.5405280029960003e-7 - 1.5885373728147625e-7im	0.11565807154358705 + 0.000724867569139618im
-1.330006215565224 + 0.0im	-0.046482434789397405 - 0.0001902841993331315im	7.594944116508741e-8 + 7.99363008142734e-8im	-1.5768473135211724e-7 - 1.6606002052967105e-7im	0.11699555092761628 + 0.0007567434417346363im
-1.316837837193291 + 0.0im	-0.046924480315111004 - 0.00019813928995774982im	7.772054772699826e-8 + 8.353357657300958e-8im	-1.6136113691424258e-7 - 1.73532698493113e-7im	0.1183504630122844 + 0.0007897141636506559im
-1.3037998388052385 + 0.0im	-0.047370426685953815 - 0.0002062226920219588im	7.95134858772626e-8 + 8.72628282786576e-8im	-1.6508279398300565e-7 - 1.81279505638885e-7im	0.11972310942439503 + 0.0008238058764609428im
-1.2908909295101372 + 0.0im	-0.04782029736878322 - 0.00021453667756894925im	8.132631273388835e-8 + 9.112788540446849e-8im	-1.6884566482520126e-7 - 1.8930839433166988e-7im	0.12111376203676702 + 0.0008590452625298211im
-1.2781098311981556 + 0.0im	-0.048274118905399746 - 0.00022308337793637887im	8.315876114806565e-8 + 9.513268822364922e-8im	-1.7264919121969153e-7 - 1.9762754694010267e-7im	0.12252268616595843 + 0.000895459594140628im
-1.2654552784140154 + 0.0im	-0.048731920552623105 - 0.00023186478172917526im	8.501231120809885e-8 + 9.92812940315111e-8im	-1.7649644259974066e-7 - 2.0624538875603089e-7im	0.12395020345794666 + 0.000933076787866636im
-1.2529260182316984 + 0.0im	-0.04919372841973174 - 0.00024088273338172497im	8.688526909136821e-8 + 1.0357788376938986e-7im	-1.8038389861045583e-7 - 2.1517060174832708e-7im	0.12539661643323108 + 0.0009719254644836924im
-1.2405208101303944 + 0.0im	-0.04965956849628351 - 0.00025013893233525203im	8.877780546288235e-8 + 1.0802676905999699e-7im	-1.8431191000429632e-7 - 2.2441213917133651e-7im	0.12686221553041982 + 0.0010120350147314135im
-1.2282384258716776 + 0.0im	-0.05012946918108657 - 0.00025963493285393105im	9.06894491732064e-8 + 1.1263239966305753e-7im	-1.882794950643315e-7 - 2.339792410463578e-7im	0.12834731240516137 + 0.0010534356712383751im
-1.2160776493778986 + 0.0im	-0.05060345875961265 - 0.00026937214450081803im	9.262016625717021e-8 + 1.1739937135923933e-7im	-1.922865784205516e-7 - 2.4388145053279754e-7im	0.12985224452389943 + 0.0010961585869358212im
-1.2040372766117808 + 0.0im	-0.0510815625203359 - 0.0002793518332919731im	9.456969825046327e-8 + 1.223324342694977e-7im	-1.963326209813192e-7 - 2.541286312038059e-7im	0.13137734402160875 + 0.0011402359202941725im
-1.1921161154572086 + 0.0im	-0.05156380953420941 - 0.0002895751235442448im	9.653697364452102e-8 + 1.27436501616038e-7im	-2.0041539365936817e-7 - 2.647309852392886e-7im	0.13292293287789386 + 0.0011857009277271167im
-1.1803129856011967 + 0.0im	-0.052050227896369615 - 0.00030004300042906987im	9.852302818309285e-8 + 1.3271665893016252e-7im	-2.0453704276496109e-7 - 2.756990725472398e-7im	0.13448936643847254 + 0.0012325880635194345im
-1.1686267184170265 + 0.0im	-0.05254084537952049 - 0.0003107563132413339im	1.0052663885555552e-7 + 1.381781737113062e-7im	-2.0869502772380235e-7 - 2.870438308223567e-7im	0.1360770071490778 + 0.0012809330876470554im
-1.1570561568485411 + 0.0im	-0.05303569148909128 - 0.0003217157793888458im	1.0254830813484774e-7 + 1.4382650554060106e-7im	-2.1289038233819909e-7 - 2.9877659654887303e-7im	0.13768620737003898 + 0.0013307731818713736im
-1.1456001552955852 + 0.0im	-0.053534794457674534 - 0.00033292198910433036im	1.0458747097442924e-7 + 1.4966731665133813e-7im	-2.1712193511061565e-7 - 3.109091269525456e-7im	0.1393173452944876 + 0.0013821470745045725im
-1.1342575795005794 + 0.0im	-0.05403818275778816 - 0.00034437541087803603im	1.0664351257952345e-7 + 1.5570648295772735e-7im	-2.2138840367678708e-7 - 3.234536229047166e-7im	0.1409708062779838 + 0.001435095174258907im
-1.1230273064362173 + 0.0im	-0.054545887212035835 - 0.0003560763976051265im	1.0871721460624333e-7 + 1.6195010554241264e-7im	-2.256914079315611e-7 - 3.3642275277940104e-7im	0.14264696760267837 + 0.0014896597136106217im
-1.1119082241942746 + 0.0im	-0.05505793635801165 - 0.00036802519343797746im	1.1080765447457404e-7 + 1.6840452260226355e-7im	-2.3002902795730948e-7 - 3.4982967726241954e-7im	0.1443462498807277 + 0.0015458849021286003im
-1.1008992318755193 + 0.0im	-0.055574359558191636 - 0.00038022194132937586im	1.1291503491436084e-7 + 1.7507632185106784e-7im	-2.344016813209999e-7 - 3.6368807510972836e-7im	0.14606906632635175 + 0.0016038170902391905im
-1.089999239480712 + 0.0im	-0.05609518732561569 - 0.0003926666912484208im	1.1503891516113599e-7 + 1.819723533768939e-7im	-2.3880844897099393e-7 - 3.7801216985031045e-7im	0.14781581893461312 + 0.0016635049439219325im
-1.0792071678026853 + 0.0im	-0.05662044997133491 - 0.00040535940904669744im	1.1717914778868069e-7 + 1.8909974295106364e-7im	-2.432490212794932e-7 - 3.9281675742728967e-7im	0.14958697198908844 + 0.0017249996308564876im
-1.0685219483194903 + 0.0im	-0.057150178849294055 - 0.00041829998594803905im	1.1933576611800977e-7 + 1.964659057849312e-7im	-2.4772346380135306e-7 - 4.081172347693628e-7im	0.15138294535857383 + 0.0017883550185688133im
-1.0579425230886044 + 0.0im	-0.05768440239072341 - 0.00043148824863098104im	1.2150847616515473e-7 + 2.0407856072994168e-7im	-2.522311625753478e-7 - 4.23929629283156e-7im	0.15320420151242803 + 0.0018536278851550233im
-1.0474678446421826 + 0.0im	-0.05822315565672219 - 0.00044492396986879943im	1.23696827443484e-7 + 2.1194574491582362e-7im	-2.567711785617835e-7 - 4.402706292558205e-7im	0.15505122158374335 + 0.001920878143194323im
-1.037096875883349 + 0.0im	-0.058766467969186234 - 0.0004586068796879355im	1.259008322482812e-7 + 2.2007582882118357e-7im	-2.6134353390919165e-7 - 4.57157615155959e-7im	0.1569244763870321 + 0.001990169077498046im
-1.026828589983514 + 0.0im	-0.05931437138625195 - 0.0004725366770015826im	1.2812076556071144e-7 + 2.2847753177029945e-7im	-2.659487961848094e-7 - 4.746086918200091e-7im	0.15882446105124853 + 0.002061567597380505im
-1.016661970280707 + 0.0im	-0.05986689689389475 - 0.0004867130416713396im	1.3035449961474985e-7 + 2.3715993784948172e-7im	-2.7058254363960103e-7 - 4.926427215102936e-7im	0.16075168565786302 + 0.0021351445041790625im
-1.0065960101789178 + 0.0im	-0.0604240806842608 - 0.0005011356469461351im	1.3260362012555682e-7 + 2.461325122360394e-7im	-2.752480657634042e-7 - 5.112793578302908e-7im	0.16270668622792686 + 0.0022109747747954393im
-0.9966297130484334 + 0.0im	-0.060985951670846916 - 0.0005158041722240928im	1.3486680411606696e-7 + 2.55405117932647e-7im	-2.7994261200777476e-7 - 5.305390804821468e-7im	0.16468997923033815 + 0.0022891378620784634im
-0.9867620921271618 + 0.0im	-0.061552544309081074 - 0.0005307183160797364im	1.3714358929992054e-7 + 2.6498803289971993e-7im	-2.846652192256255e-7 - 5.504432308510707e-7im	0.16670211609290383 + 0.0023697180129196803im
-0.9769921704229325 + 0.0im	-0.062123893057148015 - 0.0005458778094959175im	1.3943447455051353e-7 + 2.7489196757832586e-7im	-2.8941692028520124e-7 - 5.71014048401091e-7im	0.16874367135588492 + 0.002452804604987934im
-0.9673189806167649 + 0.0im	-0.06270003000219575 - 0.0005612824292370737im	1.4173593416906316e-7 + 2.85128082796127e-7im	-2.94190390655237e-7 - 5.922747078665707e-7im	0.17081522001892208 + 0.00253849250308716im
-0.957741564967094 + 0.0im	-0.063280990876838 - 0.0005769320112980477im	1.4405015555889418e-7 + 2.957080080488995e-7im	-2.989901696218367e-7 - 6.142493572239916e-7im	0.17291735780227727 + 0.0026268824361830763im
-0.9482589752149445 + 0.0im	-0.06386680862554547 - 0.0005928264643605968im	1.4637519089554495e-7 + 3.066438601502718e-7im	-3.038122094112653e-7 - 6.369631564287155e-7im	0.1750506976464492 + 0.0027180813962094587im
-0.9388702724900441 + 0.0im	-0.06445751897882794 - 0.0006089657831880267im	1.487102297320675e-7 + 3.179482622424852e-7im	-3.086548241505593e-7 - 6.604423169017532e-7im	0.17721587032400485 + 0.0028122030598329143im
-0.9295745272178654 + 0.0im	-0.06505315702566283 - 0.0006253500618870926im	1.5105414975025402e-7 + 3.296343631611535e-7im	-3.135156803971541e-7 - 6.847141417519456e-7im	0.17941352231019975 + 0.0029093682344266594im
-0.9203708190275894 + 0.0im	-0.0656537566131023 - 0.0006419795069654113im	1.5340521331752297e-7 + 3.4171585714720493e-7im	-3.1839116685093774e-7 - 7.098070667193821e-7im	0.18164431004430912 + 0.00300970532957865im
-0.9112582366609796 + 0.0im	-0.06625935262168713 - 0.0006588544501121983im	1.557629982350417e-7 + 3.542070038994121e-7im	-3.2328040452257354e-7 - 7.357507018263381e-7im	0.1839089277963993 + 0.0031133508555371632im
-0.902235877882158 + 0.0im	-0.06686998491119525 - 0.0006759753606301739im	1.5812500564591986e-7 + 3.67122648961075e-7im	-3.281782010806061e-7 - 7.625758737223363e-7im	0.18620807499777306 + 0.003220449950077676im
-0.8933028493882752 + 0.0im	-0.06748568612581315 - 0.0006933428574469592im	1.6048980810139188e-7 + 3.804782444346031e-7im	-3.330815899278306e-7 - 7.903146687103469e-7im	0.18854246997147606 + 0.0033311569353582223im
-0.8844582667210645 + 0.0im	-0.0681064944497388 - 0.0007109577206352939im	1.6285506096388926e-7 + 3.942898700178039e-7im	-3.3798569953163053e-7 - 8.190004764412083e-7im	0.1909128722395729 + 0.0034456359064161733im
-0.8757012541792718 + 0.0im	-0.06873244502860439 - 0.0007288209023728835im	1.6521872630760597e-7 + 4.085742543556779e-7im	-3.4288629537288797e-7 - 8.486680342633927e-7im	0.1933200104237633 + 0.003564061353047157im
-0.8670309447319523 + 0.0im	-0.06936357526784553 - 0.0007469335372746808im	1.675780276970843e-7 + 4.233487967014096e-7im	-3.477776094497367e-7 - 8.793534722149608e-7im	0.1957646802045354 + 0.00368661881689635im
-0.858446479932626 + 0.0im	-0.06999992120778177 - 0.00076529695203291im	1.6993029809656245e-7 + 4.386315888799228e-7im	-3.5265410085291683e-7 - 9.110943586439212e-7im	0.19824764651600849 + 0.003813505585683223im
-0.8499470098342832 + 0.0im	-0.07064152177119006 - 0.0007839126743031599im	1.72272092071177e-7 + 4.544414375469228e-7im	-3.5750861234362964e-7 - 9.439297464422585e-7im	0.2007698047239361 + 0.0039449314265725425im
-0.8415316929052309 + 0.0im	-0.07128841386817428 - 0.0008027824407783885im	1.7460016158703517e-7 + 4.7079788673563955e-7im	-3.6233439664492734e-7 - 9.779002198774158e-7im	0.20333196833179892 + 0.004081119360796297im
-0.8331996959457731 + 0.0im	-0.07194063571426305 - 0.0008219082043966866im	1.7691268022578954e-7 + 4.877212406825085e-7im	-3.671276585626626e-7 - 1.013047942003022e-6im	0.20593503651136835 + 0.004222306481723123im
-0.824950194005716 + 0.0im	-0.0725982230238406 - 0.0008412921406331703im	1.7919880724008667e-7 + 5.052325869217764e-7im	-3.718658836269855e-7 - 1.0494167026280166e-6im	0.20857983805235872 + 0.004368744818662657im
-0.8167823703026891 + 0.0im	-0.07326121658325413 - 0.0008609366528313186im	1.814602882973238e-7 + 5.233538196374059e-7im	-3.7655269455242065e-7 - 1.0870519668199996e-6im	0.2112673561741613 + 0.004520702248781679im
-0.8086954161412763 + 0.0im	-0.07392965088794547 - 0.000880844376534476im	1.8368986905064606e-7 + 5.421076632586228e-7im	-3.8117302444489344e-7 - 1.1260009239143843e-6im	0.21399852697479943 + 0.0046784634595957875im
-0.8006885308329468 + 0.0im	-0.07460356745520945 - 0.0009010181827841389im	1.8588173820609913e-7 + 5.615176962830644e-7im	-3.85714802951416e-7 - 1.1663125369960558e-6im	0.2167742985799437 + 0.004842330964584721im
-0.792760921616779 + 0.0im	-0.07528300309650278 - 0.000921461180357777im	1.8802975475470183e-7 + 5.816083753085355e-7im	-3.901652750908423e-7 - 1.208037592813976e-6im	0.21959568009575173 + 0.005012626174559176im
-0.7849118035809693 + 0.0im	-0.07596799620111096 - 0.0009421767169256487im	1.9012700813728037e-7 + 6.02405059250977e-7im	-3.9451008769790147e-7 - 1.2512287520822472e-6im	0.22246370346515087 + 0.005189690527482552im
-0.7771403995851182 + 0.0im	-0.07665858535792092 - 0.0009631683791128847im	1.9216633817400824e-7 + 6.239340337222423e-7im	-3.987343692511864e-7 - 1.2959406001127175e-6im	0.22537938631210416 + 0.0053738866795201325im
-0.7694459401832853 + 0.0im	-0.07735480887083704 - 0.000984439991460398im	1.9413957498634147e-7 + 6.462225355366801e-7im	-4.0282115129981424e-7 - 1.342229697714733e-6im	0.22834385569097237 + 0.00556559976015127im
-0.7618276635478072 + 0.0im	-0.07805670528254981 - 0.001005995614285581im	1.9603800717121603e-7 + 6.692987773102809e-7im	-4.067523407774438e-7 - 1.3901546322866823e-6im	0.23135824564656432 + 0.0057652386942343686im
-0.7542848153938685 + 0.0im	-0.07876431209652107 - 0.0010278395404514082im	1.9785221680389362e-7 + 6.931919721101675e-7im	-4.105083773218661e-7 - 1.4397760690116688e-6im	0.2344235647584066 + 0.005973237593960561im
-0.7468166489048202 + 0.0im	-0.07947767006626315 - 0.0010499762910603449im	1.9957129093803634e-7 + 7.179323581055669e-7im	-4.140665956614258e-7 - 1.4911568020557325e-6im	0.23754111504863748 + 0.006190057223667068im
-0.7394224246582378 + 0.0im	-0.0801968154601357 - 0.0010724106100973298im	2.0118494617355642e-7 + 7.435512231639401e-7im	-4.174056390722029e-7 - 1.544361805651639e-6im	0.24071205760255993 + 0.00641618654050542im
-0.7321014105527107 + 0.0im	-0.08092178772746401 - 0.0010951474580540297im	2.026816295922862e-7 + 7.700809293276951e-7im	-4.205015106385286e-7 - 1.5994582849340893e-6im	0.2439375860586818 + 0.0066521443139708775im
-0.7248528817353571 + 0.0im	-0.08165262563323294 - 0.0011181920045744314im	2.0404735071077618e-7 + 7.975549370978537e-7im	-4.233251559194611e-7 - 1.656515726373363e-6im	0.24721900984749307 + 0.006898480827296589im
-0.7176761205300566 + 0.0im	-0.08238936688393483 - 0.0011415496201696448im	2.0526842748550128e-7 + 8.260078294410879e-7im	-4.2584815820501337e-7 - 1.7156059476337899e-6im	0.25055761957224 + 0.007155779663697879im
-0.7105704163663926 + 0.0im	-0.08313204826222631 - 0.0011652258670574677im	2.0632982474214874e-7 + 8.554753354257592e-7im	-4.2803929098812114e-7 - 1.77680314666105e-6im	0.25395471811838294 + 0.007424659580416958im
-0.7035350657092996 + 0.0im	-0.0838807102581007 - 0.001189226489189698im	2.0721563430749002e-7 + 8.859943533808881e-7im	-4.2986551484191767e-7 - 1.8401839497778673e-6im	0.2574116657102178 + 0.007705776473465347im
-0.6965693719894055 + 0.0im	-0.08463539005942848 - 0.0012135574015373562im	2.0790839842807478e-7 + 9.176029734593646e-7im	-4.3129057187829444e-7 - 1.90582745854174e-6im	0.26092989933532407 + 0.007999825435888274im
-0.6896726455340648 + 0.0im	-0.08539612530794902 - 0.001238224678710893im	2.0838907671623376e-7 + 9.50340499473277e-7im	-4.322749174291112e-7 - 1.973815295090091e-6im	0.2645108142548959 + 0.008307542912281609im
-0.682844203499074 + 0.0im	-0.08616295350937125 - 0.001263234542998811im	2.086388468534998e-7 + 9.842474698547737e-7im	-4.32779460020776e-7 - 2.044231645668492e-6im	0.2681558505513249 + 0.008629708952175266im
-0.6760833698010634 + 0.0im	-0.08693591317696218 - 0.0012885933519142577im	2.086349457341382e-7 + 1.019365677580659e-6im	-4.327569230726943e-7 - 2.117163302005849e-6im	0.27186656178779545 + 0.00896714956475675im
-0.6693894750505578 + 0.0im	-0.0877150411376545 - 0.0013143075853445122im	2.0835608609458654e-7 + 1.055738188882752e-6im	-4.321630961116946e-7 - 2.1926997001669552e-6im	0.2756444503280273 + 0.009320739177242602im
-0.6627618564857007 + 0.0im	-0.08850037608036976 - 0.001340383832403313im	2.0778173014482622e-7 + 1.0934093605491347e-6im	-4.309553212374558e-7 - 2.2709329564775642e-6im	0.2794911983347454 + 0.009691403199012499im
-0.6561998579066344 + 0.0im	-0.08929195164004988 - 0.001366828778090172im	2.0686989127056961e-7 + 1.132424855603595e-6im	-4.2904640358955316e-7 - 2.351957900080355e-6im	0.2834080948900951 + 0.010080120693400176im
-0.649702829610529 + 0.0im	-0.09008980811146593 - 0.001393649189864468im	2.0560923150393713e-7 + 1.1728316571321532e-6im	-4.2641278856993996e-7 - 2.435872101641699e-6im	0.28739712710158644 + 0.010487927158784032im
-0.6432701283272565 + 0.0im	-0.09089398129760354 - 0.0014208519042449871im	2.0396413765936163e-7 + 1.2146780800063626e-6im	-4.2298051584527954e-7 - 2.52277589768938e-6im	0.2914597902063773 + 0.01091591742033902im
-0.6369011171556995 + 0.0im	-0.09170450773371298 - 0.0014484438135476446im	2.0190272437619958e-7 + 1.2580137802333062e-6im	-4.1868336320489336e-7 - 2.61277241002037e-6im	0.2955978666145562 + 0.011365248633496902im
-0.6305951655006926 + 0.0im	-0.09252142485526502 - 0.001476431852875447im	1.993915456591212e-7 + 1.3028897616419314e-6im	-4.1345186473564507e-7 - 2.7059675595755946e-6im	0.2998130381940616 + 0.011837143399814823im
-0.6243516490105867 + 0.0im	-0.09334476686929923 - 0.0015048229874751334im	1.9639482414872374e-7 + 1.3493583795946237e-6im	-4.072117149647811e-7 - 2.8024700741356057e-6im	0.30410708798337677 + 0.012332892995569437im
-0.6181699495154324 + 0.0im	-0.09417457136544462 - 0.0015336242005745586im	1.9287232558263156e-7 + 1.3974733413918649e-6im	-3.9987935493804366e-7 - 2.9023914891472777e-6im	0.30848188663342907 + 0.012853860712976197im
-0.6120494549657746 + 0.0im	-0.09501087472121104 - 0.0015628424818134395im	1.8879001140538716e-7 + 1.447289703016564e-6im	-3.913840852359435e-7 - 3.0058461409476416e-6im	0.31293932709181016 + 0.013401485313478671im
-0.605989559372054 + 0.0im	-0.09585371252915476 - 0.0015924848163779053im	1.8408940541039417e-7 + 1.4988638618432614e-6im	-3.816044628790472e-7 - 3.1129511516063536e-6im	0.31748105569380225 + 0.013977284592060329im
