w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-1.1921161154572086 + 0.0im	-0.745203866686503 - 0.003712165968472322im	1.2615677099952586e-6 + 1.5308593417304376e-6im	1.2622925940522048e-6 + 1.531179951528445e-6im	-0.9055864507769447 - 0.006660759631026956im
-1.1803129856011967 + 0.0im	-0.7518190858331106 - 0.0038448501599240327im	1.2864401030014766e-6 + 1.5917181794414964e-6im	1.2871775673656973e-6 + 1.5920510387922846e-6im	-0.9153446557032686 - 0.006910957883161144im
-1.1686267184170265 + 0.0im	-0.7584842704930103 - 0.003980520328117753im	1.3115004018998534e-6 + 1.6544700013025101e-6im	1.3122505774220285e-6 + 1.6548155007371632e-6im	-0.9252135376383154 - 0.0071678146539554165im
-1.1570561568485411 + 0.0im	-0.7651996281584008 - 0.004119174962105899im	1.3367370245204921e-6 + 1.7191593157350212e-6im	1.3375000336081545e-6 + 1.7195178571256026e-6im	-0.9351944076999109 - 0.007431415910962977im
-1.1456001552955852 + 0.0im	-0.771965373856651 - 0.0042608104480012675im	1.3621445668656708e-6 + 1.7858318639721592e-6im	1.362920532651923e-6 + 1.7862038609133488e-6im	-0.945288742712402 - 0.007701848013679148im
-1.1342575795005794 + 0.0im	-0.7787817216266273 - 0.004405421129968036im	1.3877426992572673e-6 + 1.8545346966567115e-6im	1.3885317435677448e-6 + 1.8549205748575015e-6im	-0.955497936889038 - 0.007979197931806936im
-1.1230273064362173 + 0.0im	-0.7856488971289151 - 0.004552999380901039im	1.4135079231933767e-6 + 1.92531625359002e-6im	1.4143101589061503e-6 + 1.9257164512746916e-6im	-0.9658235189301576 - 0.008263553480064873im
-1.1119082241942746 + 0.0im	-0.7925671022233113 - 0.00470353568270767im	1.4394457600244868e-6 + 1.998226446517374e-6im	1.4402613023104514e-6 + 1.9986414148349177e-6im	-0.9762669039604098 - 0.008555003569284297im
-1.1008992318755193 + 0.0im	-0.7995365629960239 - 0.004857018716053287im	1.465563424580317e-6 + 2.0733167448205906e-6im	1.4663923820922895e-6 + 2.0737469482615386e-6im	-0.9868296484515315 - 0.00885363847346429im
-1.089999239480712 + 0.0im	-0.806557496793543 - 0.005013435459376114im	1.4918504346084655e-6 + 2.1506402639741525e-6im	1.4926929123385161e-6 + 2.1510861807937066e-6im	-0.9975132739183697 - 0.009159550112372824im
-1.0792071678026853 + 0.0im	-0.8136301224596243 - 0.005172771296922434im	1.518308814305519e-6 + 2.2302518566078117e-6im	1.519164911548163e-6 + 2.2307139792539977e-6im	-1.0083193382865412 - 0.009472832349205098im
-1.0685219483194903 + 0.0im	-0.8207546662172654 - 0.005335010135496818im	1.5449505447360083e-6 + 2.3122082060061253e-6im	1.545820356242567e-6 + 2.312687041551602e-6im	-1.0192494838629307 - 0.009793581302733542im
-1.0579425230886044 + 0.0im	-0.8279313410013173 - 0.005500134529566013im	1.5717795200164127e-6 + 2.3965679218641007e-6im	1.5726631342120874e-6 + 2.3970639924400354e-6im	-1.0303053357856986 - 0.01012189567331004im
-1.0474678446421826 + 0.0im	-0.8351603708961576 - 0.005668125814299735im	1.5987807594612243e-6 + 2.4833916381082497e-6im	1.5996782587319652e-6 + 2.483905481338616e-6im	-1.041488525129244 - 0.010457877082010538im
-1.037096875883349 + 0.0im	-0.8424419823134587 - 0.0058389642460760565im	1.6259656211635541e-6 + 2.572742112583801e-6im	1.6268770807405187e-6 + 2.573274282018261e-6im	-1.052800757178179 - 0.010801630422144319im
-1.026828589983514 + 0.0im	-0.849776403973847 - 0.006012629149925318im	1.6533378842659231e-6 + 2.66468432840227e-6im	1.6542633730346504e-6 + 2.6652353939456414e-6im	-1.0642437544269883 - 0.011153264222289126im
-1.016661970280707 + 0.0im	-0.857163855092208 - 0.006189099073333582im	1.6808938611430735e-6 + 2.759285596738493e-6im	1.6818334356503964e-6 + 2.759856145074712e-6im	-1.0758192611496231 - 0.011512891019954846im
-1.0065960101789178 + 0.0im	-0.8646045625167847 - 0.006368351945775754im	1.7086504259776574e-6 + 2.856615660863425e-6im	1.7096041399200328e-6 + 2.857206295871708e-6im	-1.08752910057912 - 0.011880627744928294im
-0.9966297130484334 + 0.0im	-0.8720987637315999 - 0.006550365243299877im	1.7366075562064708e-6 + 2.9567468011981535e-6im	1.7375754462220452e-6 + 2.957358144358966e-6im	-1.0993750640957638 - 0.012256596111306391im
-0.9867620921271618 + 0.0im	-0.8796466832618675 - 0.006735116157437901im	1.7647718504990047e-6 + 3.0597539411760863e-6im	1.7657539503251085e-6 + 3.0603866319643214e-6im	-1.1113590205424395 - 0.012640923017188528im
-0.9769921704229325 + 0.0im	-0.8872485534575227 - 0.006922581767674938im	1.7931381481823068e-6 + 3.165714753704094e-6im	1.7941344718760295e-6 + 3.166369449966807e-6im	-1.1234828427459829 - 0.013033740950969715im
-0.9673189806167649 + 0.0im	-0.8949046031189134 - 0.0071127392166697116im	1.8217187247525198e-6 + 3.2747097680198994e-6im	1.8227292789404078e-6 + 3.2753871463356946e-6im	-1.1357484543921395 - 0.013435188403155482im
-0.957741564967094 + 0.0im	-0.9026150686731557 - 0.0073055658873822545im	1.850519716297168e-6 + 3.3868224767517135e-6im	1.8515444941303537e-6 + 3.3875232327688664e-6im	-1.1481578403078279 - 0.01384541028260922im
-0.9482589752149445 + 0.0im	-0.9103801951285851 - 0.007501039581233726im	1.879546161409709e-6 + 3.5021394429981733e-6im	1.8805851429094082e-6 + 3.5028642917483457e-6im	-1.1607129947489425 - 0.014264558336140818im
-0.9388702724900441 + 0.0im	-0.9182001876702455 - 0.007699138696395323im	1.908803229693656e-6 + 3.620750407260644e-6im	1.9098563750670032e-6 + 3.62150008344499e-6im	-1.173415896271591 - 0.014692791570355706im
-0.9295745272178654 + 0.0im	-0.9260753113639498 - 0.007899842405281023im	1.93829813691654e-6 + 3.74274839407755e-6im	1.9393653920439824e-6 + 3.743523652321823e-6im	-1.1862687733413404 - 0.015130276674702762im
-0.9203708190275894 + 0.0im	-0.9340057983506419 - 0.008103130830301458im	1.9680352225806535e-6 + 3.868229818230039e-6im	1.969116515265192e-6 + 3.869031433305315e-6im	-1.1992735271073327 - 0.015577188444692115im
-0.9112582366609796 + 0.0im	-0.9419918790704362 - 0.00830898521692412im	1.9980237502301407e-6 + 3.997294590411602e-6im	1.999118989506899e-6 + 3.998123357417006e-6im	-1.2124324250237895 - 0.016033710204296694im
-0.902235877882158 + 0.0im	-0.9500338078315794 - 0.008517388103078965im	2.0282648853563062e-6 + 4.130046222279419e-6im	2.0293739601915993e-6 + 4.130902956783282e-6im	-1.2257476410120478 - 0.016500034226606713im
-0.8933028493882752 + 0.0im	-0.9581318006606552 - 0.008728323483948223im	2.0587631600464393e-6 + 4.2665919308341285e-6im	2.059885935431657e-6 + 4.267477468969817e-6im	-1.2392214090669436 - 0.016976362151874345im
-0.8844582667210645 + 0.0im	-0.9662861002382662 - 0.008941776971184728im	2.089537814415236e-6 + 4.407042742105435e-6im	2.090674136345192e-6 + 4.407957940618068e-6im	-1.2528559874557972 - 0.017462905402164986im
-0.8757012541792718 + 0.0im	-0.9744969717749609 - 0.009157735945615607im	2.1205777890735926e-6 + 4.5515135941548625e-6im	2.12172747821212e-6 + 4.552459330395187e-6im	-1.2666536813550022 - 0.01795988559192449im
-0.8670309447319523 + 0.0im	-0.9827646193801415 - 0.009376189702506147im	2.151903751273872e-6 + 4.700123439443112e-6im	2.1530666010455103e-6 + 4.7011006113044986e-6im	-1.2806168323780662 - 0.018467534933876116im
-0.858446479932626 + 0.0im	-0.9910893052837817 - 0.009597129588484174im	2.183505001080303e-6 + 4.852995346647861e-6im	2.1846807786556124e-6 + 4.854004872442772e-6im	-1.2947479287342216 - 0.018986096639778096im
-0.8499470098342832 + 0.0im	-0.9994712740573182 - 0.009820549129256347im	2.2153961326370873e-6 + 5.010256602058668e-6im	2.2165845761984167e-6 + 5.011299420330495e-6im	-1.3090493086724493 - 0.01951582531570113im
-0.8415316929052309 + 0.0im	-1.007910734087111 - 0.010046444147286166im	2.2475776602217686e-6 + 5.172038810717911e-6im	2.248778477234247e-6 + 5.17311587998442e-6im	-1.3235235078735479 - 0.02005698735162718im
-0.8331996959457731 + 0.0im	-1.0164079481918862 - 0.010274812868647731im	2.2800706050805113e-6 + 5.33847799752118e-6im	2.2812834735631843e-6 + 5.339590295945751e-6im	-1.3381730499043643 - 0.020609861305321504im
-0.824950194005716 + 0.0im	-1.0249631543624942 - 0.010505656018320245im	2.312830450761348e-6 + 5.509714708536206e-6im	2.3140552678744985e-6 + 5.510863233522987e-6im	-1.3530004403215092 - 0.021174738280594144im
-0.8167823703026891 + 0.0im	-1.0335765641436814 - 0.01073897690324543im	2.345929923885496e-6 + 5.685894112846105e-6im	2.347165780277108e-6 + 5.687079880555422e-6im	-1.3680084561385073 - 0.021751922300239944im
-0.8086954161412763 + 0.0im	-1.0422484305787791 - 0.01097478148253272im	2.3792865999285324e-6 + 5.867166105270554e-6im	2.380533318297127e-6 + 5.868390150050931e-6im	-1.3831995927004581 - 0.02234173067412905im
-0.8006885308329468 + 0.0im	-1.0509789848758022 - 0.011213078424266554im	2.4129662837293735e-6 + 6.053685410366814e-6im	2.414223398412926e-6 + 6.05494878410007e-6im	-1.3985766637973565 - 0.022944494363112397im
-0.792760921616779 + 0.0im	-1.059768434587044 - 0.011453879148443251im	2.446946822545228e-6 + 6.245611688160549e-6im	2.448213823376056e-6 + 6.2469154595166026e-6im	-1.4141424438617352 - 0.023560558339605926im
-0.7849118035809693 + 0.0im	-1.0686170323690147 - 0.01169719785564556im	2.481231020013581e-6 + 6.4431096421051e-6im	2.4825073542483676e-6 + 6.4444548957032e-6im	-1.4298997556943092 - 0.024190281945925103im
-0.7771403995851182 + 0.0im	-1.077524970455923 - 0.011943051541145786im	2.515814985379238e-6 + 6.6463491298148356e-6im	2.5171000559654735e-6 + 6.647736965288234e-6im	-1.4458514369296653 - 0.024834039251654776im
-0.7694459401832853 + 0.0im	-1.0864925214187995 - 0.012191459994217207im	2.550696206909998e-6 + 6.855505277165265e-6im	2.551989370834062e-6 + 6.8569368081263435e-6im	-1.462000418345666 - 0.02549221941155729im
-0.7618276635478072 + 0.0im	-1.0955199190094544 - 0.012442445782525315im	2.585871337050591e-6 + 7.0707585963975366e-6im	2.5871719034758714e-6 + 7.072234949300866e-6im	-1.4783496788336674 - 0.026165227025745308im
-0.7542848153938685 + 0.0im	-1.1046073183307548 - 0.012696034221565263im	2.6213359836106036e-6 + 7.2922951089080745e-6im	2.6226432120506125e-6 + 7.293817421808916e-6im	-1.4949022098270375 - 0.02685348250407116im
-0.7468166489048202 + 0.0im	-1.1137549057314262 - 0.01295225332920982im	2.657085952915648e-6 + 7.520306473445595e-6im	2.6583990504827656e-6 + 7.521875894651682e-6im	-1.511661157470371 - 0.027557422436911352im
-0.7394224246582378 + 0.0im	-1.1229629659295552 - 0.013211133765531438im	2.6931105108843535e-6 + 7.754990120475504e-6im	2.6944286358298714e-6 + 7.756607807090318e-6im	-1.5286296329152202 - 0.028277499974753588im
-0.7321014105527107 + 0.0im	-1.1322316686920566 - 0.01347270875816346im	2.729399546646e-6 + 7.996549393507302e-6im	2.730721793692216e-6 + 7.998216509863174e-6im	-1.5458108511410313 - 0.029014185219219935im
-0.7248528817353571 + 0.0im	-1.1415612139706681 - 0.013737014013566423im	2.7659513300999407e-6 + 8.245193698211902e-6im	2.767276744184776e-6 + 8.2469114141918e-6im	-1.5632080753475124 - 0.029767965628386527im
-0.7176761205300566 + 0.0im	-1.1509518168839241 - 0.014004087614667232im	2.802752573041999e-6 + 8.501138660183669e-6im	2.8040801384440893e-6 + 8.502908149430664e-6im	-1.5808246102965668 - 0.030539346439480017im
-0.7105704163663926 + 0.0im	-1.1604036361193326 - 0.014273969905439846im	2.8397912231571495e-6 + 8.764606292224946e-6im	2.8411198639172e-6 + 8.766428730238992e-6im	-1.5986637835521575 - 0.03132885111225096im
-0.7035350657092996 + 0.0im	-1.1699168709392616 - 0.014546703363094245im	2.877050307930863e-6 + 9.035825172049723e-6im	2.8783788864442435e-6 + 9.037701734171329e-6im	-1.6167291380207747 - 0.03213702179653609im
-0.6965693719894055 + 0.0im	-1.1794917341907445 - 0.014822332458638477im	2.9145331883238392e-6 + 9.315030631315873e-6im	2.9158605027931214e-6 + 9.316962490597182e-6im	-1.635024126237446 - 0.03296441982772483im
-0.6896726455340648 + 0.0im	-1.1891283586614936 - 0.015100903506670515im	2.952204992535526e-6 + 9.602464956903906e-6im	2.9535297765424913e-6 + 9.60445328186766e-6im	-1.6535523294102659 - 0.033811626254047634im
-0.682844203499074 + 0.0im	-1.1988269281983213 - 0.015382464505348107im	2.9900582894951528e-6 + 9.898377605361929e-6im	2.9913792106725323e-6 + 9.900423557649432e-6im	-1.6723175103965473 - 0.03467924239978842im
-0.6760833698010634 + 0.0im	-1.20858757438273 - 0.015667064967568218im	3.0280765483840485e-6 + 1.0203025431432829e-5im	3.0293922046378402e-6 + 1.0205130163342456e-5im	-1.6913231963747295 - 0.035567890468706405im
-0.6693894750505578 + 0.0im	-1.2184105822512845 - 0.015954755744468335im	3.066238928316581e-6 + 1.051667293156937e-5im	3.0675478517259355e-6 + 1.0518837583487473e-5im	-1.7105733186174765 - 0.03647821419211997im
-0.6627618564857007 + 0.0im	-1.2282959669651152 - 0.01624558884243461im	3.1045663347190043e-6 + 1.0839592503326629e-5im	3.10586698453956e-6 + 1.0841818201053424e-5im	-1.7300717485369699 - 0.03741087952626498im
-0.6561998579066344 + 0.0im	-1.2382439282746494 - 0.01653961723486936im	3.1429164272040087e-6 + 1.117206472149778e-5im	3.1442071896296017e-6 + 1.1174352573470892e-5im	-1.7498222006846595 - 0.038366575403685516im
-0.649702829610529 + 0.0im	-1.2482545935637797 - 0.016836894670028052im	3.181388976638766e-6 + 1.151437863182979e-5im	3.1826681676932968e-6 + 1.1516729726248882e-5im	-1.7698289639940632 - 0.039346014543551015im
-0.6432701283272565 + 0.0im	-1.258328135804777 - 0.017137475476288404im	3.2199251837948064e-6 + 1.1866832063118666e-5im	3.2211910444275965e-6 + 1.1869247464975042e-5im	-1.790096045237963 - 0.04034993432591611im
-0.6369011171556995 + 0.0im	-1.2684646236875328 - 0.01744141436625479im	3.258488870547584e-6 + 1.2229731958441565e-5im	3.25973957054698e-6 + 1.2232212706456848e-5im	-1.810627623021372 - 0.0413790977350497im
-0.6305951655006926 + 0.0im	-1.2786642167177793 - 0.01774876624113484im	3.2970568754013963e-6 + 1.2603394726232558e-5im	3.298290500429776e-6 + 1.2605941829711274e-5im	-1.8314279206920077 - 0.04243429437705968im
-0.6243516490105867 + 0.0im	-1.288927012130238 - 0.01805958599684755im	3.3355978153377282e-6 + 1.2988146611853464e-5im	3.3368123848678924e-6 + 1.2990761047454775e-5im	-1.8525015043442685 - 0.04351634157712503im
-0.6181699495154324 + 0.0im	-1.2992531378821415 - 0.018373928333335076im	3.3741021077917904e-6 + 1.3384324090248625e-5im	3.3752955627337824e-6 + 1.3387006798682721e-5im	-1.8738525038045009 - 0.04462608556172384im
-0.6120494549657746 + 0.0im	-1.3096427244533315 - 0.01869184756855158im	3.4125475246514826e-6 + 1.3792274280204444e-5im	3.4137177217366678e-6 + 1.3795026162859784e-5im	-1.8954858162193773 - 0.04576440273131033im
-0.605989559372054 + 0.0im	-1.3200958061945236 - 0.01901339745859474im	3.450831505482539e-6 + 1.4212355380660404e-5im	3.4519762339255743e-6 + 1.4215177296168342e-5im	-1.9174056882158101 - 0.04693220102895016im
-0.599989662744608 + 0.0im	-1.3306125465482943 - 0.019338631025423828im	3.488969129341107e-6 + 1.4644937129440098e-5im	3.490086096951656e-6 + 1.464782989018369e-5im	-1.9396171328368519 - 0.04813042141046968im
-0.5940491710342654 + 0.0im	-1.3411929357262211 - 0.019667600393577983im	3.526941847623466e-6 + 1.509040128468631e-5im	3.528028685747059e-6 + 1.5093365653260838e-5im	-1.9621249133952734 - 0.04936003942171563im
