w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-1.3840098012420965 + 0.0im	-0.06766703662858392 - 0.0007034283530710076im	2.871057668613454e-5 + 2.913556547700444e-5im	-2.8710505414868724e-5 - 2.913605418440676e-5im	0.08110253507926372 + 0.001288204706846153im
-1.370306733903066 + 0.0im	-0.06830197965974302 - 0.0007335658556166403im	2.9351735033290998e-5 + 3.0459087089209763e-5im	-2.935165119316071e-5 - 3.045959349125385e-5im	0.08201294719363804 + 0.0013451827089184802im
-1.356739340498085 + 0.0im	-0.06894215413384193 - 0.0007646282179909438im	2.9998014896159586e-5 + 3.183058450400858e-5im	-2.9997917710032852e-5 - 3.1831108968047565e-5im	0.08293413693024328 + 0.0014040789621957905im
-1.3433062777208762 + 0.0im	-0.06958757449868504 - 0.0007966262086523416im	3.0649095842583514e-5 + 3.325131475481807e-5im	-3.064898450032239e-5 - 3.325185764265493e-5im	0.08386623841982259 + 0.0014649317691958863im
-1.330006215565224 + 0.0im	-0.0702382629278139 - 0.0008295699895715544im	3.1304602080218917e-5 + 3.472255940007816e-5im	-3.130447573129015e-5 - 3.4723121067229104e-5im	0.08480938111581289 + 0.001527779463341673im
-1.316837837193291 + 0.0im	-0.07089422454459672 - 0.000863469097624514im	3.196416890037708e-5 + 3.624562578130671e-5im	-3.196402668290334e-5 - 3.6246206576249316e-5im	0.08576369892023869 + 0.001592660424190241im
-1.3037998388052385 + 0.0im	-0.07155549405996886 - 0.0008983324280268204im	3.262745679948607e-5 + 3.782184839242448e-5im	-3.26272978190593e-5 - 3.782244865583143e-5im	0.08672932267470558 + 0.001659613097467107im
-1.2908909295101372 + 0.0im	-0.07222207984675709 - 0.00093416821994918im	3.3294080262835505e-5 + 3.9452590363465485e-5im	-3.329390357126386e-5 - 3.945321042742466e-5im	0.08770640117416803 + 0.001728676020142243im
-1.2781098311981556 + 0.0im	-0.07289399220914541 - 0.0009709840444474516im	3.3963704019441316e-5 + 4.113924506144874e-5im	-3.396350863233944e-5 - 4.113988524867009e-5im	0.08869505257985756 + 0.0017998878507741527im
-1.2654552784140154 + 0.0im	-0.07357126406356819 - 0.0010087867948342221im	3.463596002469164e-5 + 4.2883237810822374e-5im	-3.4635744958232e-5 - 4.2883898433832426e-5im	0.08969544552319768 + 0.0018732874053364631im
