w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-1.356739340498085 + 0.0im	0.04860506952521654 + 0.006491210573901312im	0.0019479722294714502 - 0.00028218720329445846im	0.00194797222947153 - 0.00028218720329445304im	0.04860506952521676 + 0.006491210573901342im
-1.3433062777208762 + 0.0im	0.04965028570044234 + 0.006798195254615335im	0.001963685670014962 - 0.00029608320701494836im	0.0019636856700150414 - 0.00029608320701494256im	0.04965028570044259 + 0.006798195254615366im
-1.330006215565224 + 0.0im	0.05071727919255765 + 0.007118110040559878im	0.0019796127391738315 - 0.0003105933653501815im	0.001979612739173912 - 0.00031059336535017585im	0.0507172791925579 + 0.007118110040559913im
-1.316837837193291 + 0.0im	0.05180644881960266 + 0.007451450253219347im	0.0019957677099588997 - 0.00032574064240281105im	0.0019957677099589808 - 0.00032574064240280525im	0.05180644881960292 + 0.00745145025321938im
-1.3037998388052385 + 0.0im	0.052918174954352165 + 0.007798729945842907im	0.002012163110909013 - 0.00034154856192903613im	0.002012163110909095 - 0.00034154856192903017im	0.05291817495435245 + 0.007798729945842951im
-1.2908909295101372 + 0.0im	0.05405287834850773 + 0.008160482642703044im	0.0020288278647713704 - 0.00035804119541635136im	0.0020288278647714545 - 0.0003580411954163453im	0.05405287834850798 + 0.00816048264270308im
-1.2781098311981556 + 0.0im	0.05521095792974743 + 0.00853726209980894im	0.002045770142696897 - 0.0003752431473470041im	0.002045770142696981 - 0.0003752431473469979im	0.055210957929747714 + 0.008537262099808983im
-1.2654552784140154 + 0.0im	0.05639282805929434 + 0.008929643086393416im	0.00206301267736081 - 0.00039317953744313206im	0.0020630126773608943 - 0.0003931795374431262im	0.056392828059294624 + 0.008929643086393461im
-1.2529260182316984 + 0.0im	0.05759889522551276 + 0.009338222186351284im	0.0020805768443151657 - 0.0004118759796838878im	0.002080576844315252 - 0.0004118759796838815im	0.057598895225513064 + 0.009338222186351334im
-1.2405208101303944 + 0.0im	0.05882957914426966 + 0.009763618618660883im	0.002098485829465464 - 0.00043135855787961654im	0.0020984858294655507 - 0.00043135855787961025im	0.05882957914426994 + 0.009763618618660937im
-1.2282384258716776 + 0.0im	0.060085299899318594 + 0.010206475075667647im	0.002116763723694431 - 0.00045165379758352im	0.0021167637236945195 - 0.00045165379758351366im	0.06008529989931888 + 0.010206475075667697im
-1.2160776493778986 + 0.0im	0.06136647845355015 + 0.010667458577950564im	0.0021354357287951334 - 0.00047278863411718067im	0.0021354357287952227 - 0.000472788634117174im	0.061366478453550456 + 0.010667458577950616im
-1.2040372766117808 + 0.0im	0.06267353798393893 + 0.011147261344329078im	0.0021545306290745034 - 0.000494790376482897im	0.002154530629074593 - 0.0004947903764828903im	0.06267353798393924 + 0.011147261344329135im
-1.1921161154572086 + 0.0im	0.06400691083252971 + 0.011646601675399739im	0.0021740758213825897 - 0.0005176866669332578im	0.0021740758213826816 - 0.0005176866669332515im	0.06400691083253009 + 0.011646601675399802im
-1.1803129856011967 + 0.0im	0.06536699637470589 + 0.012166224848819223im	0.002194102231326627 - 0.000541505435966459im	0.0021941022313267194 - 0.000541505435966452im	0.06536699637470621 + 0.012166224848819287im
